decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy Policy – ABC Reading EggsParentsSchoolsReading EggsReading Eggs JuniorReading EggspressMathseedsLoginSign UpToggle navigationHomeAboutWhy it worksParentsHomeschoolCOVID-19 SupportLessonsTry a Sample LessonLesson OverviewOnline LibraryResearch and NewsResearchNewsWhy Phonics?Reading Eggs ProductsReading Eggs Book StoreAmazon Kindle eBooksTestimonials & AwardsTestimonialsAwardsFAQs & Technical RequirementsFAQsTechnical RequirementsWebinarsContact UsArticlesMathseeds PrimeFast PhonicsSchoolsPricingApps,512,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyLast updated 19 May 2023At 3P Learning, we value your privacy and understand the importance of keeping your personal information secure. We have this Privacy Policy to help you understand how we collect, store, use and remove the information that you provide us.",276,<generic>,<error>
About 3P Learning Ltd's Privacy Policy,About 3P Learning Ltd's Privacy Policy,100.0,832,main,"About 3P Learning Ltd's Privacy PolicyThis webpage explains our privacy and security commitments in plain language.3P Learning is a global e‑learning resource company. We produce and/or distribute a range of online resources and a network of websites including but not limited to those for theMathletics,Spellodrome,ABC Reading Eggs,ABC Mathseeds,Wordflyers,Writing Legends,Storyathon,Teachers Workshop SeriesandBrightpath Progress(collectively, the'Site'",455,<generic>,<error>
About 3P Learning Ltd's Privacy Policy,About 3P Learning Ltd's Privacy Policy,100.0,832,main,"), and World Maths Day / World Education Games branded resources and products.Each product or resource, together with challenge websites for national and regional events which may use or integrate with the Site, is owned and operated by 3P Learning group of companies (including 3P Learning Limited, Blake eLearning and their related entities and subsidiaries) (collectively,'3P Learning'or'us'or'we').",402,<generic>,<error>
About 3P Learning Ltd's Privacy Policy,About 3P Learning Ltd's Privacy Policy,100.0,832,main,"References to the Site in this Privacy Policy includes all products and resources that we produce and /or distribute3P Learning is committed to protecting the safety and security of our registered users, including students, teachers, school administrators and parents (collectively,Registrants",293,<generic>,<error>
About 3P Learning Ltd's Privacy Policy,About 3P Learning Ltd's Privacy Policy,100.0,832,main,") and we are sensitive to our Registrant's concerns about the safety of the personal information provided to us. Please read this Privacy Policy carefully in order to understand how any personal information collected by us is used.As a global company, our Privacy Policy has been developed in accordance with a range of legislation which applies to us. In addition, we have developed our privacy framework to assist our customers that are schools, districts and education bodies to comply with privacy legislation and regulations applicable to them and the way they manage personal information.",594,<generic>,<error>
About 3P Learning Ltd's Privacy Policy,About 3P Learning Ltd's Privacy Policy,100.0,832,main,"Collectively, this legislation includes, without limitation:The Australian Privacy Act 1988The New Zealand Privacy Act 1993The United Kingdom Data Protection Act 2018 (View 3P Learning's ICO Registration Certificate)The United States Children's Online Privacy Protection Act (""COPPA"") and Rule                as administered by the Federal Trade CommissionThe United States Family Educational Rights and Privacy Act (""FERPA"")The Alberta Freedom of Information and Protection of Privacy Act",489,<generic>,<error>
About 3P Learning Ltd's Privacy Policy,About 3P Learning Ltd's Privacy Policy,100.0,832,main,"The Canadian Personal Information Protection and Electronic Documents Act (""PIPEDA"")The Freedom of Information and Protection of Privacy Act (British Columbia) (""FIPPA"")The Personal Information International Disclosure Protection Act (Nova Scotia) (""PIIDPA"")The Municipal Freedom of Information and Protection of Privacy Act, Ontario (""MFIPPA"")The Student Online Personal Information Protection Act, California (""SOPIPA"")The EU General Data Protection Regulation (Regulation 2016/679)(""GDPR"")",492,<generic>,<error>
About 3P Learning Ltd's Privacy Policy,About 3P Learning Ltd's Privacy Policy,100.0,832,main,"The UK General Data Protection Regulation (""UK GDPR"")The South African Protection of Personal Information Act ('POPI Act').",123,<generic>,<error>
What personal information we collect,What personal information we collect,100.0,3733,main,"What personal information we collectWe collect personal information to provide Registrants our learning products, services and related information.  The kinds of personal information we collect depends on how you interact with us.We collect the following categories of personal information:",290,<first>,<what>
