decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,首页Search this siteSkip to main contentSkip to navigation,56,<error>,<error>
PRIVACY POLICY,PRIVACY POLICY,100.0,60,main,"PRIVACY POLICYThis Privacy Policy describes how we(Lite Tools Studio,Fillog Studio) collect the information when you use our applications downloaded from Google Play Store and other third party app store. The Policy also explains how we use and disclose the information collected from you.",289,<generic>,<error>
What Information We Will Use,What Information We Will Use,100.0,355,main,What Information We Will Use ?We use the following  information after your agreement  to implement significant features and provide you better experience.,154,<first>,<error>
Device Information,Device Information,100.0,511,sub,"Device Information.We use device-specific information (such as your hardware manufacturer & model, operating system version, screen size, CPU model, mobile network information and installed apps) to implement app features, provide our services, and improve the app performance for all our users.",295,<first>,<error>
Local File and Storage,Local File and Storage,100.0,808,sub,"Local File and Storage.We use local shared objects to enhance user experience, for example, storing your city and weather data, pictures after processing, user preferences and settings.",185,<first>,<error>
App Usage Data,App Usage Data,100.0,995,sub,App Usage Data.We use usage data includes information relating to the behavior and/or the habit when you are using the app to analyze and improve the user experience. We do not collect the content you may transmit or share within the app.,238,<first>,<error>
Photo in Gallery,Photo in Gallery,100.0,1235,sub,"Photo in Gallery.We access your device gallery to implement features (such as duplicate photo remover, photo collage), but we will never store or transfer your album photos.",173,<first>,<error>
Camera Access,Camera Access,100.0,1410,sub,Camera Access.We only access your device camera when using app features like Flashlight or getting camera resolution.,117,<first>,<error>
Location Information,Location Information,100.0,1529,sub,"Location Information.When you use a location-enabled Weather app service, we may collect and process information about your actual location, like GPS signals sent by a mobile device.",182,<first>,<error>
How We Use the Information above,How We Use the Information above,100.0,1713,main,How We Use the Information above?We use the information above while you use our applications and services to provide you better features and experience on them. We also use the data to measure the performance and improve the apps and services.,243,<first>,<error>
"We also share such identifiers and other information from your device with our social media, advertising and analytics partners.","We also share such identifiers and other information from your device with our social media, advertising and analytics partners.",100.0,1958,main,"We also share such identifiers and other information from your device with our social media, advertising and analytics partners.We",130,<third>,<error>
DO NOT,DO NOT,100.0,2090,main,DO NOT,6,<error>,<error>
"sell, trade, or transfer to outside parties with your personally identifiable information","sell, trade, or transfer to outside parties with your personally identifiable information",100.0,2097,sub,"sell, trade, or transfer to outside parties with your personally identifiable information. And therefore we don't disclose your information.For some apps using account system like KeepSafe, If you want todeleteyour account data, you can go to step ""Me Page->Settings(or click Setting button) ->Log out"" to leave our app. Then you cancontact usby email(you must provide your Facebook email or the email you have bind to our apps, which for us to find your account), we will help youdelete your account data",505,<not>,<error>
"sell, trade, or transfer to outside parties with your personally identifiable information","sell, trade, or transfer to outside parties with your personally identifiable information",100.0,2097,sub,stored in our apps.,19,<not>,<error>
Changes,Changes,100.0,2636,main,"ChangesOur privacy policy may change from time to time. We will not reduce your rights under this privacy policy without your explicit consent. We will post any privacy policy changes on this page, and if the changes are significant, we will provide a more prominent notice. We will also keep prior versions of this privacy policy in an archive for your review.",361,<change>,<error>
Contact us,Contact us,100.0,2999,main,"Contact usIf you have any questions regarding privacy while using the application, or have questions about our practices, please contact us via email at :feedback@zhuilai.com.cn",177,<contact>,<error>
Other,Other,100.0,3179,main,Other,5,<not>,<error>
Facebook Ads Privacy Policy,Facebook Ads Privacy Policy,100.0,3185,sub,Facebook Ads Privacy Policy:https://www.facebook.com/about/privacy/Report abuseGoogle SitesReport abuse,103,<third>,<error>
