decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy - BÃ­blias PÃ£o da VidaPrivacy Policy -BÃ­blias PÃ£o da VidaThis Privacy Policy applies to all ""BÃ­blia PÃ£o da Vida"" applications and websites versions developed and made available byFelipe Frizeiro. These being referred to in this document only as ""This Application"".This Application collects some Personal Data from its Users.This document containsa section dedicated to Californian consumers and their privacy rights.This document contains",458,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,a section dedicated to Brazilian Users and their privacy rights.This document can be printed for reference by using the print command in the settings of any browser.,165,<generic>,<error>
Policy Summary,Policy summary,100.0,637,main,Policy summary,14,<generic>,<other>
Personal Data Processed,Personal Data processed,100.0,652,main,Personal Data processed for the following purposes and using the following services:,84,<first>,<what>
Advertising,Advertising,100.0,737,main,Advertising,11,<first>,<why>
AdMob,AdMob,100.0,749,sub,"AdMobPersonal Data: Trackers; unique device identifiers for advertising (Google Advertiser ID or IDFA, for example); Usage Data",127,<third>,<error>
Analytics,Analytics,100.0,878,main,Analytics,9,<third>,<other>
Google Analytics,Google Analytics,100.0,888,sub,"Google Analytics for FirebasePersonal Data: Application opens; Application updates; device information; geography/region; In-app purchases; launches; number of sessions; number of Users; operating systems; session duration; Trackers; unique device identifiers for advertising (Google Advertiser ID or IDFA, for example); Usage DataGoogle AnalyticsPersonal Data: Trackers; Usage Data",382,<third>,<why>
Contacting the User,Contacting the User,100.0,1274,main,Contacting the User,19,<choice>,<other>
Contact form,Contact form,100.0,1294,sub,Contact formPersonal Data: email address; first name; last name; various types of Data,86,<choice>,<how-gathered>
Content Performance and Features Testing (A/B Testing),Content performance and features testing (A/B testing),100.0,1382,main,Content performance and features testing (A/B testing),54,<first>,<how-used>
Firebase Remote Config,Firebase Remote Config,100.0,1437,sub,Firebase Remote ConfigPersonal Data: various types of Data as specified in the privacy policy of the service,108,<first>,<why>
Handling Payments,Handling payments,100.0,1547,main,Handling payments,17,<first>,<how-used>
PAYMENTS PROCESSED VIA THE APPLE APP STORE,Payments processed via the Apple App Store,100.0,1565,sub,Payments processed via the Apple App StorePersonal Data: email address; first name; payment info; Trackers,106,<first>,<what>
PAYMENTS PROCESSED VIA THE GOOGLE PLAY STORE,Payments processed via the Google Play Store,100.0,1673,sub,Payments processed via the Google Play StorePersonal Data: billing address; email address; first name; payment info; Trackers,125,<first>,<what>
Infrastructure Monitoring,Infrastructure monitoring,100.0,1800,main,Infrastructure monitoring,25,<third>,<other>
Firebase Performance Monitoring,Firebase Performance Monitoring,100.0,1826,sub,Firebase Performance MonitoringPersonal Data: various types of Data as specified in the privacy policy of the service,117,<third>,<why>
Platform Services and Hosting,Platform services and hosting,100.0,1945,main,Platform services and hosting,29,<third>,<why>
Google Play Store,Google Play Store,100.0,1975,sub,Google Play StorePersonal Data: Usage Data,42,<third>,<how-gathered>
App Store Connect,App Store Connect,100.0,2019,sub,"App Store ConnectPersonal Data: advertising data; diagnostics; purchase history; Trackers; unique device identifiers for advertising (Google Advertiser ID or IDFA, for example); Usage Data",188,<third>,<how-gathered>
Information on Opting Out of Interest-Based Advertising,Information on opting out of interest-based advertising,100.0,2209,main,"Information on opting out of interest-based advertisingIn addition to any opt-out feature provided by  any of the services listed in this document,  Users may learn more on  how to generally opt out of interest-based advertising within the  dedicated section of the Cookie Policy.",280,<choice>,<error>
Further Information about the Processing of Personal Data,Further information about the processing of Personal Data,100.0,2494,main,Further information about the processing of Personal Data,57,<generic>,<error>
CCPA: Collection of Personal Information about Minors,CCPA: Collection of personal information about minors,100.0,2552,sub,CCPA: Collection of personal information about minorsWe do not knowingly collect personal information of consumers who are below the age of 16.,143,<region>,<error>
Personal Data Collected Through Sources Other Than the User,Personal Data collected through sources other than the User,100.0,2697,sub,"Personal Data collected through sources other than the UserThe Owner of this Application may have legitimately collected Personal Data relating to Users without their knowledge by reusing or sourcing them from third parties on the grounds mentioned in the section specifying the legal basis of processing.Where the Owner has collected Personal Data in such a manner, Users may find specific information regarding the source within the relevant sections of this document or by contacting the Owner.",497,<first>,<what>
Unique Device Identification,Unique device identification,100.0,3197,sub,"Unique device identificationThis Application may track Users by storing a unique identifier of their device, for analytics purposes or for storing Users' preferences.",166,<first>,<what>
Push Notifications,Push notifications,100.0,3365,sub,"Push notificationsThis Application may send push notifications to the User to achieve the purposes outlined in this privacy policy.Users may in most cases opt-out of receiving push notifications by visiting their device settings, such as the notification settings for mobile phones, and then change those settings for this Application, some or all of the apps on the particular device.Users must be aware that disabling push notifications may negatively affect the utility of this Application.Contact information",512,<first>,<error>
Push Notifications,Push notifications,100.0,3365,sub,"Owner and Data ControllerFelipe Frizeiro - Juiz de Fora, MG (Brasil)Owner contact email:[email protected]Full policyOwner and Data ControllerFelipe Frizeiro - Juiz de Fora, MG (Brasil)Owner contact email:[email protected]Types of Data collectedAmong the types of Personal Data that this Application collects, by itself or through third parties, there are:",355,<first>,<error>
Push Notifications,Push notifications,100.0,3365,sub,"      Trackers; Usage Data; unique device identifiers for advertising (Google Advertiser ID or IDFA, for example); device information; geography/region; number of Users; number of sessions; session duration; In-app purchases; Application opens; Application updates; launches; operating systems; first name; last name; email address; various types of Data; diagnostics; advertising data; purchase history; payment info; billing address.",435,<first>,<error>
Push Notifications,Push notifications,100.0,3365,sub,"Complete details on each type of Personal Data collected are provided in the dedicated sections of this privacy policy or by specific explanation texts displayed prior to the Data collection.Personal Data may be freely provided by the User, or, in case of Usage Data, collected automatically when using this Application.",320,<first>,<error>
