decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Internet Speed Meter ,21,<error>,<error>
Privacy Policy,Privacy Policy,100.0,21,main,"Privacy PolicySkip to main contentSearch This BlogPrivacyPoliciesInternet Speed Meter Privacy PolicyGet linkFacebookTwitterPinterestEmailOther AppsSeptember 28, 2018Privacy PolicyGlitterz Apps built the Internet Speed Meter app as an Ad Supported app. This SERVICE is provided by Glitterz Apps at no cost and is intended for use as is.This page is used to inform visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service.",495,<error>,<error>
Privacy Policy,Privacy Policy,100.0,21,main,"If you choose to use my Service, then you agree to the collection and use of information in relation to this policy. The Personal Information that I collect is used for providing and improving the Service. I will not use or share your information with anyone except as described in this Privacy Policy.The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which is accessible at Internet Speed Meter unless otherwise defined in this Privacy Policy.",487,<error>,<error>
Information Collection and Use,Information Collection and Use,100.0,1020,main,Information Collection and Use,30,<generic>,<what>
"For a better experience, while using our Service","For a better experience, while using our Service",100.0,1051,sub,"For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information, including but not limited to Device ID and Advertise ID. The information that I request will be retained on your device and is not collected by me in any way.The app does use third party services that may collect information used to identify you.Link to privacy policy of third party service providers used by the appGoogle Play Services",469,<error>,<how-used>
Log Data,Log Data,100.0,1524,main,"Log DataI want to inform you that whenever you use my Service, in a case of an error in the app I collect ",106,<first>,<how-used>
Data and information (through third party products) on your phone,data and information (through third party products) on your phone,100.0,1631,sub,"data and information (through third party products) on your phone called Log Data. This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing my Service, the time and date of your use of the Service, and other statistics.",337,<first>,<what>
Cookies,Cookies,100.0,1969,main,CookiesCookies are ,19,<first>,<what>
Files with a small amount of data that are commonly used as anonymous unique identifiers,files with a small amount of data that are commonly used as anonymous unique identifiers,100.0,1989,sub,"files with a small amount of data that are commonly used as anonymous unique identifiers. These are sent to your browser from the websites that you visit and are stored on your device's internal memory.This Service does not use these “cookies” explicitly. However, the app may use third party code and libraries that use “cookies” to collect information and improve their services. You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device. If you choose to refuse our cookies, you may not be able to use some portions of this Service.",590,<first>,<what>
Service Providers,Service Providers,100.0,2581,main,Service ProvidersI may employ ,30,<third>,<what>
Third-party companies and individuals,third-party companies and individuals,100.0,2612,sub,"third-party companies and individuals due to the following reasons:To facilitate our Service;To provide the Service on our behalf;To perform Service-related services; orTo assist us in analyzing how our Service is used.I want to inform users of this Service that these third parties have access to your Personal Information. The reason is to perform the tasks assigned to them on our behalf. However, they are obligated not to disclose or use the information for any other purpose.",481,<third>,<what>
Security,Security,100.0,3099,main,"SecurityI value your trust in providing us your Personal Information, thus we are striving to use ",98,<security>,<how-used>
Commercially acceptable means of protecting,commercially acceptable means of protecting,100.0,3198,sub,"commercially acceptable means of protecting it. But remember that no method of transmission over the internet, or method of electronic storage is 100% secure and reliable, and I cannot guarantee its absolute security.",217,<error>,<error>
Links to Other Sites,Links to Other Sites,100.0,3416,main,"Links to Other SitesThis Service may contain links to other sites. If you click on a third-party link, you will be directed to that site. Note that the",151,<generic>,<other>
Third-party sites are not operated by me,se external sites are not operated by me,80.0,3568,sub,"se external sites are not operated by me. Therefore, I strongly advise you to review the Privacy Policy of these websites. I have no control over and assume no responsibility for the content, privacy policies, or practices of any third-party sites or services.",260,<error>,<error>
Children’s Privacy,Children’s Privacy,100.0,3829,main,Children’s PrivacyThese ,24,<generic>,<other>
Services do not address anyone under the age of 13,Services do not address anyone under the age of 13,100.0,3854,sub,"Services do not address anyone under the age of 13. I do not knowingly collect personally identifiable information from children under 13. In the case I discover that a child under 13 has provided me with personal information, I immediately delete this from our servers. If you are a parent or guardian and you are aware that your child has provided us with personal information, please contact me so that I will be able to do necessary actions.",445,<error>,<error>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,4300,main,"Changes to This Privacy PolicyI may update our Privacy Policy from time to time. Thus, you are advised to ",106,<generic>,<other>
Review this page periodically for any changes,review this page periodically for any changes,100.0,4407,sub,review this page periodically for any changes. I will notify you of any changes by posting the new Privacy Policy on this page. These changes are effective immediately after they are posted on this page.,203,<error>,<when>
Contact Us,Contact Us,100.0,4611,main,"Contact UsIf you have any questions or suggestions about my Privacy Policy, do not hesitate to contact me.Get linkFacebookTwitterPinterestEmailOther AppsCommentsPost a CommentPopular posts from this blogSecret Diary With Lock Privacy policySeptember 28, 2018",258,<contact>,<other>
Contact Us,Contact Us,100.0,4611,main,"Privacy Policy   Glitterz Apps built the Secret Diary With Lock app as an Ad Supported app. This SERVICE is provided by Glitterz Apps at no cost and is intended for use as is.   This page is used to inform visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service.   If you choose to use my Service, then you agree to the collection and use of information in relation to this policy. The Personal Information that I collect is used for providing and improving the Service. I will not use or share your information with anyone except as described in this Privacy Policy.   The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which is accessible at Secret Diary With Lock unless otherwise defined in this Privacy Policy.   Information Collection and Use   For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information,",1000,<contact>,<other>
Contact Us,Contact Us,100.0,4611,main,Read morePowered by BloggerTheme images byMichael ElkanUnknownVisit profileArchiveSeptember 20182Report Abuse,109,<contact>,<other>
