decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,GAMESMILESTUDIOGAMESMILESTUDIOHomeProductsServicesAboutContact.,63,<error>,<error>
PRIVACY POLICY,Privacy Policy,100.0,71,main,"Privacy PolicyPRIVACY POLICYPlease read this Policy carefully. This Policy provides you with information on how we collect, use and/or share the information obtained from you. This Policy applies to our Application and does not apply to any third party services, websites, software and content that may be linked to from within the Application.",344,<generic>,<error>
PRIVACY POLICY,Privacy Policy,100.0,71,main,"BY ACCESSING, VISITING AND/OR USING THE APPLICATION, YOU CONSENT TO OUR USE OF ANY INFORMATION THAT YOU PROVIDE TO US OR OUR PARTENERS IN ACCORDANCE WITH THIS POLICY. IF YOU DO NOT AGREE TO THIS POLICY, DO NOT ACCESS, VISIT AND/OR USE THE APPLICATION.",251,<generic>,<error>
Information Collection and Use,Information Collection and Use,100.0,670,main,Information Collection and Use,30,<generic>,<error>
"For a better experience, while using our Service","For a better experience, while using our Service",100.0,701,sub,"For a better experience, while using our Service, we may require you to provide us with certain personally identifiable information, including but not limited to screen resolution, device model, operating system version, viewed and downloaded and installed images in the application. ",284,<first>,<error>
The information that we request is retained on your device and is not collected by us in any way,The information that we request is retained on your device and is not collected by us in any way,100.0,985,sub,The information that we request is retained on your device and is not collected by us in any way,96,<first>,<error>
The app does use third party services that may collect information used to identify you,The app does use third party services that may collect information used to identify you,100.0,1082,sub,The app does use third party services that may collect information used to identify you.,88,<third>,<error>
Link to privacy policy of third party service providers used by the app,Link to privacy policy of third party service providers used by the app,100.0,1171,sub,Link to privacy policy of third party service providers used by the app+  Google Play Services+   Admob,103,<third>,<error>
Security,Security,100.0,1277,main,Security,8,<security>,<error>
Security,Security,100.0,1277,main,"We have implemented security safeguards designed to protect your personal information in accordance with industry standards. We limit access to your information on our servers, and it is password-protected/encrypted. We also regularly monitor our servers for possible vulnerabilities and attacks. Nevertheless, as the Internet is not a 100% secure environment, we cannot guarantee the security of any information that you transmit to us. There is no guarantee that information on our servers may not be accessed, disclosed, altered, or destroyed by breach of our safeguards",573,<security>,<error>
Cookies,Cookies,100.0,1860,main,Cookies,7,<tracking>,<error>
Cookies are files with small amount of data that is commonly used an anonymous unique identifier,Cookies are files with small amount of data that is commonly used an anonymous unique identifier,100.0,1868,sub,Cookies are files with small amount of data that is commonly used an anonymous unique identifier. These are sent to your browser from the website that you visit and are stored on your device internal memory.This Service does not use these “cookies” explicitly. ,261,<tracking>,<error>
