decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
ORIGINATOR INC. PRIVACY POLICY,ORIGINATOR INC. PRIVACY POLICY,100.0,0,main,"ORIGINATOR INC. PRIVACY POLICYORIGINATOR INC. PRIVACY POLICY(Last Updated May 20, 2021)Originator Inc. (“Originator”) respects your privacy.  This notice describes Originator’s privacy policy for the website at www.originatorkids.com (the ""Website"") and mobile and TV apps distributed by Originator (the “Apps,” together with the Website, the “Originator Products”).  We may revise this privacy policy at any time, and the date of last revision will be available at the top of this page.",487,<error>,<error>
ORIGINATOR INC. PRIVACY POLICY,ORIGINATOR INC. PRIVACY POLICY,100.0,0,main,"By visiting the Website or using the Apps, you understand and accept this Privacy Policy.  Your continued use of the Originator Products after changes have been posted to the Privacy Policy will constitute your acceptance of such changes.",238,<error>,<error>
What information we collect:,What information we collect:,100.0,730,main,What information we collect:,28,<generic>,<what>
"Originator may ask for and collect from you personally identifiable information depending on the information and/or services you request, including your name, email address and other information you knowingly provide.","Originator may ask for and collect from you personally identifiable information depending on the information and/or services you request, including your name, email address and other information you knowingly provide.",100.0,759,sub,"Originator may ask for and collect from you personally identifiable information depending on the information and/or services you request, including your name, email address and other information you knowingly provide.  Once you provide your personal information, you are not anonymous to Originator.",299,<first>,<error>
"Originator also collects information about the device used to play our Apps, such as operating system, device type, and versions of our Apps you are using.","Originator also collects information about the device used to play our Apps, such as operating system, device type, and versions of our Apps you are using.",100.0,1059,sub,"Originator also collects information about the device used to play our Apps, such as operating system, device type, and versions of our Apps you are using.  ",157,<first>,<error>
"Originator also collects,, archives, and uses information regarding your use of the Apps as provided herein, including information about level of usage and particular features used.","Originator also collects,, archives, and uses information regarding your use of the Apps as provided herein, including information about level of usage and particular features used.",100.0,1216,sub,"Originator also collects,, archives, and uses information regarding your use of the Apps as provided herein, including information about level of usage and particular features used. This data is used to more efficiently operate Originator’s business and improve our products..  Under no circumstances, do we match any of the device or use information described in this paragraph to any personally identifiable information we may have unless we need to help you directly with a problem you’ve reported to us.",507,<first>,<error>
How Originator uses your information:,How Originator uses your information:,100.0,1724,main,How Originator uses your information:,37,<error>,<why>
To provide you with personalized content.,To provide you with personalized content.,100.0,1762,sub,To provide you with personalized content.,41,<first>,<error>
To process and respond to inquiries.,To process and respond to inquiries.,100.0,1804,sub,To process and respond to inquiries.,36,<first>,<error>
"To improve the content, usability, and navigability of the Originator Products.","To improve the content, usability, and navigability of the Originator Products.",100.0,1841,sub,"To improve the content, usability, and navigability of the Originator Products.",79,<first>,<how-used>
"To alert you to new Originator Products including new features, special events, offers, and products and services.","To alert you to new Originator Products including new features, special events, offers, and products and services.",100.0,1921,sub,"To alert you to new Originator Products including new features, special events, offers, and products and services.",114,<first>,<how-used>
"To communicate with you regarding achievements and progress your child is making in our Apps, and recommendations we may have for you as a parent.","To communicate with you regarding achievements and progress your child is making in our Apps, and recommendations we may have for you as a parent.",100.0,2036,sub,"To communicate with you regarding achievements and progress your child is making in our Apps, and recommendations we may have for you as a parent.",146,<first>,<how-used>
To communicate with you regarding billing or other issues related to an account you may have created with us.,To communicate with you regarding billing or other issues related to an account you may have created with us.,100.0,2183,sub,"To communicate with you regarding billing or other issues related to an account you may have created with us.In the future, we may sell some or all of our assets. In such transactions, customer information generally is one of the transferred business assets.  In the event of a merger or sale of our assets including our database, customer information will be transferred.  We will require buyers to honor this Privacy Policy or notify you before making any material changes to the practices outlined in this Policy.",516,<first>,<how-used>
Information Sharing with Unaffiliated Third Parties:,Information Sharing with Unaffiliated Third Parties:,100.0,2701,main,Information Sharing with Unaffiliated Third Parties:,52,<third>,<why>
Originator may disclose your personally identifiable information to another entity for the following reasons:,Originator may disclose your personally identifiable information to another entity for the following reasons:,100.0,2754,sub,Originator may disclose your personally identifiable information to another entity for the following reasons: ,110,<third>,<error>
(i) for purposes of outsourcing one or more of the functions described in the previous section;,(i) for purposes of outsourcing one or more of the functions described in the previous section;,100.0,2864,sub,(i) for purposes of outsourcing one or more of the functions described in the previous section; ,96,<error>,<error>
(ii) to confirm or update information provided by you;,(ii) to confirm or update information provided by you;,100.0,2960,sub,(ii) to confirm or update information provided by you; ,55,<error>,<error>
(iii) to inform you of important information;,(iii) to inform you of important information;,100.0,3015,sub,(iii) to inform you of important information; and/or ,53,<error>,<error>
(iv) as a part of a sale of assets as described in the previous section.,(iv) as a part of a sale of assets as described in the previous section.,100.0,3068,sub,"(iv) as a part of a sale of assets as described in the previous section.  We may also share your information in response to a subpoena, legal order or official request, or when we believe that doing so may protect your safety or the safety of others.",250,<error>,<error>
How we collect information:,How we collect information:,100.0,3319,main,How we collect information:,27,<tracking>,<how-gathered>
"In addition to the methods described above, we may also collect information using cookies and analytic software embedded in the Apps.","In addition to the methods described above, we may also collect information using cookies and analytic software embedded in the Apps.",100.0,3347,sub,"In addition to the methods described above, we may also collect information using cookies and analytic software embedded in the Apps.",133,<error>,<how-gathered>
