decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy Policy of Island appIsland,34,<generic>,<error>
The Secret Island Inside Your Android Device,The secret island inside your Android device,100.0,36,main,The secret island inside your Android device,44,<generic>,<error>
The Secret Island Inside Your Android Device,The secret island inside your Android device,100.0,36,main,"This privacy policy has been compiled to better serve those who are concerned with how their ‘Personally Identifiable Information’ (PII) is being used online. PII, as described in US privacy law and information security, is information that can be used on its own or with other information to identify, contact, or locate a single person, or to identify an individual in context. Please read our privacy policy carefully to get a clear understanding of how we collect, use, protect or otherwise handle your Personally Identifiable Information in accordance with our website.",574,<generic>,<error>
The Secret Island Inside Your Android Device,The secret island inside your Android device,100.0,36,main,How,3,<generic>,<error>
How We Use the Sensitive Permissions in Our App, do we use the sensitive permissions in our app,95.74468085106383,659,main, do we use the sensitive permissions in our app?,48,<first>,<error>
PROFILE OWNER & DEVICE-ADMIN,PROFILE OWNER & DEVICE-ADMIN,100.0,708,sub,"PROFILE OWNER & DEVICE-ADMIN: This permission is required to create the separate work profile, which serves as the fundamental functionality of Island.",151,<first>,<error>
PACKAGE_USAGE_STATS,PACKAGE_USAGE_STATS,100.0,860,sub,PACKAGE_USAGE_STATS: This permission is required to correctly recognize the running state of apps.,98,<first>,<error>
What Information Do We Collect From the People That Use Our App,What information do we collect from the people that use our app,100.0,959,main,"What information do we collect from the people that use our app?We do not collect personal information from users, but we do collect anonymized behavior information about users and internal app data, to improve our products and customer service.",245,<first>,<error>
Third-Party Disclosure,Third-party disclosure,100.0,1206,main,Third-party disclosure,22,<third>,<error>
Third-Party Disclosure,Third-party disclosure,100.0,1206,main,"We do not sell, trade, or otherwise transfer to outside parties your Personally Identifiable Information unless we provide users with advance notice. This does not include website hosting partners and other parties who assist us in operating our website, conducting our business, or serving our users, so long as those parties agree to keep this information confidential. We may also release information when it’s release is appropriate to comply with the law, enforce our site policies, or protect ours or others’ rights, property or safety.",542,<third>,<error>
Third-Party Disclosure,Third-party disclosure,100.0,1206,main,"However, non-personally identifiable visitor information may be provided to other parties for marketing, advertising, or other uses.",132,<third>,<error>
COPPA (Children Online Privacy Protection Act),COPPA (Children Online Privacy Protection Act),100.0,1905,main,"COPPA (Children Online Privacy Protection Act)When it comes to the collection of personal information from children under the age of 13 years old, the Children’s Online Privacy Protection Act (COPPA) puts parents in control. The Federal Trade Commission, United States’ consumer protection agency, enforces the COPPA Rule, which spells out what operators of websites and online services must do to protect children’s privacy and safety online.",443,<audience>,<error>
COPPA (Children Online Privacy Protection Act),COPPA (Children Online Privacy Protection Act),100.0,1905,main,We do not specifically market to children under the age of 13 years old.CAN SPAM ActThe ,88,<audience>,<error>
CAN-SPAM Act,CAN-SPAM Act,100.0,2440,main,"CAN-SPAM Act is a law that sets the rules for commercial email, establishes requirements for commercial messages, gives recipients the right to have emails stopped from being sent to them, and spells out tough penalties for violations.",235,<region>,<error>
Contacting Us,Contacting Us,100.0,2676,main,"Contacting UsIf there are any questions regarding this privacy policy, you may contact us using the information below.privacy.app@public.oasisfeng.comThis page was generated byGitHub Pages.",189,<contact>,<error>
