decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Privacy PolicyYou need to enable JavaScript to run this app.Peloton LogoBikeschevronTreadchevronStrengthchevronRowchevronAppchevronAccessoriesApparel,149,<error>,<error>
PELOTON PRIVACY POLICY,PELOTON PRIVACY POLICY,100.0,164,main,"PELOTON PRIVACY POLICYLast Updated: March 1, 2023Welcome to the Peloton Privacy Policy!",87,<generic>,<error>
PELOTON PRIVACY POLICY,PELOTON PRIVACY POLICY,100.0,164,main,"Welcome to Peloton Interactive, Inc. (together with our affiliates, ""Peloton"", ""we"", or ""us""). This Privacy Policy is meant to help you understand how we collect, use and share information to operate, improve, develop and help protect our services, or as otherwise outlined in the Policy. This includes how we collect and process your personal information such as when you visit Peloton sites, use any Peloton services including Peloton applications (the ""App"") or fitness equipment (such as the Peloton Bike, Bike+, Tread, Tread+, Guide, or Peloton Row), or when you interact with us via our call centers, customer support service including live chats and e-mail communications, social media channels, studios or retail shops including our showrooms or concession stores as well as other online and offline services we provide (together, the ""Services""). This Privacy Policy applies to our Services except where otherwise noted.",929,<generic>,<error>
PELOTON PRIVACY POLICY,PELOTON PRIVACY POLICY,100.0,164,main,"Why This MattersPeloton uses technology and design to connect the world through fitness and empowers our members to be the best version of themselves. Our goal with this Privacy Policy is in line with our mission as a Member first company and is intended to empower our Members with the knowledge and understanding of what information Peloton collects, uses and shares transparently.",383,<generic>,<error>
PELOTON PRIVACY POLICY,PELOTON PRIVACY POLICY,100.0,164,main,"Please be sure to read this entire Privacy Policy before using or submitting information through the Services. By using or submitting information through the Services, you are agreeing to the collection, transfer, manipulation, processing, storage, disclosure and other uses of your personal data as described in this Privacy Policy and to be bound by the terms of this Privacy Policy.",385,<generic>,<error>
CONTENTS,Contents,100.0,1955,main,Contents,8,<generic>,<error>
WHAT PERSONAL INFORMATION WE COLLECT,WHAT PERSONAL INFORMATION WE COLLECT,100.0,1964,main,WHAT PERSONAL INFORMATION WE COLLECT,36,<first>,<what>
HOW WE USE PERSONAL INFORMATION,HOW WE USE PERSONAL INFORMATION,100.0,2001,main,HOW WE USE PERSONAL INFORMATION,31,<first>,<why>
WHO WE SHARE YOUR PERSONAL INFORMATION WITH,WHO WE SHARE YOUR PERSONAL INFORMATION WITH,100.0,2033,main,WHO WE SHARE YOUR PERSONAL INFORMATION WITH,43,<third>,<why>
COOKIES AND SIMILAR TRACKING TECHNOLOGIES,COOKIES AND SIMILAR TRACKING TECHNOLOGIES,100.0,2077,main,COOKIES AND SIMILAR TRACKING TECHNOLOGIES,41,<tracking>,<what>
FITNESS DATA,FITNESS DATA,100.0,2119,main,FITNESS DATA,12,<first>,<what>
INTERNATIONAL DATA TRANSFERS,INTERNATIONAL DATA TRANSFERS,100.0,2132,main,INTERNATIONAL DATA TRANSFERS,28,<third>,<other>
YOUR RIGHTS,YOUR RIGHTS,100.0,2161,main,YOUR RIGHTS,11,<choice>,<other>
DATA RETENTION,DATA RETENTION,100.0,2173,main,DATA RETENTION,14,<retention>,<other>
SECURITY OF YOUR INFORMATION,SECURITY OF YOUR INFORMATION,100.0,2188,main,SECURITY OF YOUR INFORMATION,28,<security>,<other>
