decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy | Vito TechnologyYou need to enable JavaScript to run this app.Vito TechnologyAppsNewsAbout UsSupportContactsPrivacy PolicyLast updated: May 24, 2018",164,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Here at Vito Technology, our number one goal is to provide you with fun and exciting products and content, all while safeguarding your Personal information (in accordance with the definition of this term below). Vito Technology, Inc. and its affiliates (collectively, the “Vito Technology”) has created this privacy statement in order to inform you about our information gathering, processing and dissemination practices relating to our websites, applications, products and related services (collectively, the “Services”). By accessing and/or using our Services you accept this Privacy Policy and signify your understanding, acceptance of and agreement with the terms, conditions and notices contained or referenced herein. If you do not agree with this Privacy Policy, please do not accept or use our Services.",811,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"When you access and/or use our Services we may collect some information from you. We want to be clear exactly what sort of information we collect, how we use, process this information, when, if at all, we disclose information about you to others and what rights and choices are available to you with respect to these activities. Our Privacy Policy aims to do all of this and more! So please, read on as this is important!",421,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Vito Technology, Inc. registered at 901 N. Pitt St, Suite 325, Alexandria, VA 22314, USA will be the data controller within the meaning specified in The General Data Protection Regulation (GDPR) (Regulation (EU) 2016/679).We tried to keep this Privacy Policy as simple and straightforward as possible. However, some technical jargon and terminology is unavoidable. So if you have any questions while you're familiarizing yourself with this Privacy Policy, please do not hesitate to contact our Data Protection Officer by emailing to privacy@vitotechnology.com or sending regular letter at:",589,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Vito Technology, Inc.Data Protection Officer901 N. Pitt St, Suite 325,Alexandria, VA 22314, USAAlso, please check back often because this Privacy Policy may change from time to time. These changes are important because all of the information we collect from you will be handled according to the Privacy Policy in effect when the information is collected. If we make any major changes to the Privacy Policy, we will indicate so on our website. Your continued use of our Services following posting the updated version will be deemed your acceptance and agreement with those changes.",580,<generic>,<error>
A. COLLECTED INFORMATION,A. COLLECTED INFORMATION,100.0,2584,main,A. COLLECTED INFORMATION,24,<generic>,<error>
Information We Collect,Information We Collect,100.0,2609,sub,Information We Collect,22,<first>,<what>
Information We Collect,Information We Collect,100.0,2609,sub,"As a visitor to our Services, you can engage in many activities without providing any Personal information. In the sense of GDPR “Personal information” means any information that identifies directly or indirectly a particular individual, such as individual’s name, postal address, e-mail, telephone number. In connection with other activities, such as subscribing to periodic newsletters sent by Vito Technology, requesting customer support, utilizing online software applications or purchasing any of our products, Vito Technology may ask you to voluntarily supply us with such Personal information as email address and your name. It is completely optional for you to engage in these activities and/or make any purchases.",722,<first>,<what>
Information We Collect,Information We Collect,100.0,2609,sub,"Credit Card and other payment information are not retained by us as part of the registration process. This information is processed by our payment and billing providers during the purchase process and never disclosed to us.As previously mentioned above you are provided an opportunity on our websites and within our products to subscribe to a periodic newsletter. This newsletter is a marketing tool that allows Vito Technology to inform you of new products or services, as well as other news relevant to the company. The subscription service requires you to provide your email address only.",591,<first>,<what>
Information We Collect,Information We Collect,100.0,2609,sub,"By creating Star Walk® account in our Services, you agree to sending of the newsletters to your email address provided by you in the registration process.When requesting customer support you will be required to provide us with your email address in order to send you reply and optionally the name.",297,<first>,<what>
