decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy - TwitCastingBroadcastSubscriptionsLog InTwitterFacebookGoogleTwitCastingBy logging in, you are indicating that you have read and agreed to ourTerms of Service.Login with other SNSCreate New AccountSign UpLivePremier LiveRankingChannelKawaVoMusicVTuberGirlsGuysGameRecentCategoryGirlsJust ChattingGuysUncleVoiceSoothing Vo (m)...SuggestedDebutOn CollaboPremier LiveStudio StreamingTwitCasting GamesVirtual YouTuberGirlsOn Camera24Students4College2Ladies15Gals230s13Auntie16Moms11Needy19Dozy1",506,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,Dialects8Just Chatting40General (f)18GuysOn Camera17Students6Guys1430s7Uncle37Needy4Dozy3Dialects4Just Chatting43General (m)17VoiceIkeVo (m)26Soothing Vo (m)37Anime Vo (m)2Ugly Vo7Deep Vo13High Vo1Mid Vo2Shota Vo2IkeVo (f)2Soothing Vo (f)26KawaVo4Anime Vo (f)2Anime Impressions3Impressions2MusicAcoustic (f)9Acoustic (m)8Instrumental9Rap1Utaite (f)38Utaite (m)20Utaite4Other Music14GameApex Legends4Knives Out1Splatoon3Animal Crossing1Nintendo1Monster Hunter2Minecraft2Pocket Monster3Retro1Other Games7,502,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,Girl Gamers3Gamer Guys1GeneralDrawing10Cosplay1Handmade3Cooking1Driving14Working3Studying2Athletes1Outdoor1Pets9News2AMA13LGBTQ8Couple2Senior2Waiting1Just Chatting3CommunityJohnny's2Privacy Policy,196,<generic>,<error>
About personal information we collect,About personal information we collect,100.0,1401,main,About personal information we collect,37,<first>,<error>
"Personal information such as your name, your organization name, address, phone numbers and e-mail address is obtained only through voluntary submission from you, for example, when you send us the inquiries and register yourself to our services.","Personal information such as your name, your organization name, address, phone numbers and e-mail address is obtained only through voluntary submission from you, for example, when you send us the inquiries and register yourself to our services.",100.0,1439,sub,"Personal information such as your name, your organization name, address, phone numbers and e-mail address is obtained only through voluntary submission from you, for example, when you send us the inquiries and register yourself to our services. All information that you supply will relate to the customer relationship that we have with you or your organization.",361,<first>,<what>
Purposes collecting your personal information,Purposes collecting your personal information,100.0,1801,main,Purposes collecting your personal information,45,<first>,<why>
We use your personal information for the purpose of the following:,We use your personal information for the purpose of the following:,100.0,1847,sub,We use your personal information for the purpose of the following:,66,<first>,<why>
1. When we have your consent to share the information.,1. When we have your consent to share the information.,100.0,1914,sub,1. When we have your consent to share the information.,54,<error>,<when>
2. To process and fulfill your order or notify you of order status.,2. To process and fulfill your order or notify you of order status.,100.0,1969,sub,2. To process and fulfill your order or notify you of order status.,67,<error>,<how-used>
3. When it's necessary for us to observe the law.,3. When it's necessary for us to observe the law.,100.0,2037,sub,3. When it's necessary for us to observe the law.,49,<error>,<how-used>
4. When it's necessary to protect and defend your rights or property.,4. When it's necessary to protect and defend your rights or property.,100.0,2087,sub,4. When it's necessary to protect and defend your rights or property.,69,<error>,<how-used>
