decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Privacy Policy        | Top Coaching,36,<error>,<error>
Attribution,Attribution,100.0,38,main,Attribution,11,<error>,<error>
Attribution for NCERT E-content,Attribution for NCERT E-content,100.0,50,main,Attribution for NCERT E-content,31,<error>,<error>
NCERT Books,NCERT Books,100.0,82,main,NCERT Books,11,<error>,<error>
Published by the National Council of Educational Research and Training (NCERT),Published by the National Council of Educational Research and Training (NCERT),100.0,94,main,Published by the National Council of Educational Research and Training (NCERT),78,<error>,<error>
Disclaimer,Disclaimer,100.0,173,main,"Disclaimer:We would like to clarify that we are not the owners or creators of NCERT e-books. Our platform merely provides access to these e-books in their original, unaltered form.According to NCERT e-books distribution policy, the content can be shared and made available in its original, unmodified state by anyone. We are committed to adhering to this policy and do not claim ownership of the content.",404,<error>,<error>
Disclaimer,Disclaimer,100.0,173,main,Users are encouraged to refer to the official NCERT website or authorized sources for any official updates or additional information regarding NCERT e-books.,157,<error>,<error>
License Link,License Link,100.0,738,main,License Link,12,<error>,<error>
Privacy Policy,Privacy Policy,100.0,751,main,Privacy Policy,14,<error>,<error>
A lot of companies say they care about your privacy — we say it and mean it!,A lot of companies say they care about your privacy — we say it and mean it!,100.0,766,sub,A lot of companies say they care about your privacy — we say it and mean it!,76,<error>,<error>
This document is our Privacy Policy for developer,This document is our Privacy Policy for developer,100.0,843,main,This document is our Privacy Policy for developer,49,<generic>,<error>
Mukesh Kaushik,Mukesh Kaushik,100.0,893,main,Mukesh Kaushik,14,<contact>,<error>
Applications,Applications,100.0,908,main,"Applications, ",14,<error>,<error>
which describes what information we collect from you and how we use it.,which describes what information we collect from you and how we use it.,100.0,922,main,which describes what information we collect from you and how we use it. ,72,<error>,<error>
"This is important, we hope you will take time to read it carefully.","This is important, we hope you will take time to read it carefully.",100.0,994,main,"This is important, we hope you will take time to read it carefully.",67,<error>,<error>
Google Admob,Google Admob,100.0,1062,main,Google Admob,12,<error>,<error>
"To provide our services free to you, we use third party (Google Admob) Ads within our apps.","To provide our services free to you, we use third party (Google Admob) Ads within our apps.",100.0,1075,main,"To provide our services free to you, we use third party (Google Admob) Ads within our apps. ",92,<third>,<error>
You can read about admob policies,You can read about admob policies,100.0,1167,sub,You can read about admob policies,33,<error>,<error>
here,here,100.0,1201,main,here,4,<error>,<error>
OneSignal,OneSignal,100.0,1206,main,"OneSignalWe  useOneSignalSDK for Notification. You can read theirPrivacy Policy HereMeta Audience NetworkTo provide our services free to you, ",142,<error>,<error>
We use,we use,100.0,1354,main,we use third party (Meta Audience Network) Ads within our apps. ,64,<error>,<error>
You can read their,You can read about,77.77777777777779,1418,main,You can read about Meta Audience Network policiesherePhotos/Media/FilesThis permission allow this application to save PDF in storage.StorageThis permission allow this application to save PDF in storage.Internet/Access Network StateOur applications uses INTERNET and ACCESS_NETWORK_STATE permissions for communicating from our application servers. Access network state is for check the network Connection status and observe the on/off of Network state.User Provided Information,476,<error>,<error>
You can read their,You can read about,77.77777777777779,1418,main,"The Application obtains the information you provide when you register on the Application. When you register with us and use the Application, you generally provide your name, email address, phone number and your Address.CookiesThird party vendors, including Google, use cookies to serve ads based on a user's prior visits to your website or other websites.",355,<error>,<error>
You can read their,You can read about,77.77777777777779,1418,main,"Google's use of advertising cookies enables it and its partners to serve ads to your users based on their visit to your sites and/or other sites on the Internet.Users may opt out of personalized advertising by visitingAds Settings. (Alternatively, you can opt out of a third-party vendor's use of cookies for personalized advertising by visitingwww.aboutads.info.)The only personal information a cookie can contain is information you supply. A cookie cannot read data off your hard drive.",488,<error>,<error>
You can read their,You can read about,77.77777777777779,1418,main,"Our advertisers may also assign their own cookies to your browser (if you click on their ads), a process that we do not control. We receive and store certain types of information whenever you interact with us via website, Application or Service though your computer/laptop/netbook or mobile/tablet/pad/handheld device etc.Children’s Privacy",340,<error>,<error>
You can read their,You can read about,77.77777777777779,1418,main,"Our Services don't address anybody younger than 13. We don't gather any data from kids under 13. For the situation we find that a youngster under 13 has given us individual data, we promptly erase this from our servers. If you are a parent and you find that your kid has provided any individual data, it would be ideal if you reach us.Opting outIf a user opts out using theAds Settings",385,<error>,<error>
You can read their,You can read about,77.77777777777779,1418,main,", the unique DoubleClick cookie ID on the user's browser is overwritten with the phrase ""OPT_OUT"". Because there is no longer a unique cookie ID, the opt-out cookie can't be associated with a particular browser.LINKS TO THIRD PARTY SITES / AD-SERVERSThe Application may include links to other websites or applications. Such websites or applications are governed by their respective privacy policies, which are beyond our control. Once you leave our servers, use of any information you provide is governed by the ",512,<error>,<error>
Privacy Policy,privacy policy,100.0,4001,sub,"privacy policy of the operator of the application, you are visiting. That policy may differ from ours. If you can't find the privacy policy of any of these sites via a link from the application's homepage, you should contact the application owners directly for more information.",278,<error>,<error>
Privacy Policy,privacy policy,100.0,4001,sub,"When we present information to our advertisers to help them understand our audience and confirm the value of advertising on our websites or Applications it is usually in the form of aggregated statistics on traffic to various pages / content within our websites or Applications. We use third-party advertising companies to serve ads when you visit our websites or Applications. These companies may use information (not including your name, address, email address or telephone number or other personally identifiable information) about your visits to this and other websites or application, in order to provide advertisements about goods and services of interest to you.",669,<error>,<error>
Privacy Policy,privacy policy,100.0,4001,sub,We do not provide any personally identifiable information to third party websites / advertisers / ad-servers without your consent.Automatically Collected InformationThis app does not automatically collect any persional information.Use of your Personal Information,263,<error>,<error>
Privacy Policy,privacy policy,100.0,4001,sub,We use the information to conduct research and to help us improve the Application and our service. We may use the contact information provided by you to communicate with you. We may use the individual data and behavior patterns combined with personal information to provide you with personalized content.CONFIDENTIALITY,319,<error>,<error>
Privacy Policy,privacy policy,100.0,4001,sub,"We do not collect sensitive personal data or information of users like password of your e mail account, financial information such as Bank Account details or Credit Card or Debit Card or other payment related details.NOTIFICATION OF MODIFICATIONS AND CHANGES TO THE T&C AND PRIVACY POLICYWe reserve the right to change the Terms and Privacy Policy from time to time as it sees fit and your continued use of the site will signify your acceptance of any adjustment to these terms. You are t",488,<error>,<error>
here,here,100.0,6028,main,"herefore advised to re-read the Terms and Privacy Policy on a regular basis. Should it be that you do not accept any of the modifications or amendments to the Terms and Privacy Policy, you may terminate your use of this application immediately.DisclaimerWe are not the official partner of Government or linked with any way with government. We",342,<error>,<error>
User Provided Information, just provide information,88.0,6372,main, just provide information to user which are available in public domain. All the information and website link are available in public domain and can be used by user.We do not own any website available in app. Application is developed as a public service to help Indian residents to find and manage their digital service in their area. People use app for personal information purpose only. Application is not affiliated with any government services or person.Security,465,<error>,<error>
User Provided Information, just provide information,88.0,6372,main,"We value your trust in providing us your Personal Information, thus we are striving to use commercially acceptable means of protecting it. But remember that no method is 100% secure and reliable over internet, and we cannot guarantee its absolute security.Contact UsIf you have any query about our Privacy Policy, do not hesitate to contact us at support@topcoaching.in .",371,<error>,<error>
