decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Game2play Privacy PolicySkip to main contentSearch This BlogBhargav AppsGame2play Privacy PolicyGet linkFacebookTwitterPinterestEmailOther AppsGame2play Privacy Policy--------------------------------------------------------------------------------------------------------------Itssubsidiaries and its affiliatesrespect the privacy of the users of their mobile applications (“User” or “you”) and are committed to protect the User’s information. We ,447,<error>,<error>
,,-1.0,0,,"believe that you have a right to know our practices regarding the information we may collect and use when you use our Apps (as such term is defined below).- Important, please read carefullyBy installing the apps on your mobile device, entering into, connecting to, accessing and/or using the apps, you agree to the terms and conditions set forth in this privacy policy, including to the possible collection and processing of your personal information. Please note: if ",468,<error>,<error>
,,-1.0,0,,"you or, as applicable, your legal guardian, disagree to any term provided herein, you may not install, access and/or use the apps and you are requested to promptly erase them, and any part thereof, from your mobile device.Please note: if you or, as applicable, your legal guardian, disagree to any term provided herein, you may Not install, access and/or use the apps and you are requested to promptly erase them, and any part thereof, From your mobile device.If",462,<error>,<error>
,,-1.0,0,, you are under the age of eighteen (18) you hereby represent that your legal guardian has reviewed and agreed to this Privacy Policy.-,134,<error>,<error>
Direct Advertising,Direct Advertising,100.0,1550,main,"Direct AdvertisingWe accept contextual advertisements from Third Party advertisers. These advertisers are carefully selected to provide information about products and services that we think may be of interest to our Users. Note that if You click on any of these advertisements, these advertisers may use ",304,<third>,<how-gathered>
Cookies,cookies,100.0,1860,main,"cookies and other web-tracking technologies to collect non-personal and/or personal information about You. We recommend that You review the terms of use and privacy policy for any advertiser and Third Party with which You are interacting before doing so. Their privacy policy, not ours, will apply to any of those interactions. You can find a full list of Third Parties Privacy Policy at:->Chartboost :https://chartboost.zendesk.com/hc/en-us/articles/200780269-Privacy-Policy?mobile_site=true->Vungle :",502,<tracking>,<what>
Cookies,cookies,100.0,1860,main,"https://vungle.com/privacy/-> AdMob :http://www.admob.com/home/privacy-CookiesWhere necessary, our apps uses cookies to store information about a visitor’s preferences and history in order to better serve the visitor and/or present the visitor with customized content. Advertising partners and other third parties may also use cookies, scripts and/or web beacons to track visitors to our site in order to display advertisements and other useful information. Such tracking is done directly by the third parties ",510,<tracking>,<what>
Cookies,cookies,100.0,1860,main,through their own servers and is subject to their own privacy policies.-,72,<tracking>,<what>
COPPA,COPPA,100.0,2969,main,"COPPAWe comply with the Children’s Online Privacy Protection Act. We do not knowingly collect personal information on children under the age of 13. When a user identifies himself or herself as a child under the age of 13 through a support request or through any feedback, we will not collect, store or use, and will delete in a secure manner, any personal information of such user.-",382,<first>,<when>
Adult Privacy Policy,Adult Privacy Policy,100.0,3360,main,"Adult Privacy PolicyWe are a team of designers, developers and artists building various applications. We have mobile & tablet applications developed (the applications with the site given through the Apps). Some of the features of the services regard to additional guidelines, rues or terms which will be posted in the apps in connection with such features. All such terms, guidelines and rules are included by reference into this agreement.The",443,<audience>,<why>
Adult Privacy Policy,Adult Privacy Policy,100.0,3360,main," applications are developed for use by all from small to aged. We know your concern for privacy of children and do not collect any information about children through the Apps. Verily, apart from parent information, we do not transmit any data saved on the applications back to servers. “Parent Information” means a parent’s email address received for intention of transmitting adult information about the Apps to parent. Detailed view regarding use of collected information is fully mentioned ",493,<audience>,<why>
Adult Privacy Policy,Adult Privacy Policy,100.0,3360,main,in our Privacy Policy below.,28,<audience>,<why>
Teenagers Privacy Policy,"Teenagers
 Privacy Polic",95.83333333333334,4341,main,"Teenagers Privacy Policy is designated to provide you, the legal guardian of youngsters above 18 years old with guidance regarding our privacy policies and principles we request you to guide your children. Before playing any games as shooting, killing or horror, show it to your parents first and play under observation of parents. Play game just for enjoyment and not for any impact negatively.- ",397,<audience>,<why>
Collected Information,Collected Information,100.0,4745,main,"Collected InformationClearly, within the Application you can set up multiple accounts – both accounts for children that permit a child to play game and for parents, that hold a “dashboard” that allows you, the parent or other adult to analyse a child’s use of the Application and to reply to questions & comments by the child. When making accounts for you or child, you may use names as you think proper i.e. real names or aliases. All such details on the will not transferred or made available to us.Game2play",510,<first>,<what>
Collected Information,Collected Information,100.0,4745,main,"does not directly collect and store on its servers any information from its Users of the Kids Apps. Some information may nonetheless be collected through and maintained byGame2playthird party providers of certain products or services, such as advertising networks, web analytics services, etc. (“Third Party(is)”). You, as the legal guardian of a Kid.We will forward your inquiry to the applicable Third Party and make an effort to provide you with such Third Party’s response within a reasonable time frame.- ",510,<first>,<what>
Offline Use,Offline Use,100.0,5788,main,"Offline UseGame2playallows an offline use (without Internet connection and without GPS enablement) of some features of its Kids Apps. Offline use of Kids Apps will preclude the collection byGame2playand/or Third Parties of any information pertaining to you, as the legal guardian of a Kid, and/or your use (including, as applicable, information pertaining to your Kid and his/her use) of the Kids Apps.- ",404,<first>,<what>
Online Use,Online Use,100.0,6203,main,"Online UseThere are three types of data and information which may be collected from Users of our Kids Apps:- Non-personal Information:Game2playallows Third Parties to collect non-identifiable and anonymous information as detailed below (“Kids Non-personal Information”). To put it simply, with respect to such Kids Non-personal InformationGame2playand the Third Parties have no idea of the identity of the User from whom Third Parties have collected the Kids Non-personal Information. Kids ",490,<first>,<what>
