decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy · Possible FinanceThe Possible CardOur ProductsAbout UsBlogDownload the AppLog InPrivacy PolicyLast Updated: July 25, 2022",137,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"This Privacy Policy explains how Possible Financial Inc. d/b/a Possible Finance (collectively, “Possible,” “Company”, “we”, “our” or “us”) collects, uses, discloses, and protects information we collect through our online services, websites, and mobile applications (“apps”) provided on or in connection with the services and also any and all communications with us via phone, email, text or otherwise (each, a “Service” and collectively, “Services”). Capitalized terms that are not defined in this Privacy Policy have the meaning given to them in our",550,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Terms of Use.When you use the Services, you consent to our collection, use, disclosure, and protection of information about you as described in this Privacy Policy.BY ACCESSING OR USING THE SERVICES, YOU AGREE TO THIS POLICY. IF YOU DO NOT AGREE TO THIS POLICY, PLEASE DO NOT USE THE SERVICE.1. ",295,<generic>,<error>
Collection of Your Information,Collection of Your Information,100.0,996,main,Collection of Your Information,30,<generic>,<what>
Collection of Your Information,Collection of Your Information,100.0,996,main,"We may collect and store various information about you including, for example, information that you provide to us, information that we automatically collect through your use of the Service (such as information obtained from our third party partners such as Plaid, Yodlee, etc.), and information from publicly available sources or third parties, as further detailed below. If you are an individual who utilizes our Services to obtain a financial product or service through us, we will use and share any information that we collect from or about you in accordance with our",570,<generic>,<what>
Collection of Your Information,Collection of Your Information,100.0,996,main,U.S. Consumer GLBA Financial Privacy Notice. Information subject to our Financial Privacy Notice is referred to as Non-Public Personal Information (“NPI”).,155,<generic>,<what>
A. Information you provide us directly,A. Information you provide us directly,100.0,1755,sub,A. Information you provide us directly,38,<error>,<what>
A. Information you provide us directly,A. Information you provide us directly,100.0,1755,sub,"The information we collect from you may vary depending on the product or service requested. We may ask for certain information such as your username, first and last name, birth date, telephone number, email address, social security number, income, and other details related to your financial situation when you use our Service. We may collect information that you voluntarily provide to us when using the Service. All of the information that we collect from you directly is identified in the forms, other places where you respond to questions, or where you indicate preferences throughout the Service, either online, through our app, or communicated through our customer service representatives.",695,<error>,<what>
A. Information you provide us directly,A. Information you provide us directly,100.0,1755,sub,"We may also retain any messages you send through the Service, customer service correspondence (via telephone, chat, text (SMS or MMS), email or otherwise), and may collect information you provide in User Content you post to the Service. Communications to Possible or to third-parties through Possible by you or to you may be recorded or monitored for quality assurance, customer service, training and/or risk management purposes.",429,<error>,<what>
B. Information That Is Collected Automatically,B. Information That Is Collected Automatically,100.0,2920,sub,"B. Information That Is Collected AutomaticallyIn addition to the information you provide to us directly, we may automatically collect information about your use of the Service, as described belo",194,<first>,<what>
1. Log file information,"w.
Log file information",91.30434782608697,3115,sub,w.Log file information.,23,<first>,<what>
1. Log file information,"w.
Log file information",91.30434782608697,3115,sub,"Log file information is automatically reported by your browser each time you access the Service. When you use our Service, our servers may automatically record certain log file information. These server logs may include information such as your web request, Internet Protocol (“IP”) address, browser type, browser language, operating system, platform type, the state or country from which you accessed the Service, software and hardware attributes (including Device ID), referring / exit pages and URLs, number of clicks and how you interact with links on the Service, domain names, landing pages, pages viewed and the order of those pages, the date and time you used the Service and uploaded or posted content, error logs, files you download, and other such informatio",769,<first>,<what>
2. Location information,"n.
Location information",91.30434782608697,3909,sub,"n.Location information.When you use the Service, we may automatically collect general location information (e.g., IP address, city/state and or zip code associated with an IP address) from your computer or mobile device. Please note that if you disable such features, you may not be able to access or receive some or all of the services, content, features and/or products made available via the Servic",401,<first>,<what>
3. Cookies and other technologies,"e.
Cookies and other technologies",93.93939393939394,4312,sub,e.Cookies and other technologies.,33,<first>,<what>
3. Cookies and other technologies,"e.
Cookies and other technologies",93.93939393939394,4312,sub,"We and our third-party service providers may use cookies, clear GIFs, pixel tags, beacons, and other technologies that help us better understand user behavior, personalize preferences, perform research and analytics, deliver tailored advertising, and improve the products and services we provide. You can choose to accept or decline certain cookies. Most web browsers automatically accept cookies, but your browser may allow you to modify your browser settings to decline certain cookies if you prefer. If you disable cookies, you may be prevented from accessing or taking full advantage of the Services.",604,<first>,<what>
1. Cookies,"1.
Cookies",90.0,4952,sub,1.Cookies,9,<first>,<what>
1. Cookies,"1.
Cookies",90.0,4952,sub,". When you visit the Service, we may send one or more cookies — a small text file containing a string of alphanumeric characters — to your computer that uniquely identifies your browser or stores information or settings on your device. Cookies let us help you log in faster and enhance your navigation through the site. A cookie may also convey information to us about how you use the Service (e.g., the pages you view, the links you click and other actions you take on the Service), and allow us or our business partners to track your usage of the Service over time. A persistent cookie remains on your hard drive after you close your browser. Persistent cookies may be used by your browser on subsequent visits to the site. Persistent cookies can be removed by following your web browser’s directions. A session cookie is temporary and disappears after you close your browser. Our Service may use HTTP cookies, HTML5 cookies and other types of local storage (such as browser-based or plugin-based local storage).",1014,<first>,<what>
2. Clear gifs/web beacons,"2.
Clear gifs/web beacons",96.0,5978,sub,"2.Clear gifs/web beacons. When you use the Service, we may employ clear gifs (also known as web beacons) which are used to anonymously track the online usage patterns of our Users. In addition, we may also use clear gifs in HTML-based emails sent to our users to track which emails are opened, which links are clicked by recipients, and whether our emails are forwarded. The information allows for more accurate reporting and improvement of the Service.",453,<first>,<what>
3. Web analytics,"3.
Web analytics",93.75,6434,sub,"3.Web analytics. We may use third-party Web analytics services on our Service, such as those of Google Analytics. These service providers use the technology described above to help us analyze how users use the Service. The information collected by the technology (including your IP address) will be disclosed to or collected directly by these service providers. To prevent Google Analytics from using information for analytics, a user may install the Google Analytics Opt-Out Browser Add-on by clickinghere.",507,<first>,<what>
4. Third-Party Ad Targeting,"4.
Third-Party Ad Targeting",96.2962962962963,6946,sub,"4.Third-Party Ad Targeting. We sometimes use the above technologies for interest-based advertising, which may be based on your device or browser’s signals received across websites or applications, and over time. Please see the section titled “Tailored Advertising” to learn how you can opt out of these marketing methods and technologies.",338,<first>,<what>
4. Third-Party Ad Targeting,"4.
Third-Party Ad Targeting",96.2962962962963,6946,sub,"We may use this information in a number of ways, including: (a) to remember information so that you will not have to re-enter it during your visit or the next time you visit Us; (b) to provide custom, personalized content and information; (c) to provide our Service and monitor its effectiveness; (d) to monitor aggregate metrics such as total number of visitors, traffic, and demographic patterns; (e) to diagnose or fix technology problems; (f) to help you efficiently access your information after you sign in; and (g) to deliver advertising to you.",552,<first>,<what>
4. Third-Party Ad Targeting,"4.
Third-Party Ad Targeting",96.2962962962963,6946,sub,"C. Information from Third-Party SourcesWe may receive information about you from publicly and commercially available sources, as permitted by law, which we may combine with other information we receive from or about you. For example, when you apply for a loan, we conduct due diligence about who you are as well as conduct a soft credit inquiry. We may use third party service providers who provide information about you in order for us to perform this due diligence such as credit reporting agencies.",501,<first>,<what>
4. Third-Party Ad Targeting,"4.
Third-Party Ad Targeting",96.2962962962963,6946,sub,"In order to display information to you or to fulfill your requests for certain products and services we may collect, on your behalf, your account and other personal information from third-party sites that you register under your account via the Service. We may also collect information about you from mailing list providers, publicly available sources, identification verification services and other third parties. For example, Possible uses Plaid, Inc. and Yodlee to gather your bank account and other financial data from financial institutions. Likewise, Possible may also use a third party to verify your income.",615,<first>,<what>
4. Third-Party Ad Targeting,"4.
Third-Party Ad Targeting",96.2962962962963,6946,sub,"By using our Service, you grant Possible, Plaid, and Yodlee, and other third-party service providers the right, power, and authority to act on your behalf to access and transmit your personal and financial information from the relevant financial institution. You understand and agree that we may use Plaid, and Yodlee to access your bank account and other financial information as long as you are registered with our Service and your connection(s) with these companies are still active to evaluate you for future credit options with us. You understand and agree to your personal and financial information being transferred, stored, and processed by Plaid, Yodlee and in accordance with the Plaid’s, and Yodlee’s privacy policy. Possible does not bear any responsibility for any actions or policies of third parties.If you choose to access, visit and/or use any third party social networking service(s) that may be integrated with or linked to the Service, we may receive Personal Information and other information about you and your computer, mobile or other device that you have made available to those services. We reserve the right to use, transfer, assign, sell, share, and provide access to all Personal Information and other information about you and your computer, mobile or other device that we receive through third-party social networking services in the same ways described in this Privacy Policy as all of your other information.",1441,<first>,<what>
4. Third-Party Ad Targeting,"4.
Third-Party Ad Targeting",96.2962962962963,6946,sub,2. Tailored Advertising,23,<first>,<what>
4. Third-Party Ad Targeting,"4.
Third-Party Ad Targeting",96.2962962962963,6946,sub,"We neither have access to, nor does this Privacy Policy govern, the use of cookies or other tracking technologies that may be placed on your computer, mobile phone, or other device you use to access the Service by non-affiliated, third-party ad technology, ad servers, ad networks or any other non-affiliated third-parties. Those parties that use these technologies may offer you a way to opt out of ad targeting as described below. If you receive tailored advertising on your computer through a web browser, you can learn more about such tailored browser advertising and how you can generally control cookies from being put on your computer to deliver tailored advertising, by visiting the Network Advertising Initiative’s Consumer Opt-Out",740,<first>,<what>
4. Third-Party Ad Targeting,"4.
Third-Party Ad Targeting",96.2962962962963,6946,sub,"linkor the Digital Advertising Alliance’s Consumer Opt-Outlinkto opt-out of receiving tailored advertising from companies that participate in those programs.To opt out of Google Analytics for display advertising or customize Google display network ads, you can visit the Google Ads Settings page on your browser.We may use Facebook Inc. remarketing services. You can learn more about interest-based advertising and how ads work from Facebook by visiting this page:",464,<first>,<what>
4. Third-Party Ad Targeting,"4.
Third-Party Ad Targeting",96.2962962962963,6946,sub,https://www.facebook.com/help/516147308587266/how-ads-work-on-facebook/. To opt-out from Facebook’s interest-based ads follow these instructions from Facebook:https://www.facebook.com/help/568137493302217. Facebook adheres to the Self-Regulatory Principles for Online Behavioral Advertising established by the Digital Advertising Alliance. You can also opt-out from Facebook and other participating companies through the Digital Advertising Alliance in the USAhttp://www.aboutads.info/choices/,493,<first>,<what>
4. Third-Party Ad Targeting,"4.
Third-Party Ad Targeting",96.2962962962963,6946,sub,". For more information on the privacy practices of Facebook, please visit Facebook’s Data Policy:https://www.facebook.com/privacy/explanation.Please note that to the extent advertising technology is integrated into the Service, you may still receive advertisements even if you opt out. In that case, the advertising will not be tailored to your interests. Also, we do not control any of the above opt-out links or whether any particular company chooses to participate in these opt-out programs. We are not responsible for any choices you make using these mechanisms or the continued availability or accuracy of these mechanisms.",628,<first>,<what>
4. Third-Party Ad Targeting,"4.
Third-Party Ad Targeting",96.2962962962963,6946,sub,"3. Do Not Track Signals and Similar MechanismsSome Internet browsers may be configured to send “Do Not Track” signals to the online services that you visit. We currently do not respond to “Do Not Track” or similar signals. To find out more about “Do Not Track,” please visithttp://www.allaboutdnt.com.4. ",304,<first>,<what>
Use of Your Information,Use of Your Information,100.0,13074,main,"Use of Your InformationWe may use your information and/or combine any or all elements of your information for a number of purposes, including:To provide you with and manage the Service.We use your information to provide, develop, maintain and improve our Service and the features and functionality of the Service. This may include customization and tailoring the Service features according to the information that you provide.To process and fulfill a request or other transaction submitted to us.",496,<first>,<why>
