decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyWhatsAuto - Reply AppWhatsAutoPrivacy PolicyThis privacy policy (""Policy"") describes how Mobile Application          Developer (""Mobile Application Developer"", ""we"", ""us"" or ""our"")          collects, protects and uses the personally identifiable information          (""Personal Information"") you (""User"", ""you"" or ""your"") may provide in          the WhatsAuto mobile application and any of its products or services          (collectively, ""Mobile Application"" or ""Services""). It also describes",507,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"          the choices available to you regarding our use of your personal          information and how you can access and update this information. This          Policy does not apply to the practices of companies that we do not own          or control, or to individuals that we do not employ or manage.",303,<generic>,<error>
Collection of Personal Information,Collection of personal information,100.0,824,main,"Collection of personal informationWe receive and store any information you knowingly provide to us when          you fill any online forms in the Mobile Application. You can choose          not to provide us with certain information, but then you may not be          able to take advantage of some of the Mobile Application's features.",335,<generic>,<what>
Collection of Non-Personal Information,Collection of non-personal information,100.0,1164,main,"Collection of non-personal informationWhen you open the Mobile Application our servers automatically record          information that your device sends. This data may include information          such as your device's IP address and location, device name and          version, operating system type and version, language preferences,          information you search for in our Mobile Application, access times and          dates, and other statistics.",451,<first>,<what>
Use of Collected Information,Use of collected information,100.0,1622,main,Use of collected informationAny of the information we collect from you may be used to personalize          your experience; improve our Mobile Application; improve customer          service and respond to queries and emails of our customers; run and          operate our Mobile Application and Services. Non-personal information          collected is used only to identify potential cases of abuse and          establish statistical information regarding Mobile Application traffic,481,<first>,<why>
Use of Collected Information,Use of collected information,100.0,1622,main,          and usage. This statistical information is not otherwise aggregated in          such a way that would identify any particular user of the system.,155,<first>,<why>
Children,Children,100.0,2267,main,"ChildrenWe do not knowingly collect any personal information from children          under the age of 13. If you are under the age of 13, please do not          submit any personal information through our Mobile Application or          Service. We encourage parents and legal guardians to monitor their          children's Internet usage and to help enforce this Policy by          instructing their children never to provide personal information",445,<audience>,<who>
Children,Children,100.0,2267,main,"          through our Mobile Application or Service without their permission. If          you have reason to believe that a child under the age of 13 has          provided personal information to us through our Mobile Application or          Service, please contact us.",269,<audience>,<who>
Advertisement,Advertisement,100.0,2992,main,"AdvertisementWe may display online advertisements and we may share aggregated and          non-identifying information about our customers that we collect          through the registration process or through online surveys and          promotions with certain advertisers. We do not share personally          identifiable information about individual customers with advertisers.          In some instances, we may use this aggregated and non-identifying",453,<third>,<other>
Advertisement,Advertisement,100.0,2992,main,          information to deliver tailored advertisements to the intended          audience.,91,<third>,<other>
Information Security,Information security,100.0,3545,main,"Information securityWe secure information you provide on computer servers in a controlled,          secure environment, protected from unauthorized access, use, or          disclosure. We maintain reasonable administrative, technical, and          physical safeguards in an effort to protect against unauthorized          access, use, modification, and disclosure of personal information in          its control and custody. However, no data transmission over the",463,<security>,<how-used>
Information Security,Information security,100.0,3545,main,"          Internet or wireless network can be guaranteed. Therefore, while we          strive to protect your personal information, you acknowledge that (i)          there are security and privacy limitations of the Internet which are          beyond our control; (ii) the security, integrity, and privacy of any          and all information and data exchanged between you and our Mobile          Application cannot be guaranteed; and (iii) any such information and",465,<security>,<how-used>
Information Security,Information security,100.0,3545,main,"          data may be viewed or tampered with in transit by a third-party,          despite best efforts.",105,<security>,<how-used>
Data Breach,Data breach,100.0,4593,main,"Data breachIn the event we become aware that the security of the Mobile          Application has been compromised or users Personal Information has          been disclosed to unrelated third-parties as a result of external          activity, including, but not limited to, security attacks or fraud, we          reserve the right to take reasonably appropriate measures, including,          but not limited to, investigation and reporting, as well as",450,<retention>,<how-used>
Data Breach,Data breach,100.0,4593,main,"          notification to and cooperation with law enforcement authorities. In          the event of a data breach, we will make reasonable efforts to notify          affected individuals if we believe that there is a reasonable risk of          harm to the user as a result of the breach or if notice is otherwise          required by law. When we do we will post a notice in the Mobile          Application.",409,<retention>,<how-used>
Legal Disclosure,Legal disclosure,100.0,5465,main,"Legal disclosureWe will disclose any information we collect, use or receive if          required or permitted by law, such as to comply with a subpoena, or          similar legal process, and when we believe in good faith that          disclosure is necessary to protect our rights, protect your safety or          the safety of others, investigate fraud, or respond to a government          request.",400,<third>,<how-gathered>
Changes and Amendments,Changes and amendments,100.0,5872,main,"Changes and amendmentsWe reserve the right to modify this privacy policy relating to the          Mobile Application or Services at any time, effective upon posting of          an updated version of this Policy in the Mobile Application. When we          do we will revise the updated date at the bottom of this page.          Continued use of the Mobile Application after any such changes shall          constitute your consent to such changes.Acceptance of this policy",470,<change>,<when>
Changes and Amendments,Changes and amendments,100.0,5872,main,"You acknowledge that you have read this Policy and agree to all its          terms and conditions. By using the Mobile Application or its Services          you agree to be bound by this Policy. If you do not agree to abide by          the terms of this Policy, you are not authorized to use or access the          Mobile Application and its Services.",350,<change>,<when>
Contacting Us,Contacting us,100.0,6705,main,"Contacting usIf you have any questions about this Policy, please contact us. This          document was last updated on May 2, 2018",131,<contact>,<how-gathered>
