decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Privacy and security | Service VictoriaPlease enable JavaScript in order to get the best experience when using this site.Jump to main navigationJump to main contentToggle navigationThe place to go for government servicesService VictoriaFind servicesTransport and drivingRegistrationCheck registrationRenew registrationTransfer registrationUnregistered vehicle permitLicencesDigital driver licenceLearner permit or driver testRenew driver licenceMaintain your L-plate log bookRenew learner permit,495,<error>,<error>
,,-1.0,0,,Renew marine licenceReplace licenceDriver history and demerit pointsDriver history reportMyki cardBuy a Myki cardTop-up a MykiTraffic accident reportsApply for a traffic accident reportFinesPay your finesTollwaysLinktEastLinkPersonalGrowing olderManaging financesVeterans CardGet a digital Veterans Card - VictoriaDigital Veterans Card - Victoria Help CentreSavings FinderAmbulance membershipBecome an Ambulance Victoria memberRenew Ambulance Victoria membershipUpdate Ambulance Victoria details,495,<error>,<error>
,,-1.0,0,,Life event certificatesBirth certificateMarriage certificateDeath certificateWillsMake a WillChanging or revealing identityFamily historySearch family historyProof of age cardApply for a proof of age cardUnclaimed moneySearch for unclaimed moneyApply for unclaimed moneyLodge unclaimed moneySeniors cardApply for a seniors cardDigital Seniors CardEnrol to voteEnrol to voteBecoming an independent adultBusinessBusiness profileBusiness servicesSolar for business rebatesPermits and licencesFamily and child,505,<error>,<error>
,,-1.0,0,,ParentingWork and volunteeringSick Pay GuaranteeSign up for Sick Pay GuaranteeMake a Sick Pay Guarantee claimVolunteerWorking with Children CheckDigital Working with Children Check cardApply for Working with Children CheckRenew your Working with Children CheckCheck your Working with Children Check statusUpdate your Working with Children Check detailsFind your Working with Children Check card numberChange from volunteer to employeeGet a copy of your Working with Children Check card,485,<error>,<error>
,,-1.0,0,,Teacher Notifications to WWCCVUpdate your name on Working with Children CheckReplace my Working with Children Check cardDisability Worker RegistrationVictorian Disability Worker RegistrationDispute your police check resultNDIS Worker Screening CheckApply for an NDIS Worker Screening CheckUpdate NDIS Worker Screening detailsWorksafeReport an incidentMake a claimApply for a licenceRegister for insuranceResponsible service of alcoholComplete responsible service of alcohol training,482,<error>,<error>
,,-1.0,0,,Gaming industry employee licenceApply for gaming industry employee licencePrivate security licenceApply for a private security licenceOutdoor and recreationFishing licenceBuy a fishing licenceGet Active Kids voucherRegistration of interest to hunt pest animalsMining rightsBuy a Victorian miners rightKangaroo managementFind a kangaroo harvesterBeekeepingRegister as a beekeeperParks and reserves event applicationSubmit a parks and reserves event applicationWildlife licenceApply for a wildlife licence,503,<error>,<error>
,,-1.0,0,,Bays and waterways event applicationApply for a bays and waterways eventRegister a party with the Partysafe programHealth and careCarersHealthSupport for seniorsHousing and propertyBuying and RentingApply for the first home owner grantBuying a propertyComplete a digital duties formDo a land title searchFind out about land taxHomes Victoria Online ServicesPay a rental bondRental agreement and applicationFinding a homeRebates for home energy efficiencyApply for a hot water rebateApply for a Solar Homes rebate,512,<error>,<error>
,,-1.0,0,,Register absence from residenceCrime and the lawNational police checkApply for a National Police CheckDispute your police check resultAbsence from ResidenceRegister your absence from residenceLegal supportMigrationPartysafe programRegister a party with the Partysafe programFirearm licenceApply for a firearm licenceRenew a firearm licenceCrime reportOrder a crime report for insuranceTheftReport a theft to Victoria PoliceLost propertyReport lost propertyProperty damageReport property damage,493,<error>,<error>
,,-1.0,0,,Education and trainingApprenticeshipsGetting an educationSkillsAbout usWho we areContact usSend us a messageLog inNavigationClose navigationFind servicesFind services child pagesTransport and drivingTransport and driving child pagesRegistrationRegistration child pagesCheck registrationRenew registrationTransfer registrationUnregistered vehicle permitLicencesLicences child pagesDigital driver licenceLearner permit or driver testRenew driver licenceMaintain your L-plate log bookRenew learner permit,501,<error>,<error>
,,-1.0,0,,Renew marine licenceReplace licenceDriver history and demerit pointsDriver history and demerit points child pagesDriver history reportMyki cardMyki card child pagesBuy a Myki cardTop-up a MykiTraffic accident reportsTraffic accident reports child pagesApply for a traffic accident reportFinesFines child pagesPay your finesTollwaysTollways child pagesLinktEastLinkPersonalPersonal child pagesGrowing olderGrowing older child pagesManaging financesManaging finances child pagesVeterans Card,489,<error>,<error>
