decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Gumtree Australia Support Knowledgebase - Policies - Gumtree Privacy PolicyHomepage-Icon-SVGsHomepage-Icon-SVGsHomepage-Icon-SVGsHomepage-Icon-SVGsHomepage-Icon-SVGsImportant Articles :All official Gumtree pages will contain gumtree.com.au in the URL and https:// at the beginning, Gumtree does not offer a delivery service, and Gumtree will never send communication via text or Whatsapp. More details:Suspicious emailsGumtreeMenuGumtreeBasicsPoliciesSafetyGumtree for BusinessTechnical IssueContact usContact us",512,<error>,<error>
,,-1.0,0,,"We are available to help you 24/7, via email or live chatChoose an article in: PoliciesGeneral PoliciesGumtree Terms of UseGumtree Privacy PolicyCookie PolicyCopyright and IP PoliciesDealer Central Licence TermsPets / LivestockWhat are the Pets Policies?Gumtree Pets Code of PracticeGumtree does not support puppy or kitten millsGumtree Guide to Responsible Pet OwnershipGumtree Pets Insertion FeeNative wildlife trade & protected (native or exotic) speciesBuying and selling livestockPosting Policies",501,<error>,<error>
,,-1.0,0,,What are the General posting rules?Advertiser GuidelinesWhat is not allowed on Gumtree?Posting duplicate AdsCars & VehiclesWhat are the Cars / vehicles / motorbikes / parts policies?Please don't use keyword spamming or keyword stuffing techniquesPosting as a dealerServices for HireWhat are the Services for Hire policies?Real EstateRental/Share Accommodation Posting PoliciesRental/Real estate – Trading TipsJobsWhat are the Jobs Policies?CommunityWhat are the Community Guidelines?Tickets,490,<error>,<error>
,,-1.0,0,,Selling tickets on GumtreeGumtree Privacy PolicyGumtree User Privacy Notice (Privacy Policy)Effective as at:19 November 2021Summary & Contents,142,<error>,<error>
Scope and Consent,Scope and Consent,100.0,1704,main,Scope and ConsentGumtree AU Pty Limited ('Gumtree') is the operator of gumtree.com.au ('the Site'). This Privacy Notice describes:the personal information we collect and how we use that informationwhen we might disclose your personal informationhow we keep and protect your personal information,294,<generic>,<other>
Scope and Consent,Scope and Consent,100.0,1704,main,"The Privacy Notice applies to this Site and to any applications, services or tools (collectively 'Services') where this Privacy Notice is referenced. By using our Services and/or registering for an account, you are accepting the terms of this Privacy Notice and ourTerms of Use",277,<generic>,<other>
Collection,Collection,100.0,2282,main,"CollectionWe collect, process and retain personal information from you and any devices (including mobile devices) you use when you:register for an account with us, use our Services, give us information on a web form, update or add information to your account, join community discussions, chats or dispute resolution or when you otherwise contact us",348,<generic>,<what>
Use and Retention,Use and Retention,100.0,2632,main,Use and Retention,17,<first>,<why>
Use and Retention,Use and Retention,100.0,2632,main,"We use your personal information to:provide and improve our Services or those of our related entities [such as Autotrader and CarsGuide - Carsguide Autotrader Media Solutions Pty Ltd] ('Related Companies'), give you a personalised experience on our sites or on any sites that are operated by our Related Companies, contact you, provide customer service, provide you with personalised advertising and marketing, including marketing from our Related Companies and other third parties, and detect, prevent and investigate fraud and/or other illegal activities.",557,<first>,<why>
Use and Retention,Use and Retention,100.0,2632,main,"We keep personal information from active accounts as long as it is needed for our operations. We also keep personal information from closed accounts when we’re legally required to and also to stop fraud, collect outstanding fees, troubleshoot problems, help with investigations, enforce ourTerms of Useand take other actions under applicable national laws",355,<first>,<why>
Choice,Choice,100.0,3566,main,ChoiceYou choose how we use your personal information to communicate with you,77,<first>,<why>
Access,Access,100.0,3645,main,AccessYou can access and correct your personal information,58,<access>,<error>
Disclosure,Disclosure,100.0,3705,main,Disclosure,10,<third>,<why>
Disclosure,Disclosure,100.0,3705,main,"We may share your personal information with Related Companies and third parties to provide you with our Services, to comply with the law, to enforce our policies, to enable our marketing and advertising activities and those of our Related Companies, or to prevent, detect, mitigate and investigate fraud or other illegal activities. We only share your personal information with our Related Companies to market and advertise their products and services which we believe will be of interest to you. We don’t give your personal information to other third parties for their marketing and advertising purposes unless you give us permission.",635,<third>,<why>
Security,Security,100.0,4352,main,SecurityWe protect your information using technical and administrative security measures,88,<security>,<error>
Important Information,Important Information,100.0,4442,main,Important InformationThis section sets out some important information about your use of our Services,100,<generic>,<other>
Questions or Complaints,Questions or Complaints,100.0,4544,main,"Questions or ComplaintsIf you have a question or a complaint about this Privacy Notice or our privacy practices, you can contact us via ouronline contact formunder the topic of 'Legal notices or inquiries'. If you are not satisfied with our response, you may contact the Office of the Australian Information Commissioner (Telephone +61 1300 363 992 or email enquiries@oaic.gov.au)",380,<contact>,<other>
Scope and Consent,Scope and Consent,100.0,4928,main,"Scope and ConsentThis Privacy Notice describesthe personal information we collect and how we use that informationwhen we might disclose your personal informationhow we keep and protect your personal informationIt applies to this Site and to any Services where this Privacy Notice is referenced.By using our Services and/or registering for an account, you are accepting the terms of this Privacy Notice and ourTerms of Use",421,<error>,<when>
Scope and Consent,Scope and Consent,100.0,4928,main,". If you do not provide the information we require, we may not be able to provide all of our Services to you.",109,<error>,<when>
Scope and Consent,Scope and Consent,100.0,4928,main,"Gumtree is responsible for the collection, use, disclosure, retention and protection of your personal information under our privacy standards and applicable national laws. Gumtree may transfer data to Related Companies as described in this Privacy Notice who may process and keep your personal information on servers in the European Union, United States and elsewhere in the world where our data centres are located. Where we disclose your information to third parties that are located overseas, or where your information is held in our overseas servers, we will take reasonable steps to ensure that your personal information is protected in accordance with law.",662,<error>,<when>
