decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"PrivacySkip to main contentSearch This BlogPrivacyPrivacyGet linkFacebookTwitterPinterestEmailOther AppsApril 25, 20191. ",121,<error>,<error>
Privacy Policy,Privacy Policy,100.0,133,main,Privacy PolicyTh,16,<generic>,<error>
1. Privacy Policy,is Privacy Policy,88.23529411764706,150,main,"is Privacy Policy applies to all apps under the publisher name ""Coloring Games and Coloring Book for Adults"". We have created this policy to explain our privacy practices so that you understand what information is collected, used, and disclosed about you. We collect information from you in order to provide relevant service and a better user experience. With your consent to this Privacy Policy, your usage, statistics, and inputs will be collected when using our Apps.",470,<error>,<error>
1. Privacy Policy,is Privacy Policy,88.23529411764706,150,main,"The Privacy Policy on this page applies to all applications published by ""Coloring Games and Coloring Book for Adults"". We declare that the data we collect from our users shall be binding on our company under the terms of this policy. We use your information to provide relevant services and an engaging user experience. This policy outlines the procedures for collecting, using, and disclosing any type of data received from the App users.",440,<error>,<error>
1. Privacy Policy,is Privacy Policy,88.23529411764706,150,main,"We take the security and privacy of your data seriously. This privacy statement explains the types of data collected by ""Coloring Games & Coloring Book for Adults"", affiliates, and subsidiaries (collectively, ""we,"" ""us,"" or ""our""). How we use that data, and the parties with whom we share it . This Privacy Statement applies to your access and use of ""Coloring Games and Coloring Books for Adults"" and any subsequent versions, updates, or changes; This also includes any information, goods, or services that may be provided in connection with the App.",551,<error>,<error>
1. Privacy Policy,is Privacy Policy,88.23529411764706,150,main,2. There are the following sections in this privacy poli,56,<error>,<error>
2. Information That You Give Us,"cy
Information That You Give Us",90.32258064516128,1670,main,"cyInformation That You Give Us.We may collect personal information from our Users in order to provide you with a personalised, useful, and efficient experience. The categories of ",179,<generic>,<error>
Information We Collect,information we collect,100.0,1851,sub,"information we collect may include social network personal information and device gallery images. We may collect non-personally identifiable information about installed applications, application usage information, and device information. Information you provide to us, for example, when you provide feedback on our applications and services through our Feedback Channel, such as your email address ""coloringpages2018@gmail.com"".",428,<first>,<error>
Information We Collect,information we collect,100.0,1851,sub,"We only have access to the data you voluntarily provide us. We gather information, for instance, whether you open an account, subscribe to a service, engage in interactive elements of that service, sign up for a newsletter or email list, take part in a survey, contest, promotion, or event, or otherwise get in touch with us.",325,<first>,<error>
A) Types of information we may collect from you include:,A) Types of information we may collect from you include:,100.0,2606,sub,A) Types of information we may collect from you include:(,57,<error>,<error>
a) Account Information:,a) Account Information:,100.0,2664,sub,"a) Account Information:Your name, email address, password, postal address, phone number, subscription information, and any other details you want to provide may be collected in relation to your accounts.(",204,<error>,<error>
b) Transaction Information:,b) Transaction Information:,100.0,2870,sub,"b) Transaction Information:Regarding any goods and services you purchase from us, we may gather information. Although we do not collect or store complete credit card details and all transactions are handled by our third-party payment processor, we may also get and retain some limited payment information from you, such as the kind of payment card.(",349,<error>,<error>
c) Other Information:,c) Other Information:,100.0,3221,sub,"c) Other Information:You Choose to Provide, such as when you take part in a poll, contest, promotion, or interactive portion of the Services or when you ask for customer or technical support.",191,<error>,<error>
B) Information We Collect Automatically,B) Information We Collect Automatically,100.0,3414,sub,B) Information We Collect AutomaticallyThe types of information we may automatically gather about you when you use or use the Services include:(,144,<error>,<error>
a) Log Information:,a) Log Information:,100.0,3560,sub,"a) Log Information:Your Internet Protocol (""IP"") address, operating system, browser type and language, referring URLs, access times, pages viewed, links clicked, and other information about your activity on the Services are automatically logged by our servers when you visit the Services.(",289,<error>,<error>
b) Mobile Device Information:,b) Mobile Device Information:,100.0,3851,sub,b) Mobile Device Information:,29,<error>,<error>
b) Mobile Device Information:,b) Mobile Device Information:,100.0,3851,sub,"We gather details on the hardware model, operating system, and version of the mobile device you use to access or use the Services, as well as specific device identifiers, information about your mobile network, and details about how you use the Services. To make it easier for you to use specific features of the Services, we may additionally get information about the location of your device and access and gather data from a few native programmes on your device (such as the camera, photo album, and phonebook applications). Please read ""Your Choices"" below for additional details on how to manage the collection of location data and/or our access to other programmes on your device.",684,<error>,<error>
b) Mobile Device Information:,b) Mobile Device Information:,100.0,3851,sub,(,1,<error>,<error>
c) Information Collected by Cookies and Other Tracking Technologies:,c) Information Collected by Cookies and Other Tracking Technologies:,100.0,4567,sub,c) Information Collected by Cookies and Other Tracking Technologies:,68,<error>,<error>
c) Information Collected by Cookies and Other Tracking Technologies:,c) Information Collected by Cookies and Other Tracking Technologies:,100.0,4567,sub,"When you engage with our Services, we and our service providers use a variety of tracking technologies, such as cookies and web beacons, to gather information about you, such as details about your browsing and purchasing habits. Cookies are little data files that are saved to your device's memory or hard disc and allow us analyse user behaviour, count visits, and improve the Services and your experience. Web beacons are tiny electronic pictures that may be used in emails or the Services to distribute cookies, track website activity, and measure the success of advertising campaigns. Please see ""Your Choices"" below for additional details on cookies and how to turn them off.",680,<error>,<error>
