decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Abra ,5,<error>,<error>
Privacy Policy,Privacy Policy,100.0,5,main,Privacy PolicySkip to contentToggle navigationIndividualsOverviewTradeBoostBorrowCredit CardBuy Crypto via WebPrivate ClientsInstitutionsLearnHow to Use AbraMoney Talks with CEO BillIntro to CryptoBlogSupportFAQs & ContactCompanyMissionManagement TeamCareersPressContact UsContact UsDownload AppDownload AppDownload AppDownload AppPrivacy PolicyLast updated: December 2022,372,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,5,main,"Plutus Financial, Inc., its subsidiaries and affiliates (collectively, “Abra”), provides individuals, private clients, and institutions with cryptocurrency services, including trading, lending, liquidity, and asset management. This Privacy Policy explains how Abra collects, uses, and discloses your Personal Information and how you may exercise your applicable privacy rights.",377,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,5,main,"The nature of your relationship with Abra, as well as your individual circumstances, may determine the privacy practices applicable to you. In certain circumstances, we may provide you with additional privacy notices as the circumstances may require, including:Gramm-Leach-Bliley Act (“GLBA”) Privacy NoticeIf you have questions about how this Privacy Policy applies to you, please contact us at[email protected].Updates to this Privacy Policy",443,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,5,main,"We may update this Privacy Policy from time-to-time. If we make any material changes, we will notify you by revising the date at the top of the policy and, in some cases, may provide you with additional notice (such as adding a statement to our homepage or sending you a notification). We encourage you to review this Privacy Policy whenever you interact with us to stay informed about our privacy practices and the choices available to you. Abra will not process Personal Information for a purpose different than the purpose for which it was originally obtained without providing you with prior notice and/or obtaining your consent.",633,<generic>,<error>
Collection of Personal Information,Collection of Personal Information,100.0,1870,main,"Collection of Personal InformationPersonal Information is data that identifies, relates, or could be linked to an individual. We may collect the following categories of Personal Information collected or supplied to us through this website located athttps://abra.com, the Abra iOS or Android mobile apps, the Abra payment card application, or by other means, including through any email message, webform, chat box, survey, social media page, or other correspondence:",465,<generic>,<what>
Contact Data,Contact Data,100.0,2339,sub,"Contact DataName (first and last), phone number, e-mail, mailing address, and country",85,<first>,<what>
Individual Account Registration Data,Individual Account Registration Data,100.0,2426,sub,"Individual Account Registration DataFull legal name, Social Security Number* (“SSN”) or a comparable government-issued identification number*, date of birth, proof of identity (e.g., unexpired driver’s license, passport or other government-issued identification), “selfie” picture and live recorded “liveliness” check of your face and likeness, home address (not a mailing address or P.O. Box), consumer and credit report information, and any additional Personal Information or documentation at the discretion of our Operations Team",532,<first>,<what>
Company Account Registration Data,Company Account Registration Data,100.0,2960,sub,Company Account Registration Data,33,<first>,<what>
Company Account Registration Data,Company Account Registration Data,100.0,2960,sub,"Entity legal name, Employer Identification Number (“EIN”) or any comparable identification number issued by a government, full legal name of all account signatories, email address of all account signatories, mobile phone number of all account signatories, principal place of business and/or other physical location, proof of legal existence (e.g., state certified articles of incorporation or certificate of formation, unexpired government-issued business license, trust instrument, or other comparable legal documents as applicable), documentation indicating that the signatories are authorized to act on behalf of the legal entity, “selfie” picture and recorded “liveliness” check of your face and likeness, and any additional information or documentation at the discretion of our Operations Team",798,<first>,<what>
