decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"mHealhtBox.com - contract, safety and ",38,<error>,<error>
PRIVACY POLICY,privacy policy,100.0,38,main,privacy policyPrivacy Policy and Contract Terms and Conditions,62,<error>,<error>
Security,Security,100.0,102,main,Security,8,<error>,<error>
Privacy Policy,Privacy Policy,100.0,111,main,Privacy Policy,14,<error>,<error>
Contract Terms and Conditions,Contract Terms and Conditions,100.0,126,main,Contract Terms and Conditions,29,<error>,<error>
All versions,All versions,100.0,156,main,All versions2016-07-04PRIVACY POLICY,36,<error>,<error>
The subject matter of this Privacy Policy is in regards to the principles of collection and use of data concerning the Users of mobile applications and web services included as part of the mhealthbox.com platform,"The subject matter of this Privacy Policy is in regards to the principles of collection and use of data concerning 
the Users of mobile applications and web services included as part of the mhealthbox.com platfor",99.52830188679245,195,main,The subject matter of this Privacy Policy is in regards to the principles of collection and use of data concerning the Users of mobile applications and web services included as part of the mhealthbox.com platform(see the list).bpresso.com - blood pressure under controlasthmo.com - take a deep breathdbees.com - diabetes under controlscaless.com - manage your weight,366,<generic>,<error>
"As part of the provided service, the Service Provider makes every effort to ensure the safety of available data, in particular against access by unauthorised persons.","As part of the provided service, the Service Provider makes every effort to ensure the safety of available data, in particular against access by unauthorised persons.",100.0,570,main,"As part of the provided service, the Service Provider makes every effort to ensure the safety of available data, in particular against access by unauthorised persons.",166,<security>,<error>
The Use of the Services requires that the User's personal data is processed.,The Use of the Services requires that the User's personal data is processed.,100.0,737,main,"The Use of the Services requires that the User's personal data is processed. This data shall be processed by Freshware Sp. z o.o. so as to conclude and implement the Terms of Agreement.To ensure the safety of available data, in particular against access by unauthorised persons,all content related to health conditions is made anonymous and processed in a manner preventing identification of those making this data available.",425,<first>,<error>
Information contained in the system logs,Information contained in the system logs,100.0,1167,main,"Information contained in the system logs may contain various data, e.g. IP address, which is used only for technical purposes as well as for collection of general statistical demographic information.",199,<generic>,<error>
Some areas of the service use cookie files,Some areas of the service use cookie files,100.0,1369,main,"Some areas of the service use cookie files, namely text files saved on the User's computer identifying him or her in a way necessary to make some operations available.Cookie files are used, among others, to save data necessary for logging in the User. The condition for enabling cookies is their acceptance through the web browser and keeping them on the hard drive.",366,<tracking>,<error>
The Service Provider makes every effort to provide the User with access to his/her personal data in order to correct or remove,The Service Provider makes every effort to provide the User with access to his/her personal data in order to correct or remove,100.0,1738,main,"The Service Provider makes every effort to provide the User with access to his/her personal data in order to correct or remove. Owing to the type of operation of some of the Services, after removal of information by the User, additional copies of such information may remain on active servers and in backup systems.",315,<access>,<error>
Operation of the website may be financed from advertisements,Operation of the website may be financed from advertisements,100.0,2056,main,"Operation of the website may be financed from advertisements, therefore, advertisements, surveys and promotional offers may be displayed both on the website and within the application. These advertisements may be associated with the content of information kept on the website and in the application or within the inquiries addressed via the website.",349,<third>,<error>
"In the case of undertaking technical activities necessary for provision of service, the User's data may be made available to other entities for the purpose of providing services.","In the case of undertaking technical activities necessary for provision of service, the User's data may be made available to other entities for the purpose of providing services.",100.0,2409,main,"In the case of undertaking technical activities necessary for provision of service, the User's data may be made available to other entities for the purpose of providing services.",178,<third>,<error>
"Transaction data, including personal data, may be transferred to PayLane Sp. z o.o.","Transaction data, including personal data, may be transferred to PayLane Sp. z o.o.",100.0,2588,main,"Transaction data, including personal data, may be transferred to PayLane Sp. z o.o. based in Gdańsk at Arkońska 6/A3, postal code: 80-387, KRS No.: 0000227278 for the process of payments for the Services. ",205,<third>,<error>
The User has the right to access the content of their data and amend where needed.,The User has the right to access the content of their data and amend where needed.,100.0,2795,main,"The User has the right to access the content of their data and amend where needed. Data sharing is voluntary, and, at the same time, necessary to make use of the Services. At the same time, the Service Provider informs that it does not keep transaction data of the Users (numbers of payment cards, numbers of bank accounts) entered in order to purchase the Premium Services.",374,<choice>,<error>
The Users' personal data may be processed by Freshware Sp. z o.o. for the needs of direct marketing of goods or services offered by the Service Provider,"The Users' personal data may be processed by Freshware Sp. z o.o. for the needs of 
direct marketing of goods or services offered by the Service Provide",99.3421052631579,3172,main,"The Users' personal data may be processed by Freshware Sp. z o.o. for the needs of direct marketing of goods or services offered by the Service Provider, and the User holds the right to object to such processing.",212,<first>,<error>
Questions concerning this Privacy Policy should be addressed to the e-mail address: support@mhealthbox.com.,Questions concerning this Privacy Policy should be addressed to the e-mail address: support@mhealthbox.com.,100.0,3387,main,"Questions concerning this Privacy Policy should be addressed to the e-mail address: support@mhealthbox.com.This website uses cookies, by remaining on it, you consent for their use. More details available in our (Privacy Policy).Continue",236,<contact>,<error>
