decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy PolicyPrivacy Policy,28,<generic>,<error>
Top Video Downloader Apps,Top Video Downloader Apps,100.0,30,main,"Top Video Downloader Apps built the Video Downloader for Ins app as                  a Free app. This SERVICE is provided by                  Top Video Downloader Apps at no cost and is intended for use as                  is.This page is used to inform visitors regarding my                  policies with the collection, use, and disclosure of Personal                  Information if anyone decided to use my Service.If you choose to use my Service, then you agree to",470,<generic>,<error>
Top Video Downloader Apps,Top Video Downloader Apps,100.0,30,main,"                  the collection and use of information in relation to this                  policy. The Personal Information that I collect is                  used for providing and improving the Service. I will not use or share your information with                  anyone except as described in this Privacy Policy.The terms used in this Privacy Policy have the same meanings                  as in our Terms and Conditions, which is accessible at",452,<generic>,<error>
Top Video Downloader Apps,Top Video Downloader Apps,100.0,30,main,                  Video Downloader for Ins unless otherwise defined in this Privacy Policy.,91,<generic>,<error>
Information Collection and Use,Information Collection and Use,100.0,1058,main,"Information Collection and UseFor a better experience, while using our Service, I                  may require you to provide us with certain personally                  identifiable information. The information that                  I request will be retained on your device and is not collected by me in any way.The app does use third party services that may collect                    information used to identif",415,<first>,<error>
Link to privacy policy of third party service providers used by the app,"y you.
Link to privacy policy of third party service providers used
   ",88.73239436619718,1479,main,y you.Link to privacy policy of third party service providers used                    by the app,96,<third>,<what>
Google Play Services,Google Play Services,100.0,1578,sub,Google Play Services,20,<third>,<what>
AdMob,AdMob,100.0,1599,sub,AdMob,5,<third>,<what>
Google Analytics for Firebase,Google Analytics for Firebase,100.0,1605,sub,Google Analytics for Firebase,29,<third>,<what>
Firebase Crashlytics,Firebase Crashlytics,100.0,1635,sub,Firebase Crashlytics,20,<third>,<what>
Log Data,Log Data,100.0,1656,main,"Log DataI want to inform you that whenever you                  use my Service, in a case of an error in the app                  I collect data and information (through third party                  products) on your phone called Log Data. This Log Data may                  include information such as your device Internet Protocol                  (â€œIPâ€) address, device name, operating system version, the                  configuration of the app when utilizing my Service,",481,<first>,<what>
Log Data,Log Data,100.0,1656,main,"                  the time and date of your use of the Service, and other                  statistics.",102,<first>,<what>
Cookies,Cookies,100.0,2249,main,"CookiesCookies are files with a small amount of data that are                  commonly used as anonymous unique identifiers. These are sent                  to your browser from the websites that you visit and are                  stored on your device's internal memory.This Service does not use these â€œcookiesâ€ explicitly. However,                  the app may use third party code and libraries that use                  â€œcookiesâ€ to collect information and improve their services.",493,<tracking>,<what>
Cookies,Cookies,100.0,2249,main,"                  You have the option to either accept or refuse these cookies                  and know when a cookie is being sent to your device. If you                  choose to refuse our cookies, you may not be able to use some                  portions of this Service.",277,<tracking>,<what>
Service Providers,Service Providers,100.0,3031,main,Service ProvidersI may employ third-party companies and                  individuals due to the following reasons:To facilitate our Service;To provide the Service on our behalf;To perform Service-related services; orTo assist us in analyzing how our Service is used.I want to inform users of this Service                  that these third parties have access to your Personal                  Information. The reason is to perform the tasks assigned to,452,<third>,<what>
Service Providers,Service Providers,100.0,3031,main,"                  them on our behalf. However, they are obligated not to                  disclose or use the information for any other purpose.",144,<third>,<what>
Security,Security,100.0,3639,main,"SecurityI value your trust in providing us your                  Personal Information, thus we are striving to use commercially                  acceptable means of protecting it. But remember that no method                  of transmission over the internet, or method of electronic                  storage is 100% secure and reliable, and I cannot                  guarantee its absolute security.",400,<security>,<other>
Links to Other Sites,Links to Other Sites,100.0,4046,main,"Links to Other SitesThis Service may contain links to other sites. If you click on                  a third-party link, you will be directed to that site. Note                  that these external sites are not operated by me.                  Therefore, I strongly advise you to review the                  Privacy Policy of these websites. I have                  no control over and assume no responsibility for the content,                  privacy policies, or practices of any third-party sites or",503,<not>,<other>
Links to Other Sites,Links to Other Sites,100.0,4046,main,                  services.,27,<not>,<other>
Childrenâ€™s Privacy,Childrenâ€™s Privacy,100.0,4585,main,Childrenâ€™s PrivacyThese Services do not address anyone under the age of 13.                  I do not knowingly collect personally       ,139,<audience>,<other>
Personally Identifiable Information from Children under 13,           identifiable information from children under 13,82.75862068965517,4727,sub,"           identifiable information from children under 13. In the case                  I discover that a child under 13 has provided                  me with personal information, I immediately                  delete this from our servers. If you are a parent or guardian                  and you are aware that your child has provided us with                  personal information, please contact me so that                  I will be able to do necessary actions.",468,<audience>,<why>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,5202,main,"Changes to This Privacy PolicyI may update our Privacy Policy from                  time to time. Thus, you are advised to review this page                  periodically for any changes. I will                  notify you of any changes by posting the new Privacy Policy on                  this page.This policy is effective as of 2020-10-04",342,<retention>,<when>
Contact Us,Contact Us,100.0,5551,main,"Contact UsIf you have any questions or suggestions about my                  Privacy Policy, do not hesitate to contact me at simpledesignstudio@gmail.com.This privacy policy page was created atprivacypolicytemplate.netand modified/generated byApp Privacy Policy Generator",272,<contact>,<other>
