decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Privacy Policy - Vidstatus Video For WhatsApp - Vidstatus TeamVidstatus TeamBluehost Free Signup get $65Labelsprivacy policyHome/Unlabelled/Privacy Policy - Vidstatus Video For WhatsAppPrivacy Policy - Vidstatus Video For WhatsAppAugust 30, 2020Privacy PolicyVidstatus Team built the Vidstatus Team app as an Ad Supported app. This SERVICE is provided by Vidstatus Team at no cost and is intended for use as is.",411,<error>,<error>
,,-1.0,0,,"This page is used to inform visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service.If you choose to use my Service, then you agree to the collection and use of information in relation to this policy. The Personal Information that I collect is used for providing and improving the Service. I will not use or share your information with anyone except as described in this Privacy Policy.",462,<error>,<error>
,,-1.0,0,,"The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which are accessible at Vidstatus Team unless otherwise defined in this Privacy Policy.",180,<error>,<error>
Information Collection and Use,Information Collection and Use,100.0,1070,main,Information Collection and Use,30,<first>,<what>
"For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information, including but not limited to Owner.","For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information, including but not limited to Owner.",100.0,1101,sub,"For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information, including but not limited to Owner. The information that I request will be retained on your device and is not collected by me in any way.The app does use third-party services that may collect information used to identify you.",357,<first>,<error>
Link to the privacy policy of third-party service providers used by the app,Link to the privacy policy of third-party service providers used by the app,100.0,1460,main,Link to the privacy policy of third-party service providers used by the appGoogle Play ServicesAdMobGoogle Analytics for FirebaseFirebase CrashlyticsFacebookUnityAppLovinAdColony,178,<third>,<why>
Log Data,Log Data,100.0,1647,main,"Log DataI want to inform you that whenever you use my Service, in a case of an error in the app I collect data and information (through third-party products) on your phone called Log Data. This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing my Service, the time and date of your use of the Service, and other statistics.",443,<generic>,<what>
Cookies,Cookies,100.0,2092,main,"CookiesCookies are files with a small amount of data that are commonly used as anonymous unique identifiers. These are sent to your browser from the websites that you visit and are stored on your device's internal memory.This Service does not use these “cookies” explicitly. However, the app may use third-party code and libraries that use “cookies” to collect information and improve their services. You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device. If you choose to refuse our cookies, you may not be able to use some portions of this Service.",609,<tracking>,<what>
Service Providers,Service Providers,100.0,2704,main,"Service ProvidersI may employ third-party companies and individuals due to the following reasons:To facilitate our Service;To provide the Service on our behalf;To perform Service-related services; orTo assist us in analyzing how our Service is used.I want to inform users of this Service that these third parties have access to their Personal Information. The reason is to perform the tasks assigned to them on our behalf. However, they are obligated not to disclose or use the information for any other purpose.",512,<third>,<what>
Security,Security,100.0,3223,main,"SecurityI value your trust in providing us your Personal Information, thus we are striving to use commercially acceptable means of protecting it. But remember that no method of transmission over the internet, or method of electronic storage is 100% secure and reliable, and I cannot guarantee its absolute security.",315,<security>,<how-used>
Links to Other Sites,Links to Other Sites,100.0,3540,main,"Links to Other SitesThis Service may contain links to other sites. If you click on a third-party link, you will be directed to that site. Note that these external sites are not operated by me. Therefore, I strongly advise you to review the Privacy Policy of these websites. I have no control over and assume no responsibility for the content, privacy policies, or practices of any third-party sites or services.",411,<not>,<error>
Children’s Privacy,Children’s Privacy,100.0,3953,main,"Children’s PrivacyThese Services do not address anyone under the age of 13. I do not knowingly collect personally identifiable information from children under 13 years of age. In the case I discover that a child under 13 has provided me with personal information, I immediately delete this from our servers. If you are a parent or guardian and you are aware that your child has provided us with personal information, please contact me so that I will be able to do the necessary actions.",486,<audience>,<other>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,4441,main,"Changes to This Privacy PolicyI may update our Privacy Policy from time to time. Thus, you are advised to review this page periodically for any changes. I will notify you of any changes by posting the new Privacy Policy on this page.This policy is effective as of 2020-05-29",274,<change>,<when>
Contact Us,Contact Us,100.0,4718,main,"Contact UsIf you have any questions or suggestions about my Privacy Policy, do not hesitate to contact me at info.vidstatusteam@gmail.com.Read moreShare This:FacebookTwitterGoogle+PinterestLinkedinatAugust 30, 2020Email ThisBlogThis!Share to TwitterShare to FacebookShare to PinterestNo comments:Post a CommentNewer PostOlder PostHomeSubscribe to:Post Comments (Atom)I Am The AuthorPopularPrivacy Policy - Vidstatus Video For WhatsApp",434,<contact>,<how-gathered>
Contact Us,Contact Us,100.0,4718,main,Privacy Policy Vidstatus Team built the Vidstatus Team app as an Ad Supported app. This SERVICE is provided by Vidstatus Team at no cost and...Privacy Policy for Lock Down EarningPrivacy Policy   Android App Developer built the Lock Down Earning App app as an Ad Supported app. This SERVICE is provided by Android App ...Privacy PolicyGM Brothers built the Go Movies app as a Free app. This SERVICE is provided by GM Brothers at no cost and is intended for use as is.     T...Purchase this Get DiscountLike Us,509,<contact>,<how-gathered>
Contact Us,Contact Us,100.0,4718,main,Categoriesprivacy policyCreated ByFree Blogger Templates| Distributed ByGooyaabi Templates,90,<contact>,<how-gathered>
