decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,DreamLab Privacy Notice | Vodafone AustraliaSkip to content,59,<error>,<error>
How can we help?,How can we help?,100.0,61,main,How can we help?,16,<generic>,<error>
Search,Search,100.0,78,main,Search,6,<generic>,<error>
DreamLab Privacy notice,DreamLab Privacy notice,100.0,85,main,"DreamLab Privacy noticeThis statement explains how Vodafone processes your data for the Dream Lab application, which you can access and download via any app store.Last updated: 2 September 2019Pleasenote, this privacy statement relates to DreamLab and Vodafone in Australia. To read the privacy statement for other regions, please click the relevant link below.AlbaniaGermanyGhanaGreeceIrelandItalyLesothoNetherlandsNew ZealandPortugalRomaniaSouth AfricaSpainTanzaniaTurkeyUnited Kingdom",487,<generic>,<error>
What is Dream Lab,What is Dream Lab,100.0,593,main,What is Dream Lab,17,<generic>,<error>
The DreamLab Smartphone Application (DreamLab Application),The DreamLab Smartphone Application (DreamLab Application),100.0,611,sub,"The DreamLab Smartphone Application (DreamLab Application) is provided to you by TPG Telecom ABN 76 096 304 620 (Vodafone), of Level 14, 177 Pacific Highway, North Sydney, NSW 2060 AustraliaThis Privacy Notice, explains the information that is collected by DreamLab and how it will be used. For further information please contactdreamlab@vodafone.com.au.",354,<generic>,<error>
Who we are,Who we are,100.0,969,main,Who we are,10,<generic>,<error>
We are TPG Telecom.,We are TPG Telecom.,100.0,980,sub,"We are TPG Telecom.In this privacy policy:“we/us” means TPG Telecom“third party” means someone who is not you or us; and“Vodafone Group” means Vodafone Group Plc and any company or other organisation in which Vodafone Group Plc owns more than 15% of the share capital.Our registered office is Level 14, 177 Pacific Highway, North Sydney, NSW 2060 Australia. We are registered in Australia under ABN 76 096 304 620.Our main switchboard is1300 650 410.",450,<first>,<error>
How to contact us,How to contact us,100.0,1439,main,How to contact us,17,<contact>,<error>
"Your opinion matters to us – if you have any questions about our privacy policy, you can email us at:","Your opinion matters to us – if you have any questions about our privacy policy, you can email us at:",100.0,1457,sub,"Your opinion matters to us – if you have any questions about our privacy policy, you can email us at:",101,<error>,<error>
privacy@vodafone.com.au,privacy@vodafone.com.au,100.0,1559,sub,privacy@vodafone.com.au,23,<error>,<error>
or you can contact our privacy team:,or you can contact our privacy team:,100.0,1583,sub,or you can contact our privacy team:,36,<error>,<error>
Call 1555 from your Vodafone mobile.,"Call
1555
from your Vodafone mobile.",94.44444444444444,1620,sub,Call1555from your Vodafone mobile.,34,<error>,<error>
Call 1300 650 410 from any phone.,"Call
1300 650 410
from any phone.",93.93939393939394,1657,sub,Call1300 650 410from any phone.,31,<error>,<error>
Our postal address is:,Our postal address is:,100.0,1691,sub,Our postal address is:,22,<error>,<error>
"Vodafone Customer Care PO Box 2580 Kingston Delivery Centre Kingston, Tasmania 7050","Vodafone Customer Care PO Box 2580
Kingston Delivery Centre
Kingston, Tasmania 7050",97.59036144578313,1714,sub,"Vodafone Customer Care PO Box 2580Kingston Delivery CentreKingston, Tasmania 7050",81,<error>,<error>
Personal information we collect about you,Personal information we collect about you,100.0,1798,main,Personal information we collect about you,41,<first>,<error>
"In order to enable users to make use of the application features and provide the service through the application, DreamLab Application assigns or collects the below information about users:","In order to enable users to make use of the application features and provide the service through the application, DreamLab Application assigns or collects the below information about users:",100.0,1840,sub,"In order to enable users to make use of the application features and provide the service through the application, DreamLab Application assigns or collects the below information about users:Universal Unique Identifier (UUID) – a unique device identifier assigned when using the DreamLab Application;",298,<first>,<error>
"In order to enable users to make use of the application features and provide the service through the application, DreamLab Application assigns or collects the below information about users:","In order to enable users to make use of the application features and provide the service through the application, DreamLab Application assigns or collects the below information about users:",100.0,1840,sub,"Identifier token (random string of numbers) is assigned to a user, if you choose to login to the DreamLab Application via their Apple or Google account. You can choose to unlink your DreamLab account with these providers via your settings. For more information on how these providers process your personal data we recommend that you review their privacy policies;Your social media handle or username if you have chosen to link your account with Apple or Google;",461,<first>,<error>
"In order to enable users to make use of the application features and provide the service through the application, DreamLab Application assigns or collects the below information about users:","In order to enable users to make use of the application features and provide the service through the application, DreamLab Application assigns or collects the below information about users:",100.0,1840,sub,Your app activity when you choose to log in via your Apple or Google account. This data may be displayed as part of our leadership board functionality. If you do not wish to participate in the leadership board functionality then you can choose to use the app anonymously by not linking your Apple or Google account;,315,<first>,<error>
"In order to enable users to make use of the application features and provide the service through the application, DreamLab Application assigns or collects the below information about users:","In order to enable users to make use of the application features and provide the service through the application, DreamLab Application assigns or collects the below information about users:",100.0,1840,sub,Device region (the region locale that you the user selected when setting up thyoureir device) – so that DreamLab application can be set to default off on mobile when roaming on Android devices (only). This data may also be used when displaying your activity as part of our leadership board functionality;,304,<first>,<error>
"In order to enable users to make use of the application features and provide the service through the application, DreamLab Application assigns or collects the below information about users:","In order to enable users to make use of the application features and provide the service through the application, DreamLab Application assigns or collects the below information about users:",100.0,1840,sub,"On Android devices (only) the app requests access to photos, media, files permission in order to temporarily store the tiny research problems whilst they are being processed and solved by the phone. DreamLab Application will only access the files it has created in the files directories. DreamLab Application does not need access to any of your personal data or photos to be able to solve tiny research problems.",412,<first>,<error>
When we collect your personal information,When we collect your personal information,100.0,3637,main,When we collect your personal information,41,<first>,<error>
We collect your personal information when:,We collect your personal information when:,100.0,3679,sub,We collect your personal information when:You download the application;If you choose to link your Apple or Google account with your Dream Lab application.Vodafone will process your personal data based on:A performance of a contract – to provide you with the service you have asked for;When in Vodafone’s legitimate business interests – when it comes to developing and improving the app when gaining insights through app analytics.,430,<first>,<error>
How we use your personal information,How we use your personal information,100.0,4115,main,How we use your personal information,36,<first>,<error>
We will use your personal information for the following purposes:,We will use your personal information for the following purposes:,100.0,4152,sub,"We will use your personal information for the following purposes:- If you have chosen to link your Apple or Google account then we will display your usernames for those services in our leaderboards, delinking your account from Apple or Google will stop that data from displaying on our leaderboards",298,<first>,<error>
We will use your personal information for the following purposes:,We will use your personal information for the following purposes:,100.0,4152,sub,"- We may use your activity information for analytics purposes but this will be done on an anonymous and aggregated basis; We also access anonymous information via Google, Apple and Adobe Analytics about use of the DreamLab Application in order to improve and enhance the DreamLab experience. The data collected for this purpose is anonymous, aggregated and de-identified. Some examples include age, gender, operating system and time spent using the DreamLab Application. We access this information to understand how you and our community as a whole use our application.",569,<first>,<error>
How we share your personal information,How we share your personal information,100.0,5022,main,How we share your personal information,38,<third>,<error>
