decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy Policy for Secret of Mr. Neighbor Maps MCPE - PrivacyPolicies.comPrivacy Policy for Secret of Mr. Neighbor Maps MCPEPrivacy Policy,138,<generic>,<error>
Effective Date,Effective date,100.0,141,main,"Effective date: October 28, 2019Secret of Mr. Neighbor Maps MCPE (""us"", ""we"", or ""our"") operates the Secret of Mr. Neighbor Maps MCPE mobile application (hereinafter referred to as the ""Service"").This page informs you of our policies regarding the collection, use and disclosure of personal data when you use our Service and the choices you have associated with that data. This Privacy Policy is managed byPrivacy Policy Generator.",431,<generic>,<when>
Effective Date,Effective date,100.0,141,main,"We use your data to provide and improve the Service. By using the Service, you agree to the collection and use of information in accordance with this policy. Unless otherwise defined in this Privacy Policy, the terms used in this Privacy Policy have the same meanings as in our Terms and Conditions.",299,<generic>,<when>
Definitions,Definitions,100.0,877,main,Definitions,11,<generic>,<other>
Service,Service,100.0,889,sub,ServiceService is the Secret of Mr. Neighbor Maps MCPE mobile application operated by Secret of Mr. Neighbor Maps MCPE,118,<first>,<other>
Personal Data,Personal Data,100.0,1009,sub,Personal DataPersonal Data means data about a living individual who can be identified from those data (or from those and other information either in our possession or likely to come into our possession).,203,<first>,<what>
Usage Data,Usage Data,100.0,1214,sub,"Usage DataUsage Data is data collected automatically either generated by the use of the Service or from the Service infrastructure itself (for example, the duration of a page visit).",182,<first>,<what>
Cookies,Cookies,100.0,1398,sub,CookiesCookies are small files stored on your device (computer or mobile device).,81,<third>,<what>
Information Collection and Use,Information Collection and Use,100.0,1481,main,Information Collection and UseWe collect several different types of information for various purposes to provide and improve our Service to you.,143,<first>,<how-gathered>
Types of Data Collected,Types of Data Collected,100.0,1626,sub,Types of Data Collected,23,<first>,<what>
Personal Data,Personal Data,100.0,1650,sub,"Personal DataWhile using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data""). Personally identifiable information may include, but is not limited to:Email address",263,<first>,<error>
Cookies and Usage Data,Cookies and Usage Data,100.0,1916,sub,Cookies and ,12,<first>,<what>
Usage Data,Usage Data,100.0,1928,sub,"Usage DataUsage DataWhen you access the Service with a mobile device, we may collect certain information automatically, including, but not limited to, the type of mobile device you use, your mobile device unique ID, the IP address of your mobile device, your mobile operating system, the type of mobile Internet browser you use, unique device identifiers and other diagnostic data (""Usage Data"").",396,<first>,<error>
Tracking & Cookies Data,Tracking & Cookies Data,100.0,2327,sub,"Tracking & Cookies DataWe use cookies and similar tracking technologies to track the activity on our Service and we hold certain information.Cookies are files with a small amount of data which may include an anonymous unique identifier. Cookies are sent to your browser from a website and stored on your device. Other tracking technologies are also used such as beacons, tags and scripts to collect and track information and to improve and analyse our Service.",460,<third>,<what>
Tracking & Cookies Data,Tracking & Cookies Data,100.0,2327,sub,"You can instruct your browser to refuse all cookies or to indicate when a cookie is being sent. However, if you do not accept cookies, you may not be able to use some portions of our Service.Examples of Cookies we use:Session Cookies.We use Session Cookies to operate our Service.Preference Cookies.We use Preference Cookies to remember your preferences and various settings.Security Cookies.We use Security Cookies for security purposes.",438,<third>,<what>
Use of Data,Use of Data,100.0,3236,main,Use of DataSecret of Mr. Neighbor Maps MCPE uses the collected data for various purposes:,89,<first>,<how-used>
To Provide and Maintain the Service,To provide and maintain our Service,91.42857142857143,3327,sub,To provide and maintain our Service,35,<first>,<why>
To Notify You about Changes to Our Service,To notify you about changes to our Service,100.0,3363,sub,To notify you about changes to our Service,42,<first>,<why>
To Allow You to Participate in Interactive Features of Our Service,To allow you to participate in interactive features of our Service,100.0,3406,sub,To allow you to participate in interactive features of our Service when you choose to do so,91,<first>,<why>
To Provide Customer Support,To provide customer support,100.0,3498,sub,To provide customer support,27,<first>,<why>
To Gather Analysis or Valuable Information,To gather analysis or valuable information,100.0,3526,sub,To gather analysis or valuable information so that we can improve our Service,77,<first>,<why>
To Monitor the Usage of Our Service,To monitor the usage of our Service,100.0,3604,sub,To monitor the usage of our Service,35,<first>,<why>
"To Detect, Prevent and Address Technical Issues","To detect, prevent and address technical issues",100.0,3640,sub,"To detect, prevent and address technical issues",47,<first>,<why>
Transfer of Data,Transfer of Data,100.0,3688,main,"Transfer of DataYour information, including Personal Data, may be transferred to - and maintained on - computers located outside of your state, province, country or other governmental jurisdiction where the data protection laws may differ from those of your jurisdiction.If you are located outside Argentina and choose to provide information to us, please note that we transfer the data, including Personal Data, to Argentina and process it there.",447,<third>,<other>
Transfer of Data,Transfer of Data,100.0,3688,main,Your consent to this Privacy Policy followed by your submission of such information represents your agreement to that transfer.Secret of Mr. Neighbor Maps MCPE will take all the steps reasonably necessary to ensure that your data is treated securely and in accordance with this Privacy Policy and no transfer of your Personal Data will take place to an organisation or a country unless there are adequate controls in place including the security of your data and other personal information.,490,<third>,<other>
Disclosure of Data,Disclosure of Data,100.0,4630,main,Disclosure of Data,18,<third>,<other>
Legal Requirements,Legal Requirements,100.0,4649,sub,Legal RequirementsSecret of Mr. Neighbor Maps MCPE may disclose your Personal Data in the good faith belief that such action is necessary to:To comply with a legal obligationTo protect and defend the rights or property of Secret of Mr. Neighbor Maps MCPETo prevent or investigate possible wrongdoing in connection with the ServiceTo protect the personal safety of users of the Service or the publicTo protect against legal liability,432,<retention>,<other>
Security of Data,Security of Data,100.0,5088,main,"Security of DataThe security of your data is important to us but remember that no method of transmission over the Internet or method of electronic storage is 100% secure. While we strive to use commercially acceptable means to protect your Personal Data, we cannot guarantee its absolute security.",297,<security>,<other>
Service Providers,Service Providers,100.0,5387,main,"Service ProvidersWe may employ third party companies and individuals to facilitate our Service (""Service Providers""), provide the Service on our behalf, perform Service-related services or assist us in analysing how our Service is used.These third parties have access to your Personal Data only to perform these tasks on our behalf and are obligated not to disclose or use it for any other purpose.",398,<third>,<other>
Links to Other Sites,Links to Other Sites,100.0,5788,main,"Links to Other SitesOur Service may contain links to other sites that are not operated by us. If you click a third party link, you will be directed to that third party's site. We strongly advise you to review the Privacy Policy of every site you visit.We have no control over and assume no responsibility for the content, privacy policies or practices of any third party sites or services.",389,<third>,<other>
Children's Privacy,Children's Privacy,100.0,6180,main,"Children's PrivacyOur Service does not address anyone under the age of 18 (""Children"").We do not knowingly collect personally identifiable information from anyone under the age of 18. If you are a parent or guardian and you are aware that your Child has provided us with Personal Data, please contact us. If we become aware that we have collected Personal Data from children without verification of parental consent, we take steps to remove that information from our servers.",475,<audience>,<other>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,6658,main,"Changes to This Privacy PolicyWe may update our Privacy Policy from time to time. We will notify you of any changes by posting the new Privacy Policy on this page.We will let you know via email and/or a prominent notice on our Service, prior to the change becoming effective and update the ""effective date"" at the top of this Privacy Policy.You are advised to review this Privacy Policy periodically for any changes. Changes to this Privacy Policy are effective when they are posted on this page.",496,<change>,<other>
Contact Us,Contact Us,100.0,7158,main,"Contact UsIf you have any questions about this Privacy Policy, please contact us:By email:[email protected]Generated usingPrivacy Policies Generator",148,<contact>,<other>
