decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Privacy Policy of Tools Kit Developer Console AccountSkip to main contentSearch This BlogWelcome NotePrivacy Policy of Tools Kit Developer Console AccountGet linkFacebookTwitterPinterestEmailOther AppsApril 26, 2019ThisTool Kit Google Play Accountprivacy policy is intended to inform you regarding collection, use and disclosure of your personal information against our services we provide for all the apps uploaded in this account.",432,<error>,<error>
,,-1.0,0,,Apps in this account ask for the access of following information which is necessary for the settings of the all apps.1.,119,<error>,<error>
Collection of Data,Collection of Data,100.0,568,main,Collection of Data:,19,<first>,<what>
1. All the data is collected from authenticated sources and the sources are mentioned in Disclaimer within the App.,"
·
All the data is collected from authenticated sources and the sources are mentioned in Disclaimer within the App.",97.3913043478261,587,sub,·All the data is collected from authenticated sources and the sources are mentioned in Disclaimer within the App,112,<error>,<error>
2. Public Audios are extracted from public sources which do not violate Google terms.,".
·
Public Audios are extracted from public sources which do not violate Google terms",96.47058823529412,701,sub,.·Public Audios are extracted from public sources which do not violate Google terms,83,<error>,<error>
3. All content in the apps as per our best knowledge is in public domain but if there is any such which has copyrighted issues then feel free to contact us on our providing email id and we will replace or omit them all.,".
·
All content in the apps as per our best knowledge is in public domain but if there is any such which has copyrighted issues then feel free to contact us on our providing email id and we will replace or omit them all",98.63013698630137,786,sub,.·All content in the apps as per our best knowledge is in public domain but if there is any such which has copyrighted issues then feel free to contact us on our providing email id and we will replace or omit them all.2.,220,<error>,<error>
Disclosure of User personal information,Disclosure of User personal information,100.0,1010,main,Disclosure of User personal information:,40,<first>,<what>
"1. All apps ask you for the permissions of following fields including audio/video files, images, and microphone and device external storage.","
·
All apps ask you for the permissions of following fields including audio/video files, images, and microphone and device external storage.",97.85714285714285,1050,sub,"·All apps ask you for the permissions of following fields including audio/video files, images, and microphone and device external storag",136,<error>,<error>
2. Stored information is not used for exchange of any data nor violated any Google privacy terms.,e. Stored information is not used for exchange of any data nor violated any Google privacy terms.,98.96907216494846,1188,sub,e. Stored information is not used for exchange of any data nor violated any Google privacy terms,96,<error>,<error>
"3. Some data is stored by the device automatically which includes Device ID, browser you use and Android OS.",".
·
Some data is stored by the device automatically which includes Device ID, browser you use and Android OS",97.22222222222221,1284,sub,".·Some data is stored by the device automatically which includes Device ID, browser you use and Android O",105,<error>,<error>
4. These all perimeters are collected to help us in the betterment of the services we provide through our apps.,S. These all perimeters are collected to help us in the betterment of the services we provide through our apps.,99.09909909909909,1391,sub,S. These all perimeters are collected to help us in the betterment of the services we provide through our app,109,<error>,<error>
5. No such information is shared with any other selling parties nor are they published on public forms.,s. No such information is shared with any other selling parties nor are they published on public forms.,99.02912621359224,1500,sub,s. No such information is shared with any other selling parties nor are they published on public forms,102,<error>,<error>
6. All the Apps included do not ask you to grant permissions for access of location.,".
·
All the Apps included do not ask you to grant permissions for access of location",96.42857142857143,1602,sub,.·All the Apps included do not ask you to grant permissions for access of location,82,<error>,<error>
7. To provide you with the best some premium features are included in the Apps.,".
·
To provide you with the best some premium features are included in the Apps",96.20253164556962,1686,sub,.·To provide you with the best some premium features are included in the App,76,<error>,<error>
