decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Notice of Privacy Policy,Notice of Privacy Policy,100.0,0,main,"Notice of Privacy Policy - State Farm®We value your privacy.We may collect personal information from you for business, marketing, and commercial purposes.Read moreDo Not Sell or Share My Personal Information (CA residents only)We value your privacy.",249,<generic>,<other>
Notice of Privacy Policy,Notice of Privacy Policy,100.0,0,main,"We may collect personal information from you such as identifying information (name, address, driver's license number), transactional information (products or services purchased and payment history), digital network activity (interactions with our website, IP address), geo-location data, audio recordings and other forms of personal information. We use this information for business, marketing and commercial purposes, including but not limited to, providing the products and services you request, processing your claims, protecting against fraud, maintaining security, confirming your identity and offering you other insurance and financial products.",651,<generic>,<other>
Notice of Privacy Policy,Notice of Privacy Policy,100.0,0,main,"For California residents, clickhereto view the full version of the California Consumer Privacy Notice.Para español, haga clicaquípara ver la versión completa del Aviso de Privacidad del Consumidor de California.Read lessNo disponible en español¡Lo sentimos! Esta página no está disponible en español.Localiza a un agenteCancelarAviso¡Lo sentimos! Esta página no está disponible en español.ContinuarCancelarSkip to Main ContentLog inInsuranceInsuranceBankingInvestmentsBankingInvestmentsClaimsGet a Quote",503,<generic>,<other>
Notice of Privacy Policy,Notice of Privacy Policy,100.0,0,main,Pay a BillFind an AgentLog inMain MenuAgentSearchAgentHelpEspañolBackInsuranceVehicleCar InsuranceMotorcycleBoatOff-road VehiclesMotorhomeTravel TrailersRoadside AssistanceHome & PropertyHomeCondominiumRenters InsuranceRental PropertyPersonal ArticlesManufactured HomeFarm and RanchIdentity RestorationSmall BusinessBusiness Owners PolicyCommercial AutoContractors PolicyLiability UmbrellaWorkers’ CompensationSurety & Fidelity BondsLifeTerm LifeWhole LifeUniversal LifeChange PolicyChange BeneficiaryHealth,507,<generic>,<other>
Notice of Privacy Policy,Notice of Privacy Policy,100.0,0,main,Supplemental HealthMedicare SupplementChange PolicyPet MedicalDisabilityLong-TermShort-TermLiabilityPersonalBusiness & ProfessionalDiscountsDrive Safe & Save™Steer Clear® DiscountsAuto Insurance SavingsVehicleAutoMotorcycleBoatATV & Off-Road VehiclesRVPropertyHomeownersRentersCondoRental PropertyPersonal PropertyManufactured HomeFarm and RanchBusinessSmall Business OverviewBusiness Owners PolicyCommercial UmbrellaCommercial AutoContractors PolicyWorkers CompensationSurety and Fidelity BondsPersonalLife,507,<generic>,<other>
Notice of Privacy Policy,Notice of Privacy Policy,100.0,0,main,"Personal LiabilityHealthPetDisabilityIdentity Theft ProtectionSavings opportunitiesDrive Safe & Save™Steer Clear® discountsBundle & savePersonal bankingProvided by US Bank®Checking AccountCredit CardsSavings & Money Market AccountCertificate of Deposit (CD)Personal loansProvided by LightStreamConsumer LoansProvided by Rocket Mortgage®MortgagesBusiness bankingProvided by US Bank®Checking, Savings & Money MarketPayment SolutionsBusiness Credit CardsCash ManagementBusiness loansProvided by US Bank®",500,<generic>,<other>
Notice of Privacy Policy,Notice of Privacy Policy,100.0,0,main,Business LoansQuick linksPersonal banking overviewBusiness banking overviewInvestment productsInvestments OverviewInvestment ServicesBrokerage529 Education Savings PlanRetirement productsRetirement OverviewRoth IRATraditional IRABusiness RetirementAnnuities productsAnnuities OverviewGuaranteed Income NowGuaranteed Income LaterFuture Income PlusResourcesMarket insightsTax centerFinancial calculatorsBankingPersonal BankingProvided by US Bank®CheckingSavingsCredit CardsCDsRetirement CDs,488,<generic>,<other>
Notice of Privacy Policy,Notice of Privacy Policy,100.0,0,main,"Provided by Rocket Mortgage®Home LoansProvided by LightStreamConsumer LoansBusiness BankingProvided by US Bank®Checking, Savings & Money MarketLendingPayment SolutionsCredit CardsCash ManagementInvestmentsInvestment ServicesBrokerageEducation SavingsRetirementIndividual RetirementBusiness RetirementResourcesMarket InsightsTax CenterRolloversEstate PlanningTrustsJoint AccountsLife InsuranceFederal Estate TaxEstate Planning ToolsAnnuitiesWhat is an AnnuityThe BasicsGuaranteed Income NowGuaranteed Income Later",512,<generic>,<other>
Notice of Privacy Policy,Notice of Privacy Policy,100.0,0,main,Future Income PlusWhy State FarmChange an AnnuityInsuranceVehicleHome & PropertySmall BusinessLifeHealthPet MedicalDisabilityLiabilityDiscountsInsuranceVehiclePropertyBusinessPersonalSavings opportunitiesBankingPersonal bankingPersonal loansBusiness bankingBusiness loansQuick linksInvestmentsInvestment productsRetirement productsAnnuities productsResourcesBankingPersonal BankingBusiness BankingInvestmentsInvestment ServicesRetirementResourcesEstate PlanningAnnuitiesLog in,476,<generic>,<other>
Notice of Privacy Policy,Notice of Privacy Policy,100.0,0,main,Log in to view and manage your account.User IDPasswordRemember my user ID.Log inTrouble logging in?Create an accountOr don'tYou don't have to log in for these tasks.Pay a billGet ID cardNever miss a bill withautopayandpaperless billing.Contact UsCustomer CareFAQsManage AccountsSearchHow can we help you?SearchStart Of Main ContentCustomer CarePrivacy and SecurityPrivacyNOTICE OF PRIVACY POLICYState Farm® family of companies**SeeCalifornia Consumer Privacy Actfor more information.We value your privacy.,505,<generic>,<other>
Notice of Privacy Policy,Notice of Privacy Policy,100.0,0,main,"This is our Notice of Privacy Policy, and we’ll provide it the first time we do business with you and upon request or as required by law thereafter.This Notice describes how we protect, collect, use, and share customer information. Customer information means all nonpublic information related to an identified individual, which is sometimes called personally identifiable information. Customer information does not include anonymized data or de-identified data, which do not identify an individual.",498,<generic>,<other>
Notice of Privacy Policy,Notice of Privacy Policy,100.0,0,main,Get your Notice of Privacy Policy onlineA Good Neighbor is a Green NeighborGo paperless,87,<generic>,<other>
Our Privacy Principles,Our Privacy Principles,100.0,5765,main,Our Privacy Principles,22,<generic>,<why>
We do not sell customer information.,We do not sell customer information.,100.0,5788,sub,We do not sell customer information.,36,<generic>,<how-gathered>
We do not allow those who are doing business on our behalf to use our customer information for their own marketing purposes.,We do not allow those who are doing business on our behalf to use our customer information for their own marketing purposes.,100.0,5825,sub,We do not allow those who are doing business on our behalf to use our customer information for their own marketing purposes.,124,<generic>,<other>
We contractually require any person or organization providing products or services on our behalf to protect State Farm customer information.,We contractually require any person or organization providing products or services on our behalf to protect State Farm customer information.,100.0,5950,sub,We contractually require any person or organization providing products or services on our behalf to protect State Farm customer information.We do not share customer medical information within the State Farm family of companies unless:you expressly authorize it; orit is permitted or required by law; oryour insurance policy contract with us permits us to do so.,361,<generic>,<error>
We contractually require any person or organization providing products or services on our behalf to protect State Farm customer information.,We contractually require any person or organization providing products or services on our behalf to protect State Farm customer information.,100.0,5950,sub,"We may share customer information and permit others to use that information if you give us your consent, it is necessary to complete a transaction you request, or it is otherwise permitted by law.We handle information about former and prospective customers the same as existing custome",285,<generic>,<error>
How We Protect Customer Information,"rs.
We Protect Customer Information",88.57142857142857,6602,main,rs.We Protect Customer Information,34,<first>,<how-used>
"We maintain physical, electronic, and procedural safeguards to protect customer information and to comply with federal and state laws.","We maintain physical, electronic, and procedural safeguards to protect customer information and to comply with federal and state laws.",100.0,6638,sub,"We maintain physical, electronic, and procedural safeguards to protect customer information and to comply with federal and state laws. In addition, we review our policies and practices, monitor our computer networks, and test the strength of our security.We retain customer information for legal, auditing, regulatory, and business purposes.",341,<error>,<error>
Customer Information We Collect,Customer Information We Collect,100.0,6981,main,Customer Information We Collect,31,<first>,<what>
We collect customer information in different ways.,We collect customer information in different ways.,100.0,7013,sub,"We collect customer information in different ways. For example, we gather information from:",91,<error>,<error>
"Applications and other forms related to our products and through conversations with State Farm representatives, including our agents.","applications and other forms related to our products and through conversations with State Farm representatives, including our agents.",100.0,7105,sub,"applications and other forms related to our products and through conversations with State Farm representatives, including our agents.",133,<error>,<error>
"Use of statefarm.com, our mobile sites and applications, our social media sites and applications, and interactions with our online advertisements.","use of
statefarm.com®,
our mobile sites and applications, our social media sites and applications, and interactions with our online advertisements",97.94520547945206,7239,sub,"use ofstatefarm.com®,our mobile sites and applications, our social media sites and applications, and interactions with our online advertisements.",145,<error>,<error>
"Transactions or experiences with us, such as payments, underwriting and claims.","transactions or experiences with us, such as payments, underwriting and claims.",100.0,7387,sub,"transactions or experiences with us, such as payments, underwriting and claims.",79,<error>,<error>
Within the State Farm family of companies.,within the State Farm family of companies.,100.0,7467,sub,within the State Farm family of companies.,42,<error>,<error>
"Non-State Farm parties, including consumer reporting agencies that provide us with information such as driving records, claim histories and credit information.","non-State Farm parties, including consumer reporting agencies that provide us with information such as driving records, claim histories and credit information.",100.0,7510,sub,"non-State Farm parties, including consumer reporting agencies that provide us with information such as driving records, claim histories and credit information.",159,<error>,<error>
How We Use Customer Information,How We Use Customer Information,100.0,7670,main,How We Use Customer Information,31,<first>,<how-used>
"We use customer information, sometimes including consumer report information, to do things such as:","We use customer information, sometimes including consumer report information, to do things such as:",100.0,7702,sub,"We use customer information, sometimes including consumer report information, to do things such as:",99,<error>,<error>
Underwrite and rate your policies and accounts.,underwrite and rate your policies and accounts.,100.0,7802,sub,underwrite and rate your policies and accounts.,47,<error>,<error>
Process your claims.,process your claims.,100.0,7850,sub,process your claims.,20,<error>,<error>
Protect against fraud and unauthorized transactions.,protect against fraud and unauthorized transactions.,100.0,7871,sub,protect against fraud and unauthorized transactions.,52,<error>,<error>
Provide proper billing.,provide proper billing.,100.0,7924,sub,provide proper billing.,23,<error>,<error>
Confirm your identity and service your policies and accounts.,confirm your identity and service your policies and accounts.,100.0,7948,sub,confirm your identity and service your policies and accounts.,61,<error>,<error>
Enhance your customer experience and improve our products and services.,enhance your customer experience and improve our products and services.,100.0,8010,sub,enhance your customer experience and improve our products and services.,71,<error>,<error>
Offer you other insurance and financial services products.,offer you other insurance and financial services products.,100.0,8082,sub,offer you other insurance and financial services products.,58,<error>,<error>
Develop and offer new products and services.,develop and offer new products and services.,100.0,8141,sub,"develop and offer new products and services.develop either anonymized data or de-identified data by making reasonable efforts to remove personally identifiable information so the information is no longer customer information. We develop this data for certain purposes, such as analysis to understand more about our customers and our industry, or for other commercial purposes as permitted by law. We share and use this data within our State Farm family of companies, with third party service providers, or with other unaffiliated entities.",539,<error>,<error>
Develop and offer new products and services.,develop and offer new products and services.,100.0,8141,sub,perform other activities as required or permitted by law.,57,<error>,<error>
How We Share Customer Information,How We Share Customer Information,100.0,8740,main,How We Share Customer Information,33,<first>,<how-gathered>
"We share customer information, including information about our transactions with you (such as payments) and experiences with you (such as an auto claim), within our State Farm family of companies and with State Farm agents to help meet your product and service needs.","We share customer information, including information about our transactions with you (such as payments) and experiences with you (such as an auto claim), within our State Farm family of companies and with State Farm agents to help meet your product and service needs.",100.0,8774,sub,"We share customer information, including information about our transactions with you (such as payments) and experiences with you (such as an auto claim), within our State Farm family of companies and with State Farm agents to help meet your product and service needs. ",268,<error>,<error>
We share customer information inside or outside our family of companies:,We share customer information inside or outside our family of companies:,100.0,9042,sub,We share customer information inside or outside our family of companies:,72,<error>,<error>
"For our everyday business purposes, for public policy purposes, and as permitted (such as with consent or as necessary to complete a transaction you request) or required by law.","for our everyday business purposes, for public policy purposes, and as permitted (such as with consent or as necessary to complete a transaction you request) or required by law.",100.0,9115,sub,"for our everyday business purposes, for public policy purposes, and as permitted (such as with consent or as necessary to complete a transaction you request) or required by law.",177,<error>,<error>
"As needed, to handle your claim.","as needed, to handle your claim.",100.0,9293,sub,"as needed, to handle your claim. For example, we may share name, address, and coverage information with an auto body shop to speed up repairs on auto damage claims.",164,<error>,<error>
"With consumer reporting agencies, for example, during the underwriting process.","with consumer reporting agencies, for example, during the underwriting process.",100.0,9458,sub,"with consumer reporting agencies, for example, during the underwriting process.",79,<error>,<error>
"In connection with a proposed or actual sale, merger, transfer, or exchange of all or a portion of our business or operating unit.","in connection with a proposed or actual sale, merger, transfer, or exchange of all or a portion of our business or operating unit.",100.0,9538,sub,"in connection with a proposed or actual sale, merger, transfer, or exchange of all or a portion of our business or operating unit.",130,<error>,<error>
With companies that perform marketing or other services for us or with whom we have joint marketing agreements.,with companies that perform marketing or other services for us or with whom we have joint marketing agreements.,100.0,9669,sub,"with companies that perform marketing or other services for us or with whom we have joint marketing agreements. These agreements allow us to provide a broader selection of insurance and financial products to you.as needed, to protect against fraud and unauthorized transactions and in connection with the investigation, establishment, and defense of legal rights.",363,<error>,<error>
To Limit the Sharing of Customer Information Within the State Farm Family of Companies,To Limit the Sharing of Customer Information Within the State Farm Family of Companies,100.0,10034,main,To Limit the Sharing of Customer Information Within the State Farm Family of Companies,86,<first>,<why>
"We share customer information within our State Farm family of companies so, for example, we do not have to ask you for the same information again.","We share customer information within our State Farm family of companies so, for example, we do not have to ask you for the same information again.",100.0,10121,sub,"We share customer information within our State Farm family of companies so, for example, we do not have to ask you for the same information again.",146,<error>,<error>
"If you prefer to limit sharing information such as your driving record, claim history with other companies, and credit information, call your State Farm agent or 1-800-865-6035."," If you prefer to limit sharing information such as your driving record, claim history with other companies, and credit information, call your State Farm agent or
1-800-865-6035",98.87005649717514,10267,sub," If you prefer to limit sharing information such as your driving record, claim history with other companies, and credit information, call your State Farm agent or1-800-865-60351-800-865-6035. Please note, your choice:will apply to joint policyholders or account holders on shared policies and accounts.does not limit State Farm from sharing certain customer information about your transactions or experiences with us for our everyday business purposes or for public policy purposes.",482,<error>,<error>
"If you prefer to limit sharing information such as your driving record, claim history with other companies, and credit information, call your State Farm agent or 1-800-865-6035."," If you prefer to limit sharing information such as your driving record, claim history with other companies, and credit information, call your State Farm agent or
1-800-865-6035",98.87005649717514,10267,sub,"does not limit State Farm from sharing customer information in the event of a transfer, between State Farm companies, of all or a portion of a line of business.If you are an existing customer and have already told us your customer information sharing preference, no action is needed unless you want to change your preference.Residents of Vermont",345,<error>,<error>
"If you prefer to limit sharing information such as your driving record, claim history with other companies, and credit information, call your State Farm agent or 1-800-865-6035."," If you prefer to limit sharing information such as your driving record, claim history with other companies, and credit information, call your State Farm agent or
1-800-865-6035",98.87005649717514,10267,sub,: State Farm will not share certain customer information across our State Farm family of companies unless authorized by you. This does not limit State Farm from sharing information about your transactions with us (such as your payment history) or your experience with us (such as your claim history) as permitted by law.,320,<error>,<error>
The State Farm Family of Companies,The State Farm Family of Companies,100.0,11424,main,The State Farm Family of Companies,34,<third>,<what>
