decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"OP Auto Clicker Privacy PolicyOP Auto Clicker Privacy PolicyWelcome to OP Auto Clicker (""OP Auto Clicker"", ""we"", ""us"", ""our""). Your privacy  is important to us, so we have created this Privacy Policy (""Policy"") to explain how we collects, stores, uses and discloses the information about you.This Privacy Policy applies to all other mobile (iOS and Android platform) software applications (called ""Apps"") and the Website (collectively called the ""Services"") provided by OP Auto Clicker.",486,<error>,<error>
Personal Information,Personal Information,100.0,490,main,"Personal Information:""Personal Information"" is information that identifies you, which may be transmitted or received when you use Services. Personal Information may be: your name, telephone number, email address, physical address, calendar entries, phonebook entries, files, photos, geographical location, unique device identifiers for advertising (Google Advertiser ID or any other) and any other information that can identify you.We do NOT collect any Personal Information about you.",485,<error>,<what>
Non-Personal Information,Non-Personal Information,100.0,978,main,"Non-Personal Information:""Non-Personal Information"" is information that does not directly identify you or any other individuals. Non-Personal Information may be: type/model of your mobile device, Android/iOS version, language used in system, country code or information about how you use your device.We do NOT collect any Non-Personal Information about you.",357,<error>,<what>
"How we store, use and disclose information about you","How we store, use and disclose information about you",100.0,1338,main,"How we store, use and disclose information about youAs we do not collect any Personal or Non-Personal Information about you, we can't store, use or disclose it.",160,<first>,<why>
Third-party services,Third-party services,100.0,1500,main,Third-party servicesWe may include ,35,<third>,<how-used>
Advertising services,advertising services,100.0,1536,sub,"advertising services (""ads"") in our Apps that may be provided by third parties (""Third Party Services""). Such Third Party Services' providers have their own privacy policies and we advise you to read them carefully. Below you can find the details of all Third Party Services we may work with:Google Admob (Webpage|Privacy Policy|Opt out)AdMob is an advertising service provided by AdMob Google Inc. You can readherehow Google uses information from sites or apps that use its services.",484,<third>,<how-used>
Advertising services,advertising services,100.0,1536,sub,We display ads in our Apps to keep them free of charge. Based on your location we will serve different kinds of ads. For:Non European Union countriesWhen you use our Apps your device may automatically send Personal and Non-Personal Information to our advertising partners. All the information gathered by our advertising partners are used only to display ads tailored to your interests and behavior. For more information please read the privacy policies of the relevant services.,479,<third>,<how-used>
Advertising services,advertising services,100.0,1536,sub,Advertising services we use for non European Union country users: Google Admob.European Union countriesIf you are located in the European Union country we will first ask you for a consent to display non-personalized ads. With your consent Third Party Services may use and store your IP address or/and device identifier (Google Advertiser ID or any other) to show you non-personalized ads. All collected data is used for the purposes of:,436,<third>,<how-used>
Advertising services,advertising services,100.0,1536,sub,managing ads frequency capping - to prevent User from seeing the same contextual ad too many timesdetecting invalid clicks and other fraudulent activitiesto comply with the law (e.g Third Party Services need to record your device identifier so they can know if you have or haven't already given a consent),305,<third>,<how-used>
Advertising services,advertising services,100.0,1536,sub,In case you didn't consent to display non-personalized ads we will display cross-promotion ads (house ads). Neither Personal nor Non-Personal Information are collected when cross-promotion ads are displayed to you.Advertising services we use for European Union country users: Google Admob,288,<third>,<how-used>
Advertising services,advertising services,100.0,1536,sub,"All Permissions are used in Products to provide best user experience. All personal and non-personal information obtained by the use of above Permissions are used only by the Products itself and are not stored, used, disclosed outside of the Products.",250,<third>,<how-used>
Changes to our Privacy Policy,Changes to our Privacy Policy,100.0,3801,main,Changes to our Privacy PolicyThis Privacy Policy may be updated from time to time for any reason. We will notify you of any changes to our Privacy Policy by posting the new Privacy Policy on https://opautoclicker.com/privacy-policy/. Your continued use of the Services following the posting of changes will mean you accept those changes.,337,<retention>,<when>
Contact Us,Contact Us,100.0,4140,main,"Contact UsIf you have any questions regarding privacy while using the Services, or have questions about our practices, please contact us:[email protected]",154,<contact>,<other>
