decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,ï»¿BigQ Global LLC - Terms of ServiceHomeAbout UsContactPrivacy Policy,70,<error>,<error>
,,-1.0,0,,"This is the privacy policy for all apps and websites (except BigQSys Group apps, websites and children apps for which Privacy Policy is available at https://www.bigqsysstudio.com/privacypolicy.html) developed and owned by BigQSys Group (""BigQSys Group"", ""we"", or ""us""). We value the privacy of the people who are using the apps, websites and have, thus, created this Privacy Policy (the ""Privacy Policy"") to show our commitment towards safeguarding your privacy. Your privacy is important to us, and we take it seriously. Please read our Privacy Policy below and let us know if you have any questions or other feedback regarding it.",632,<error>,<error>
,,-1.0,0,,"By using our apps, websites or any services linked to them, you agree to our Privacy Policy and Terms of Service.",113,<error>,<error>
Data Collected,Data Collected,100.0,823,main,Data Collected,14,<generic>,<what>
Data Collected,Data Collected,100.0,823,main,"As a company, we do not collect any Personal Information like email address, birth date or time, age, name, phone number, address, etc., from the users. If we do happen to obtain any personal information, including emails or phone numbers obtained through support requests or other correspondence, it will be treated with the strictest confidentiality. Any such personal information will never be shared with any other entities. Any such personal information will be retained towards resolution of the support requests and for future reference if you need support again. We can delete the emails anytime on your request.",620,<generic>,<what>
Data Collected,Data Collected,100.0,823,main,"Some of our astrology apps or pages on some websites may ask for your birth date, month, time etc. but we do not store any of this information on our servers. The data is processed in your device or computer itself to show you relevant result and not saved anywhere else apart from your device or computer. We do not store any of these details or share the same with any third party including advertising or analytics providers.",428,<generic>,<what>
Data for advertising purposes,Data for advertising purposes,100.0,1888,main,Data for advertising purposes,29,<first>,<why>
The below data is collected automatically via advertising providers (except for EU users) and analytics providers,The below data is collected automatically via advertising providers (except for EU users) and analytics providers,100.0,1918,sub,"The below data is collected automatically via advertising providers (except for EU users) and analytics providersYour IP address and computer/mobile device identifiers (such as your device ID, advertising ID, MAC address and IMEI)Data about your device, such as device name and operating system, browser type and languageData collected with advertising cookiesCoarse location data (country or city-specific)Demographic data (such as to determine the coarse location of your IP address)",485,<third>,<how-gathered>
"Data for advertising and analytics purposes, so we can keep improving our apps","Data for advertising and analytics purposes, so we can keep improving our apps",100.0,2409,sub,"Data for advertising and analytics purposes, so we can keep improving our appsThe data collected is used to show personalized advertisements depending on your location and jurisdiction. The data is used to track the content you access in connection with the apps and to deliver, target and improve the advertising.",314,<first>,<why>
"Data for advertising and analytics purposes, so we can keep improving our apps","Data for advertising and analytics purposes, so we can keep improving our apps",100.0,2409,sub,"On most devices you can limit ad targeting from your deviceâ€™s settings. Please review your deviceâ€™s user manual on how to disable ad tracking. In any case, you can contact the advertising providers below and also ask them to delete your data if they have any by opting out.We use the following ad providers in our apps. All of them are not used on all apps.AdColony  -  Privacy Policyhttps://www.adcolony.com/privacy-policy/You can opt out or get your data deleted from their privacy policy link.",500,<first>,<why>
"Data for advertising and analytics purposes, so we can keep improving our apps","Data for advertising and analytics purposes, so we can keep improving our apps",100.0,2409,sub,"Facebook Audience Network - Privacy Policy:https://www.facebook.com/privacy/explanationOpt out:https://www.facebook.com/ads/preferencesGoogle AdMob & Google Adx: Personal Data collected: Unique device identifiers for advertising. For example, Google Advertiser ID or Apple ID For Advertising.Privacy Policy:https://www.google.com/policies/technologies/ads/Opt Out:https://www.google.com/settings/adsAnalytics:We make use of analytics services like Flurry, Google, Appsee, Mixpanel or Facebook that use ",502,<first>,<why>
Cookies,cookies,100.0,3742,main,"cookies sent from our app running in your device in order to provide Non-Personal anonymous global data and information regarding app use. The kind of information collected includes the type of device or version of the OS you are using, app crash report, and general pattern of app use. Appsee also records a certain percentage of app sessions in the form of videos without displaying any user input or saving any personal information. We use this data to improve the app and related services over time so that we can serve our users better. It should be noted that at NO point in time shall your Personal Information be linked to the cookies or videos (Non-Personal Information) sent from your device to the analytics services so that your privacy is always kept protected. Flurry, Appsee, Mixpanel and Facebook have their own Privacy Policies for the information they collect from the device via an app. Nonetheless, we seek to protect the integrity of our site and welcome any feedback about these sites.",1007,<tracking>,<what>
Cookies,cookies,100.0,3742,main,"The links to their Privacy Policies are given below:Google FirebaseWe use the tool Firebase in some of our apps. This is a real-time database that we use for real-time data exchange and storage in our app to improve and develop our app. The user data is transmitted to Firebase anonymously. Firebase is a Google subsidiary and is based in San Francisco (CA), USA.Find the Firebase privacy policy here:https://www.firebase.com/terms/privacy-policy.html",451,<tracking>,<what>
Cookies,cookies,100.0,3742,main,"In all of the above cases and purposes, we may analyze, profile and segment all collected data in anonymized form.Cookies",121,<tracking>,<what>
We do not set any cookies on your device.,We do not set any cookies on your device.,100.0,5329,sub,We do not set any cookies on your device. Third party advertising or analytics providers mentioned above may set cookies. You may get your data deleted from them via the opt out links provided.,193,<first>,<how-used>
Internet permissions,Internet permissions,100.0,5523,main,Internet permissions:,21,<error>,<what>
"Our apps do typically require internet permissions, for the purpose of downloading additional content for the app, providing links to the app store entry of our other apps, display advertising wherever applicable and to collect anonymous usage information for analytics as mentioned above.","Our apps do typically require internet permissions, for the purpose of downloading additional content for the app, providing links to the app store entry of our other apps, display advertising wherever applicable and to collect anonymous usage information for analytics as mentioned above.",100.0,5545,sub,"Our apps do typically require internet permissions, for the purpose of downloading additional content for the app, providing links to the app store entry of our other apps, display ",181,<first>,<how-used>
Advertising,advertising,100.0,5726,main,advertising wherever applicable and to collect anonymous usage information for analytics as mentioned above.Advertising,119,<error>,<what>
We may occasionally promote other products within our apps.,We may occasionally promote other products within our apps.,100.0,5847,sub,We may occasionally promote other products within our apps.,59,<first>,<how-used>
In-app purchases,In-app purchases,100.0,5907,main,In-app purchases,16,<error>,<what>
Our apps may contain in-app purchases (IAP’s) or Subscriptions.,Our apps may contain in-app purchases (IAPâ€™s) or Subscription,95.23809523809523,5924,sub,Our apps may contain in-app purchases (IAPâ€™s) or Subscriptions.,65,<first>,<how-used>
Social media,Social media,100.0,5990,main,Social media,12,<error>,<what>
"Our apps interact with social sites like Facebook, Instagram, Whatsapp, etc to share content from our apps/websites. At no point of time do we collect any information from your social media accounts in any way.","Our apps interact with social sites like Facebook, Instagram, Whatsapp, etc to share content from our apps/websites. At no point of time do we collect any information from your social media accounts in any way.",100.0,6003,sub,"Our apps interact with social sites like Facebook, Instagram, Whatsapp, etc to share content from our apps/websites. At no point of time do we collect any information from your social media accounts in any way.",210,<first>,<error>
Non-Advertising based apps,Non-Advertising based apps,100.0,6214,main,Non-Advertising based apps:,27,<error>,<what>
"In case of apps in which no third party ads are there, then the above points related to advertising and ad providers do not apply.","In case of apps in which no third party ads are there, then the above points related to advertising and ad providers do not apply.",100.0,6242,sub,"In case of apps in which no third party ads are there, then the above points related to advertising and ad providers do not apply.",130,<not>,<how-used>
Other companies and public authorities,Other companies and public authorities,100.0,6373,main,Other companies and public authorities:,39,<error>,<what>
"In order to combat fraud and illegal activity, we may exchange data with other companies and organizations and provide it to public authorities in response to lawful requests.","In order to combat fraud and illegal activity, we may exchange data with other companies and organizations and provide it to public authorities in response to lawful requests.",100.0,6413,sub,"In order to combat fraud and illegal activity, we may exchange data with other companies and organizations and provide it to public authorities in response to lawful requests.We may also disclose your data based on your consent, to comply with the law or to protect the rights, property or safety of us, our players or others.",326,<third>,<how-used>
OPTING OUT,OPTING OUT,100.0,6741,main,OPTING OUT,10,<choice>,<error>
If you no longer want us to use your IP address and mobile advertising ID then you need to either pay for the in-app purchases to remove advertisements or stop using the apps.,If you no longer want us to use your IP address and mobile advertising ID then you need to either pay for the in-app purchases to remove advertisements or stop using the apps.,100.0,6752,sub,"If you no longer want us to use your IP address and mobile advertising ID then you need to either pay for the in-app purchases to remove advertisements or stop using the apps. As mentioned before, for EU users we are not showing targeted/personalized ads.For more choices please follow the ""Opt Out"" link for the respective service above.If you wish to opt-out of personalized ads, you can opt-out anytime through the app or your phone settings. Just follow these steps:For Android Devices",489,<error>,<how-used>
If you no longer want us to use your IP address and mobile advertising ID then you need to either pay for the in-app purchases to remove advertisements or stop using the apps.,If you no longer want us to use your IP address and mobile advertising ID then you need to either pay for the in-app purchases to remove advertisements or stop using the apps.,100.0,6752,sub,"1) Go to Phone Settings.2) Tap on Google.3) Select Ads.4) Switch on ""Opt-out of personalized ads"".For iOS Devices1. Open the Settings app.2. Tap Privacy.3. Scroll down to the bottom of the page and tap Advertising.4. Tap Reset Advertising Identifier.5. When prompted, tap Reset Advertising Identifier.",301,<error>,<how-used>
Age limitations,Age limitations,100.0,7556,main,Age limitations,15,<audience>,<error>
We do not knowingly collect or solicit personal data about or direct or target interest-based advertising to anyone under the age of 13 or knowingly allow such persons to use our Services.,We do not knowingly collect or solicit personal data about or direct or target interest-based advertising to anyone under the age of 13 or knowingly allow such persons to use our Services.,100.0,7572,sub,"We do not knowingly collect or solicit personal data about or direct or target interest-based advertising to anyone under the age of 13 or knowingly allow such persons to use our Services. If you are under 13, please do not send any data about yourself to us, including your name, address, telephone number, or email address. No one under the age of 13 may provide any personal data. If we learn that we have collected personal data about a child under age 13, we will delete that data as quickly as possible. If you believe that we might have any data from or about a child under the age of 13, please contact us.",614,<error>,<error>
We do not knowingly collect or solicit personal data about or direct or target interest-based advertising to anyone under the age of 13 or knowingly allow such persons to use our Services.,We do not knowingly collect or solicit personal data about or direct or target interest-based advertising to anyone under the age of 13 or knowingly allow such persons to use our Services.,100.0,7572,sub,"We do not knowingly contact or do business with children under 13 years of age. If a parent/guardian becomes aware that a child under the age of 13 has attempted to contact and/or do business with us, please advise us by email at[email protected]so that we may rectify the situation.",283,<error>,<error>
Changes to Privacy Policy,Changes to Privacy Policy,100.0,8473,main,Changes to Privacy Policy:,26,<change>,<error>
