decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,PRIVACY POLICY,100.0,0,main,"PRIVACY POLICYPrivacy PolicyAndroid. Kids appsPrivacy PolicyWhisper Arts builds mobile apps. This SERVICE is provided by Whisper Arts and is intended for use as is.This page is used to inform application visitors regarding our policies with the collection, use, and disclosure of Personal Information if anyone decided to use our Service.",338,<generic>,<error>
Privacy Policy,PRIVACY POLICY,100.0,0,main,"If you choose to use our Service, then you agree to the collection and use of information in relation to this policy. We will not use or share your information with anyone except as described in this Privacy Policy.The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which is accessible at Application unless otherwise defined in this Privacy Policy.By accessing or using the Services, you agree to this Privacy Policy, our Terms of Service.",482,<generic>,<error>
Privacy Policy,PRIVACY POLICY,100.0,0,main,"IF YOU DO NOT AGREE TO THIS PRIVACY POLICY, PLEASE DO NOT USE THE SERVICE.",74,<generic>,<error>
Information Collection,Information Collection,100.0,904,main,"Information CollectionWhen using our Service, we ask certain information from you:- Personal Information: Users who contact us via email, the email addresses and information you submitted voluntarily will also be collected.- Non-Personal Information: It includes but is not limited to your device’s configuration, the package ID and version of the application that you use.",373,<first>,<what>
Information Usage,Information Usage,100.0,1281,main,"Information UsageThe information that we request is will be retained by us and used as described in this privacy policy for the purposes described below:- to provide our services or information you request;- to respond to your emails, submissions, questions, comments, requests, and complaints and provide customer service;- to analyze usage and trends with anonymous user data, and to improve the quality of our service and user experience;",441,<first>,<what>
Information Usage,Information Usage,100.0,1281,main,"- to send you confirmations, updates, security alerts, and support and administrative messages and otherwise facilitate your use of, and our administration and operation of, our Services;We may also use the information you provided us to contact your from time to time to provide you with important information, required notices and marketing promotions.You are welcome to ask for our confirmation whenever you feel concerned about how your personal information is being processed, where and for what purpose.",509,<first>,<what>
Third party services,Third party services,100.0,2239,main,Third party servicesThe app does NOT use any other third party services that collect Log Data from the application.Does the Application collect precise real time location information of the device?This Application does not collect precise information about the location of your mobile device.,292,<third>,<why>
Security,Security,100.0,2535,main,"SecurityWe value your trust in providing us your Personal Information, thus we are striving to use commercially acceptable means of protecting it. But remember that no method of transmission over the internet, or method of electronic storage is 100% secure and reliable, and we cannot guarantee its absolute security.",317,<security>,<how-used>
Links to Other Sites,Links to Other Sites,100.0,2854,main,"Links to Other SitesThis Service may contain links to other sites. If you click on a third-party link, you will be directed to that site. Note that these external sites are not operated by us. Therefore, we strongly advise you to review the Privacy Policy of these websites. We have no control over and assume no responsibility for the content, privacy policies, or practices of any third-party sites or services.",413,<third>,<other>
Cookies,Cookies,100.0,3269,main,"CookiesCookies are files with small amount of data that is commonly used an anonymous unique identifier. These are sent to your browser from the website that you visit and are stored on your device internal memory.This Service does not use these “cookies” explicitly. However, the app may use third party code and libraries that use “cookies” to collection information and to improve their services. You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device. If you choose to refuse our cookies, you may not be able to use some portions of this Service.",608,<tracking>,<how-gathered>
Children’s Privacy,Children’s Privacy,100.0,3880,main,"Children’s PrivacyWe do not use the Application to knowingly solicit data from or market to children under the age of 13. If a parent or guardian becomes aware that his or her child has provided us with information without their consent, he or she should contact us at support@whisperarts.com We will delete such information from our files within a reasonable time.",365,<audience>,<other>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,4247,main,"Changes to This Privacy PolicyWe may update our Privacy Policy from time to time. Thus, you are advised to review this page periodically for any changes. We will notify you of any changes by posting the new Privacy Policy on this page. These changes are effective immediately after they are posted on this page.",311,<change>,<when>
Contact Us,Contact Us,100.0,4560,main,"Contact UsIf you have any questions or suggestions about our Privacy Policy, do not hesitate to contact ussupport@whisperarts.com",129,<contact>,<other>
