decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
PRIVACY POLICY,Privacy Policy,100.0,0,main,"Privacy PolicyPRIVACY POLICYThis Privacy Policy is made to protect and maintain the privacy and confidentiality of the Service Users. Users are expected to read this Privacy Policy (along with the Terms of Service) carefully before using Our Services.Depending upon Your relationship with Us, You may receive other privacy notices from Us providing additional detail about Our privacy practices. By accessing and using Our Services, Users acknowledge that they have read, understood and agreed to the content written in this Privacy Policy. If You do not agree to this Privacy Policy, please do not use the Service.",615,<generic>,<error>
ARTICLE 1 DEFINITION,ARTICLE 1 DEFINITION,100.0,619,main,"ARTICLE 1 DEFINITIONOther than stipulated in this Privacy Policy, the following definitions shall have the definition, meanings and interpretation as stipulated below:""",168,<generic>,<error>
You,You,100.0,789,sub,"You"" or ""Your"" (as the context may require) means the User who uses Our Services.""",82,<generic>,<error>
Personal Information,Personal Information,100.0,872,sub,"Personal Information"" means all data, statements, information and documents, both in electronic and non-electronic form that may identify an individual, received or accessed by Us from the User, which have obtained such User’s consent, to be stored and managed by Us in connection with the provision of Services and for the purpose of utilization of Services by User.""",368,<generic>,<what>
We,We,100.0,1243,sub,"We"" or""Us""or ""Our"" (as the context may require) means PT Khazanah Prima Sukses, a limited liability company established under the laws of the Republic of Indonesia, which is engaged in the field of software related ",215,<generic>,<error>
Services,services,100.0,1460,sub,"services, including but not limited to the muslim content and community and in accompanying the performance of daily worship.",125,<generic>,<error>
Services,services,100.0,1460,sub,"As you are aware, based on the nature and characteristics of Muslim professional apps, we may collect sensitive personal information about you, especially your religious beliefs (""sensitive personal information"") by inference. You understand that there is an inherent link between the collection and processing of this information and your use of Muslim professional apps and the services we offer you. Therefore, if you object to our collection of such Sensitive Personal Information, you will not be able to use the Muslim professional app and we recommend that you stop using the Muslim professional app.",607,<generic>,<error>
Services,services,100.0,1460,sub,"""Services""means services which is owned, administered and provided by Us.""",74,<generic>,<error>
User,User,100.0,2270,sub,"User"" or ""Users"" (as the context may require) means any party that uses or access Our Services.""",96,<generic>,<error>
PP No. 71/2019,PP No. 71/2019,100.0,2367,sub,"PP No. 71/2019"" means the Government Regulation No. 71 of 2019 concerning System Implementation and Electronic Transaction along with all implementing regulations, changes, amendments, modifications and/or additions made from time to time.""",240,<generic>,<error>
Perkominfo No. 20/2016,Perkominfo No. 20/2016,100.0,2608,sub,"Perkominfo No. 20/2016"" means the Minister of Communication and Informatics Regulation Number 20 of 2016 concerning Protection of Personal Information in Electronic Systems along with all implementing regulations, changes, amendments, modifications and/or additions made from time to time.""",290,<generic>,<error>
ITE Law,ITE Law,100.0,2899,sub,"ITE Law"" means the Law of the Republic of Indonesia Number 11 of 2008 on Information and Electronic Transaction as lastly amended by Law Number 19 of 2016.",155,<generic>,<error>
ARTICLE 2 INFORMATION YOU PROVIDE,ARTICLE 2 INFORMATION YOU PROVIDE,100.0,3055,main,ARTICLE 2 ,10,<first>,<how-gathered>
Information you provide,INFORMATION YOU PROVIDE,100.0,3065,sub,"INFORMATION YOU PROVIDE1.Information you providea.Information you enter in the app and services, such as your name, birthday, gender, and profile photo;b.Information related to your access or use of the app and/or services, such as your searches of mosques or Quran verses, prayer requests you post, or those that you have indicated you have prayed for;c.Any modifications to your settings;d.Images uploaded by you in the app (with your consent);e.",448,<first>,<what>
Information you provide,INFORMATION YOU PROVIDE,100.0,3065,sub,"If you register or log in with a third-party website account (such as your Facebook or Google account), we may collect personal data that you have provided to the relevant third-party website, to the extent permitted by your account settings with the third-party website or otherwise authorized by you.2.",304,<first>,<what>
Information related to device and app settings,Information related to device and app settings,100.0,3831,sub,"Information related to device and app settings.a.Device-related information includes details such as the brand and model of your device, the version of your operating system, the language of your device, unique identifiers for your device (such as IDFA), and information about your mobile network provider.b.",308,<first>,<what>
Information related to device and app settings,Information related to device and app settings,100.0,3831,sub,"Your geolocation information, such as the IP addresses used to connect your device to the internet, GPS data, and network service data, as well as application-specific information related to the app, such as the application version number, activity on the app, and subscription status.c.While using the App, certain features besides the Prayer Times, such as Qibla or Mosque finder, may require your geolocation information.d.",426,<first>,<what>
Information related to device and app settings,Information related to device and app settings,100.0,3831,sub,"We may collect application-specific information related to the App, such as the application version number, App activity, installation date, and the date of the last use of the App on your device.e.Our analytics service providers, Google Firebase and Google Analytics provide us with relevant analytics data.",308,<first>,<what>
ARTICLE 3 THE PURPOSE FOR WHICH WE COLLECT PERSONAL INFORMATION,ARTICLE 3 THE PURPOSE FOR WHICH WE COLLECT PERSONAL INFORMATION,100.0,4886,main,ARTICLE 3 THE PURPOSE FOR WHICH WE COLLECT PERSONAL INFORMATIONa.,65,<first>,<error>
We use the information we collect to provide services to you,We use the information we collect to provide services to you,100.0,4953,sub,"We use the information we collect to provide services to you, such as allowing you to log in to your Umma accountb.",115,<first>,<why>
We may utilize your information to get in touch with you,We may utilize your information to get in touch with you,100.0,5070,sub,We may utilize your information to get in touch with you for the purpose of informing and updating you about any changes related to the Services.c.,147,<first>,<why>
We also use this information to maintain and improve our Services,We also use this information to maintain and improve our Services,100.0,5219,sub,"We also use this information to maintain and improve our Services, and to address any support requests, questions, or issues you may have.d.",140,<first>,<why>
Our third-party advertisers use your Personal Information,Our third-party advertisers use your Personal Information,100.0,5361,sub,Our third-party advertisers use your Personal Information to serve you with advertisements that may interest you.,113,<third>,<why>
ARTICLE 4 RECITALS,ARTICLE 4 RECITALS,100.0,5475,main,"ARTICLE 4 RECITALS4.1By using Our Service and/or providing Personal Information to Us, You agree, represent      and warrant to the collection, use and disclosure of   Personal Information in accordance with this Privacy Policy.4.2 ",232,<generic>,<error>
