decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy policy,100.0,0,main,Privacy policy — OctaPrivacy policy,35,<generic>,<error>
Who are we (owner and data controller)?,Who are we (owner and data controller)?,100.0,37,main,"Who are we (owner and data controller)?Octa Markets Incorporated — First floor, Meridian Place, Choc Estate, Castries, Saint Lucia.Contact email:[email protected]We are committed to protecting your privacy and maintaining the security of any p",243,<generic>,<who>
Contact Information,ersonal information,78.94736842105263,284,sub,ersonal information that we receive from you.,45,<contact>,<other>
What is the purpose of this policy?,What is the purpose of this policy?,100.0,330,main,"What is the purpose of this policy?The purpose of this policy is to explain to you what personal information we collect and how we and our associated companies may use it. Companies are associated with us if they are our subsidiaries or we are both subsidiaries of the same corporate entity.We are the controller of any personal information that you provide to us, which means that we decide the purposes and means of the processing of that personal information.",462,<generic>,<why>
How do we obtain and store your personal information?,How do we obtain and store your personal information?,100.0,795,main,"How do we obtain and store your personal information?We obtain your personal information through applications, emails, letters, telephone calls, text messages, cookies, and conversations when you register in our services and work with them (including the personal information gained when you use our learning tools, demo accounts, and trading simulators).We may monitor or record phone calls with you and monitor (and maintain a record of) all emails and electronic communications we send or receive.",500,<first>,<how-gathered>
How do we obtain and store your personal information?,How do we obtain and store your personal information?,100.0,795,main,We follow strict security procedures in the storage and disclosure of the personal information that you have given to us to prevent unauthorised access.,152,<first>,<how-gathered>
What types of personal information do we collect and process?,What types of personal information do we collect and process?,100.0,1451,main,"What types of personal information do we collect and process?We may process the following types of personal information:namecontact details including email details and phone numbersage or date of birthgenderoccupationincometrading knowledge and experienceuser names and passwordsinformation related to your trading account including your account history, activity, and ordersIP addressnational insurance numbertransaction reporting referencepower of attorney/agent detailsphone device typeoperating system",505,<first>,<what>
What types of personal information do we collect and process?,What types of personal information do we collect and process?,100.0,1451,main,"device IDcookie IDGoogle 360 IDGUIDinformation about your use of our services, products, and facilities (including information gained when you use our learning tools, demo accounts, and trading simulators)bank account numbersort codepassport numbermarital statususage data.",273,<first>,<what>
How do we check your identity?,How do we check your identity?,100.0,2256,main,How do we check your identity?,30,<first>,<how-gathered>
How do we check your identity?,How do we check your identity?,100.0,2256,main,"To comply with money laundering regulations, we need to confirm the name and address of our clients and certain third parties. We may ask you to provide physical forms of identity verification when you open your account. Alternatively, we may use a credit reference agency to verify your identity. Our search is not seen or used by lenders to assess your ability to obtain credit. Our search is conducted with the use of all necessary security measures in order to make sure that the personal information we get is strictly confidential, and unauthorised parties cannot access it.",580,<first>,<how-gathered>
How do we use your personal information?,How do we use your personal information?,100.0,2868,main,"How do we use your personal information?As well as checking your identity, the personal information we hold may be used for:considering any of your applicationscarrying out risk assessmentscomplying with our legal and regulatory obligationsperforming our obligations under any contract we have with youadministering our relationship with you including resolving queries or issuesestablishing and managing your accountreviewing your ongoing needs",445,<first>,<how-used>
How do we use your personal information?,How do we use your personal information?,100.0,2868,main,"providing you with the information, products and services that you request from uschecking your instructions to usinvestigating any complaint you may makeproviding evidence in any dispute or anticipated dispute between you and usrecovering amounts payabletraining our staffenhancing our customer service and productsundertaking product development and analysisdetecting or preventing fraud or other crimesanalytics, inter alia, with the help of the following services of Google Inc. and Facebook Inc.:",501,<first>,<how-used>
How do we use your personal information?,How do we use your personal information?,100.0,2868,main,Google Ads conversion tracking (Place of processing: U.S. –Privacy Policy)Google Analytics (Place of processing: U.S. –Privacy Policy)Google Tag Manager (Place of processing: U.S. –Privacy Policy)Facebook Ads conversion tracking (Place of processing: U.S. –Privacy Policy)Display Advertising extension for Google Analytics (Place of processing: U.S. –Privacy Policy)contacting you—,381,<first>,<how-used>
How do we use your personal information?,How do we use your personal information?,100.0,2868,main,"we may send you marketing material from time to time by post, email, telephone, SMS, mobile push notifications, web push notifications, messengers (Viber, Telegram, Facebook messenger, and other), or other electronic messaging serviceshandling payments, inter alia, with the help of the following service providers:Neteller (Paysafe Group PLC)—Place of processing: Isle of Man –Privacy PolicySkrill (Skrill Ltd.)—Place of processing: U.K. –Privacy Policy2Checkout (2Checkout.com, Inc.)—",486,<first>,<how-used>
How do we use your personal information?,How do we use your personal information?,100.0,2868,main,"Place of processing: U.S. –Privacy PolicyInteraction with helpdesk platforms, inter alia, with the help of the following service providers:Zendesk (Zendesk Inc.)—Data storage location: U.S., Asia Pacific, or European Union –Privacy NoticeSimplesat (Duoventures Limited)—Place of processing: Hong Kong –Privacy PolicyIntercom (Intercom R&D Unlimited Company)—Place of processing: Ireland and certain other countries as listed in the Intercom Privacy Policy –Privacy PolicyandSubprocessors List",492,<first>,<how-used>
How do we use your personal information?,How do we use your personal information?,100.0,2868,main,"(subsection 'EU Data Hosting' section 'Regional data hosting subprocessors list')Managing contacts and sending messages, inter alia, with the help of the following service providers:Mandrill (The Rocket Science Group, LLC.)—Place of processing: U.S. –Privacy PolicyMailchimp (The Rocket Science Group, LLC.)—Place of processing: U.S. –Privacy PolicyBloomreach (Bloomreach, Inc.)–Place of processing: U.S. –Privacy Policy",420,<first>,<how-used>
How do we use your personal information?,How do we use your personal information?,100.0,2868,main,"Remarketing and behavioural targeting, inter alia, with the help of the following service providers:Remarketing with Google Analytics (Google Inc.)—Place of processing: U.S. –Privacy PolicyFacebook Remarketing (Facebook, Inc.)—Place of processing: U.S. –Privacy PolicyTwitter Remarketing (Twitter, Inc.)—Place of processing: U.S. –Privacy PolicyFacebook Custom Audience (Facebook, Inc.)—Place of processing: U.S. –Privacy PolicyTwitter Tailored Audiences (Twitter, Inc.)—Place of processing: U.S. –Privacy Policy",512,<first>,<how-used>
How do we use your personal information?,How do we use your personal information?,100.0,2868,main,Google Ads Remarketing (Google Inc.)—Place of processing: U.S. –Privacy PolicyProviding you with the concierge service powered by Aspire (The Bank of Missouri)—Place of processing: U.S. –Privacy Policy.,202,<first>,<how-used>
When may we share your personal information?,When may we share your personal information?,100.0,6408,main,"When may we share your personal information?We may share your personal information with:relevant regulatory or tax authoritysuch third parties as we reasonably consider necessary in order to prevent crime, for instance, the policeour associated companiesthird-party service providers and advisers who provide us with administrative, financial, research, or other services in connection with the services we provide to youour introducing brokers and other commercial partnersour professional advisers",499,<third>,<when>
When may we share your personal information?,When may we share your personal information?,100.0,6408,main,"our auditors for the purposes of carrying out financial and regulatory auditsour agents, including credit reference agencies, acting on our behalf, carrying out such credit and identity checks, including money laundering checks, compliance regulatory reporting, and fraud prevention checkscourts, tribunals, regulatory or tax authorities, and government agencies to enable us to enforce our agreement with you or to comply with the requirements of a court, regulator, tax authority, or government agency",503,<third>,<when>
When may we share your personal information?,When may we share your personal information?,100.0,6408,main,"our trade repositoryother parties which may be necessary to involve in order to provide the best service to you as our customer.Generally, we require that organisations outside our associated companies with whom we share your personal information acknowledge the confidentiality of your data, undertake to respect your right to privacy and comply with the data protection principles and this policy.",399,<third>,<when>
How may we share your personal information?,How may we share your personal information?,100.0,7823,main,"How may we share your personal information?The info we may collect is anonymous and will help us improve your user experience with our mobile application even better!We may gather info and use a third-party service to understand how you interact with our app, view bugs and crashes, provide customer support, and even enhance or improve your accessibility within the app.This information is a great benefit to you.The third-party service we use is Smartlook.com.",462,<third>,<how>
How may we share your personal information?,How may we share your personal information?,100.0,7823,main,"To provide those benefits, we sometimes may need to collect and transfer anonymised data, such as the features used in the app, what users are tapping or swiping on, which screenshots are being captured, and identify the virtual device.Rest assured that none of the anonymous data we may collect involves personal or financial information, other sensitive data, or user-generated private content. Also, any data we may transmit will not include your device's camera, microphone, or other user inputs. All transmitted data are protected by SSL encryption.",554,<third>,<how>
What is the legal basis for our processing of personal information?,What is the legal basis for our processing of personal information?,100.0,8846,main,"What is the legal basis for our processing of personal information?The legal basis for our processing of personal information will depend on why we process your personal information.Where you wish to enter into or have signed a contract to receive services from us, we will process your personal information to enable us to enter into and perform our contract with you. If you do not provide the personal information requested, we may not be able to provide some or all of those services to you.",495,<generic>,<what>
What is the legal basis for our processing of personal information?,What is the legal basis for our processing of personal information?,100.0,8846,main,"We may also need to process your personal information to comply with our legal and regulatory obligations including in relation to performing anti-money laundering, terrorism prevention, and sanctions screening checks, complaints, and investigations or litigation.We also have a legitimate interest to process your personal information for:performing the services or supplying the products or information you have agreed to receive from us",439,<generic>,<what>
What is the legal basis for our processing of personal information?,What is the legal basis for our processing of personal information?,100.0,8846,main,"ongoing management of our relationship with you and to maintain contact with youour internal business purposes which may include business and disaster recovery, document retention/storage, IT service continuity (for example, back-ups and helpdesk assistance) to ensure the quality of the services we provide to youcorporate transactionsmarketing analytics including marketing campaign optimisation and web analytics to enable us to develop and target the marketing of our products and services",493,<generic>,<what>
What is the legal basis for our processing of personal information?,What is the legal basis for our processing of personal information?,100.0,8846,main,"keeping our records updated and studying how customers use our products/servicesdeveloping our products and services, growing our business, and informing our marketing strategydefining the types of customers for our products and services and keeping our website(s) and platform(s) updated and relevantportfolio analysis and experience studies to enable us to improve the products and services we offer to customers.",415,<generic>,<what>
What is the legal basis for our processing of personal information?,What is the legal basis for our processing of personal information?,100.0,8846,main,"In any case, we will gladly help to clarify the specific legal basis that applies to the processing, and in particular whether the provision of Personal information is a statutory or contractual requirement, or a requirement necessary to enter into a contract.",260,<generic>,<what>
