decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Privacy Policy – Green Flame LauncherDesign a site like this with WordPress.comGet startedSkip to contentGreen Flame LauncherMenuHomeContactPrivacy PolicyYour privacy is important to us and we are committed to protecting your privacy. Please take a moment to familiarize yourself with our privacy practices and let us know if you have any questions.,349,<error>,<error>
PERSONAL INFORMATION,PERSONAL INFORMATION,100.0,359,main,PERSONAL INFORMATIONPersonal information is data that can be used to uniquely identify or contact a single person.We,116,<generic>,<error>
DO NOT,DO NOT,100.0,478,main,"DO NOTcollect, store or use any personal information while you visit, download or upgrade our website or our products or apps, excepting the personal information that you submit to us when you create a user account, send an error report or participate in online surveys and other activities.In the following circumstances, we may disclose your personal information according to your wish or regulations by law:Your prior permission;",432,<generic>,<error>
DO NOT,DO NOT,100.0,478,main,"By the applicable law within or outside your country of residence, legal process, litigation requests;By requests from public and governmental authorities;To protect our legal rights and interests.",197,<generic>,<error>
NON-PERSONAL INFORMATION,NON-PERSONAL INFORMATION,100.0,1114,main,"NON-PERSONAL INFORMATIONNon-personal information is data in a form that does not permit direct association with any specific individual, such as your CPN model, memory size, phone model, rom, phone operator, location, installs, uninstalls, frequency of use, etc.",262,<generic>,<error>
NON-PERSONAL INFORMATION,NON-PERSONAL INFORMATION,100.0,1114,main,"We may collect and use non-personal information in the following circumstances: to have a better understanding of our user’s behaviour, solve problems in products and services, improve our products, services and advertising; we may collect non-personal information such as the date of install, frequency of use, country, equipment and channel.If non-personal information is combined with personal information, we treat the combined information as personal information for the purposes of this Privacy Policy.",508,<generic>,<error>
PROTECTION OF PERSONAL INFORMATION,PROTECTION OF PERSONAL INFORMATION,100.0,1888,main,"PROTECTION OF PERSONAL INFORMATIONWe take precautions – including administrative, technical, and physical measures – to safeguard your personal information against loss, theft, and misuse, as well as against unauthorized access, disclosure, alteration, and destruction.",269,<first>,<error>
PROTECTION OF PERSONAL INFORMATION,PROTECTION OF PERSONAL INFORMATION,100.0,1888,main,"When you use some products, services, or post your comments, the personal information you share is visible to other users and can be read, collected, or used by them. You are responsible for the personal information you choose to submit in these instances. Please take care when using these features.",300,<first>,<error>
THE ADVERTISING ID,THE ADVERTISING ID,100.0,2460,main,THE ADVERTISING IDIn order to keep our apps free we use ads. TheAdvertising Idenables our ad partners to serve you ads that better suit your needs. Toggle yourAd personalizationsettings by visitingGoogle Ad Settings.,216,<third>,<error>
OUR COMMITMENT TO YOUR PRIVACY,OUR COMMITMENT TO YOUR PRIVACY,100.0,2684,main,OUR COMMITMENT TO YOUR PRIVACYTo make sure your personal information is secure we communicate our privacy and security guidelines to all employees and strictly enforce privacy safeguards within the company.,206,<generic>,<error>
PRIVACY QUESTIONS,PRIVACY QUESTIONS,100.0,2892,main,"PRIVACY QUESTIONSIf you have any questions or concerns about our Privacy Policy or data processing, please contact us.We may update Privacy Policy from time to time. When we change the policy in a material way, a notice will be posted on our website/apps along with the updated Privacy Policy.Google Ad Settings|Google Privacy & TermsAdvertisementShare this:TwitterFacebookLike this:LikeLoading...Blog at WordPress.com.",419,<choice>,<error>
PRIVACY QUESTIONS,PRIVACY QUESTIONS,100.0,2892,main,"Privacy & Cookies: This site uses cookies. By continuing to use this website, you agree to their use.To find out more, including how to control cookies, see here:Cookie PolicyFollowFollowingGreen Flame LauncherSign me upAlready have a WordPress.com account?Log in now.Green Flame LauncherCustomizeFollowFollowingSign upLog inCopy shortlinkReport this contentView post in ReaderManage subscriptionsCollapse this bar%dbloggers like this:",435,<choice>,<error>
