decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
TERMS OF USE and DATA PROTECTION REGULATIONS,TERMS OF USE and DATA PROTECTION REGULATIONS,100.0,0,main,"TERMS OF USE and DATA PROTECTION REGULATIONSTERMS OF USE and DATA PROTECTION REGULATIONSThe FITAPP app (hereafter refered to as app), as installed on this device has been developed and is operated by FITAPP GmbH, Gadollaokatz 1, 8010 Graz, Austria (hereafter referred to as FITAPP).Contact DetailsFITAPP GmbHGadollaplatz 18010 GrazAUSTRIAWeb:www.fitapp.infoEmail:support@fitapp.info",382,<error>,<error>
1. Scope of Service,1. Scope of Service,100.0,394,main,"1. Scope of ServiceFITAPP provides its users with an app which the user can utilise to capture, save and share their performance and activity information. FITAPP reserves the right to amend, extend, delete or erase any services offered without prior notice nor reason given.",274,<generic>,<error>
2. Changes to the terms of use and data protection regulations,2. Changes to the terms of use and data protection regulations,100.0,670,main,2. Changes to the terms of use and data protection regulations,62,<generic>,<error>
2. Changes to the terms of use and data protection regulations,2. Changes to the terms of use and data protection regulations,100.0,670,main,FITAPP has the right to make alterations to the terms of use as set out within this document in order to correspond to any technical or economic influences which affect the app. The user will be informed of all changes and notification of when those changes take effect. The altered terms of use become valid if the user does not withdraw consent within six weeks prior to the changes taking effect by cancelling their contract in the appropriate app store. FITAPP will ensure that any notification of change makes express mention of this notice period and of the legal consequences of any steps taken.,602,<generic>,<error>
3. Subscription,3. Subscription,100.0,1336,main,"3. SubscriptionIn order to make full use of all that FITAPP offers, a user must effectively sign a contract with FITAPP (â€˜FITAPP Premiumâ€™). The parameters of this contract are specified through the terms of use of the app store where the app is purchased. A contract can only be cancelled via the app store where the app was purchased.",339,<first>,<error>
4. Liability,4. Liability,100.0,1677,main,"4. LiabilityFITAPP is not able to accept liability for any damages which occur as a result of using the app. FITAPP accepts no liability for performance, results or the availability of the app, not for functionality or lack thereof.Any claims against FITAPP would only be permissible in case of gross and wilful negligence, though this is not applicable in the case of personal damage. FITAPP accept no liability for any loss of data or damage to the user device or data stored on it.",484,<third>,<error>
5. Device Authorisations,5. Device Authorisations,100.0,2164,main,"5. Device AuthorisationsThe app only uses APIs (application programming interfaces) as dictated by the operating system of the device. When installing FITAPP, the user will be notified of any authorisations required by the app. The user is able to see and to amend access rights and therefore data capture via the settings on the device used.",342,<first>,<error>
6. Access to Location Information,6. Access to Location Information,100.0,2508,main,"6. Access to Location InformationIn order for the app to function to its full potential, the app requires access to GPS and to be able to capture and process location information (such as sending data relating to distance travelled).",233,<first>,<error>
7. Internet Connection,7. Internet Connection,100.0,2743,main,7. Internet ConnectionThe app requires internet access in order to access data which it then provides for the user. Data is processed and prepared by FITAPP itself.The app only supplies information in a manner in accordance with the Data Protection Act.,253,<first>,<error>
8. Data Protection Regulations,8. Data Protection Regulations,100.0,2999,main,"8. Data Protection RegulationsThe app and the website save and process data solely in accordance with legal specifications as set out in the GDPR (in Austria, the DSGVO, DSG 2018, TKG 2003).",190,<generic>,<error>
Basics,Basics,100.0,3191,sub,"BasicsWe are responsible for processing any data ourselves here at FITAPP GmbH, Mail:office@fitapp.info, for further ",117,<retention>,<error>
Contact Details,contact details,100.0,3311,main,"contact details please see above.ÂOur data protection officer is Marlene Wohlmuth, MA, Mail:office@fitapp.infoWe take the protection of your personal data seriously. This document provides further information about how we use and process your data.",248,<contact>,<error>
The following data is used by FITAPP,The following data is used by FITAPP,100.0,3564,main,The following data is used by FITAPP:,37,<first>,<error>
Contact Details,Contact Details,100.0,3602,sub,"Contact DetailsWhen you send us an email or use the feedback function in the app to take up contact with us, we will use your data in order to respond to your request and for cases when further communication is necessary, we will retain your data for a maximum of 6 months. The legal purpose of us retaining this information is in order to respond to your request. We will never pass this information on without your permission.",428,<first>,<error>
User Data,User Data,100.0,4032,sub,User Data,9,<first>,<error>
User Data,User Data,100.0,4032,sub,"FITAPP stores the data provided by the user, i.e. the data provided as a result of using the app (such as email address, social media ID from Facebook or Google, first name, surname, creation date, date user was last active, height, weight, desired weight, date of birth, gender, language, country) as well as technical data such as the IP address, app version, language version and operating system information. The user data is solely used in order to administer the user account and to carry out that required by the contractual relationship. Examples of this include:",571,<first>,<error>
User Data,User Data,100.0,4032,sub,"- to enable FITAPP users to interact and to release content,- to send messages to inform users about new functionality available on the platform,- to improve the services offered, especially to optimise advertising and content which the user can access on the site,- to match the services to the user preferences, to test the efficacy of the network and FITAPP services and to develop new tools for users, as well as- to prevent misuse of services and to pursue any unauthorised access.",486,<first>,<error>
User Data,User Data,100.0,4032,sub,Delete User Data & Revoke Terms of UseTo delete all collected user data and your user profile navigate to the settings (Gear Icon). Click on â€˜App Settingsâ€™ and select your connected account. Click on â€˜Revoke Terms of Userâ€™. This action will permanently delete all your data and cannot be restored.,305,<first>,<error>
Activity Data,Activity Data,100.0,5412,sub,"Activity DataFITAPP stores the following activity data: date, time, duration, duration of breaks, calories used, heart rate, GPS coordinates (latitude, longitude, time stamp, speed, altitude), average speed, maximum speed, number of paces, notes, emoticons, altitude, country and town. This data is retained until the user deletes his/her account.",347,<first>,<error>
Activity Data,Activity Data,100.0,5412,sub,"The collected personal data is necessary for us to be able to carry out our contractual obligations to the user and to provide customer service. Moreover, we use data for marketing purposes, i.e. to show interest-based content. Most user data and activity data is necessary for us to provide our services. If a user does not wish to provide this data, we are not able to provide the service we can offer, or only to a reduced extent. The legal basis for us to use user and activity data is in order to fulfil our contractual obligations to you, to be able to optimise the services we offer and your consent to volunteer your data.",630,<first>,<error>
Activity Data,Activity Data,100.0,5412,sub,"We process your user and activity data, as far as is necessary, for the duration of our business relationship and additionally the length of time as required by the legal obligation towards the safekeeping of documents as specified in, amongst others, the Austrian Commercial Code and the Austrian Fiscal Code. Data is also retained as long as may be required in the event of a legal dispute, or any guarantee or warranty time limits. User data remains stored at FITAPP until an account is deleted.",498,<first>,<error>
Ranking Lists,Ranking Lists,100.0,6891,sub,"Ranking ListsFITAPP releases user names and the corresponding profile photograph along with ranking on the FITAPP ranking list. Should you prefer not to be known by your real name or to have your real photograph in the FITAPP community, please choose a nickname and a profile picture which is not a photograph of you (please note that you may not use someone elseâ€™s photograph).",380,<first>,<error>
User Searches,User Searches,100.0,7273,sub,User SearchesThe user name and profile picture of each user will be available in the FITAPP search list to enable other FITAPP users to find you.,145,<first>,<error>
Content Sharing,Content Sharing,100.0,7420,sub,"Content SharingFITAPP only shares personal data and related content to third parties if the user actively chooses to â€˜shareâ€™ this data with other users within the FITAPP community. In addition to this, FITAPP will only otherwise share data in individual cases if a legal requirement or if the courts or authorities deem it necessary.",337,<first>,<error>
Server Logs,Server Logs,100.0,7759,sub,Server Logs,11,<first>,<error>
Server Logs,Server Logs,100.0,7759,sub,"It is not necessary to provide any personal data in order to use the website fitapp.info. Our webserver does however store any data which your web browser shares with us (including web pages or data looked at, date, time, internet browser used, the page which sent you to our site (referral page), screen resolution and operating system). We use this data in order to ascertain if there are any errors and to improve the service we provide. This data is stored for a maximum of one year. The data itself cannot be traced back to the user.",538,<first>,<error>
