decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
PRIVACY POLICY,Privacy Policy,100.0,0,main,"Privacy Policy – Game WackyDesign a site like this with WordPress.comGet startedSkip to contentGame WackyThe coolest games on the storeMenu+×expandedcollapsedHomeBlogAboutContactPrivacy PolicyPosted bygamewackyNovember 13, 2020Posted inUncategorizedPrivacy PolicyGame Wacky (“us”, “we”, “Game Wacky”, or “our”) uploading apps on any appstore (the “Service”).This page informs you of our policies regarding the collection, use and disclosure of Personal Information when you use our Service.",490,<generic>,<error>
PRIVACY POLICY,Privacy Policy,100.0,0,main,"We will not use or share your information with anyone except as described in this Privacy Policy.We use your Personal Information for providing and improving the Service. By using the Service, you agree to the collection and use of information in accordance with this policy. Unless otherwise defined in this Privacy Policy, terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, accessible on appstoresInformation Collection And Use",467,<generic>,<error>
PRIVACY POLICY,Privacy Policy,100.0,0,main,"While using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you.We also serve ads through Google AdMob for monetizing our content to generate revenueLog DataWe collect information that your browser sends whenever you visit our Service (“Log Data”). This Log Data may include information such as your computer’s Internet Protocol (“IP”) address, browser type, browser version, the pages of our Service that you visit, the time and date of your visit, the time spent on those pages and other statistics.",584,<generic>,<error>
PRIVACY POLICY,Privacy Policy,100.0,0,main,"CookiesCookies are files with small amount of data, which may include an anonymous unique identifier. Cookies are sent to your browser from a web site and stored on your computer’s hard drive.We use “cookies” to collect information. You can instruct your browser to refuse all cookies or to indicate when a cookie is being sent. However, if you do not accept cookies, you may not be able to use some portions of our Service.Service Providers",441,<generic>,<error>
PRIVACY POLICY,Privacy Policy,100.0,0,main,"We may employ third party companies and individuals to facilitate our Service, to provide the Service on our behalf, to perform Service-related services or to assist us in analyzing how our Service is used.These third parties have access to your Personal Information only to perform these tasks on our behalf and are obligated not to disclose or use it for any other purpose.Security",383,<generic>,<error>
PRIVACY POLICY,Privacy Policy,100.0,0,main,"The security of your Personal Information is important to us, but remember that no method of transmission over the Internet, or method of electronic storage is 100% secure. While we strive to use commercially acceptable means to protect your Personal Information, we cannot guarantee its absolute security.Links To Other Sites",326,<generic>,<error>
PRIVACY POLICY,Privacy Policy,100.0,0,main,"Our Service may contain links to other sites that are not operated by us. If you click on a third party link, you will be directed to that third party’s site. We strongly advise you to review the Privacy Policy of every site you visit.We have no control over, and assume no responsibility for the content, privacy policies or practices of any third party sites or services.Children’s PrivacyOur Service does not address anyone under the age of 13 (“Children”).",460,<generic>,<error>
PRIVACY POLICY,Privacy Policy,100.0,0,main,"We do not knowingly collect personally identifiable information from children under 13. If you are a parent or guardian and you are aware that your Children has provided us with Personal Information, please contact us. If we discover that a Children under 13 has provided us with Personal Information, we will delete such information from our servers immediately.Changes To This Privacy Policy",393,<generic>,<error>
PRIVACY POLICY,Privacy Policy,100.0,0,main,"We may update our Privacy Policy from time to time. We will notify you of any changes by posting the new Privacy Policy on this page.You are advised to review this Privacy Policy periodically for any changes. Changes to this Privacy Policy are effective when they are posted on this page.Contact UsIf you have any questions about this Privacy Policy, please contact us.A} PRIVACY POLICY",386,<generic>,<error>
PRIVACY POLICY,Privacy Policy,100.0,0,main,"Game Wacky (“Game Wacky”) respects the privacy rights of its customers and protects the personal information collected, stored and used in connection with Game Wacky products, services and websites (the “Services”). To further this commitment, we have adopted this Privacy Policy (“Privacy Policy”) to guide how we collect, store, and use the information you provide us.I. ",373,<generic>,<error>
SCOPE OF THIS PRIVACY POLICY,SCOPE OF THIS PRIVACY POLICY,100.0,4355,main,SCOPE OF THIS PRIVACY POLICY,28,<generic>,<why>
SCOPE OF THIS PRIVACY POLICY,SCOPE OF THIS PRIVACY POLICY,100.0,4355,main,"This Privacy Policy applies only to personal information submitted and collected through the Services. By installing, using, registering to or otherwise accessing the Services, you are accepting the practices described in this Privacy Policy. If you do not agree to this Privacy Policy, please do not install, use, register to or otherwise access the Services. Game Wacky reserves the right to modify this Privacy Policy at reasonable times, so please review it frequently. Your continued used of the Services will signify your acceptance to the changes to this Privacy Policy.",577,<generic>,<why>
SCOPE OF THIS PRIVACY POLICY,SCOPE OF THIS PRIVACY POLICY,100.0,4355,main,II. ,4,<generic>,<why>
INFORMATION COLLECTED,INFORMATION COLLECTED,100.0,4966,main,INFORMATION COLLECTEDPersonal Information,41,<first>,<what>
INFORMATION COLLECTED,INFORMATION COLLECTED,100.0,4966,main,"To access the Services, Game Wacky may collect information about you, but only if you voluntarily provide it to us. The types of personal information collected in conjunction with the activities listed above will vary depending on the activity. The requested Personal Information may include, but are not limited to: (i) your name, (ii) mailing address, (iii) telephone number, (iv) email address, (v) photo or other image, (vi) credit card information, and (vii) location. Parents or legal guardians providing parental consent (via our Parental Consent Form) may be asked to provide their child’s name and email address in addition to information about themselves. You may choose not to provide certain information, but in doing so you may not be able to take advantage of many of our features.",795,<first>,<what>
INFORMATION COLLECTED,INFORMATION COLLECTED,100.0,4966,main,Non-Personal Information,24,<first>,<what>
INFORMATION COLLECTED,INFORMATION COLLECTED,100.0,4966,main,"For purposes of this Privacy Policy, “Non-Personal Information” means information that does not directly identify you. Game Wacky may use tools or third party analytical software to automatically collect and use certain Non-Personal Information that does not directly enable Game Wacky to identify you. The types of Non-Personal Information Game Wacky may collect and use include, but are not limited to: (i) device properties, including, but not limited to IP address, unique device identifier or other persistent or non-persistent device identifier (“Device ID”); (ii) device software platform and firmware; (iii) mobile phone carrier; (iv) geographical data such as zip code, area code and approximate location; (v) game progress, time used playing, score and achievements; (vi) other Non-Personal Information as reasonably required by Game Wacky to enhance the Services and other Game Wacky products and services.",917,<first>,<what>
INFORMATION COLLECTED,INFORMATION COLLECTED,100.0,4966,main,Cookies,7,<first>,<what>
INFORMATION COLLECTED,INFORMATION COLLECTED,100.0,4966,main,"The Services may use cookies and other technologies such as pixel tags, locally shared objects and web beacons. Game Wacky treats information collected by cookies and similar technologies as non-personal information. A “cookie” is a small bit of record-keeping information that sites often store on a user’s computer. Cookies do not include people’s names, email addresses, or other information that is personally identifiable; they are typically used to quickly identify a user’s computer and to “remember” things about the user’s visit. You can disable cookies or set your browser to alert you when cookies are being sent to your computer, although this may affect your ability to shop online and login.",705,<first>,<what>
INFORMATION COLLECTED,INFORMATION COLLECTED,100.0,4966,main,III. ,5,<first>,<what>
