decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Privacy PolicySearch this siteSkip to main contentSkip to navigationPrivacy PolicyPhoto Video Maker with Song1) ,112,<error>,<error>
Overview,Overview,100.0,118,main,"Overview :This Privacy Policy describes the information collected byPhoto Video Maker with Songthrough our mobile applications and how we use that information. Also Our Product Category is “ Photography, Video, Entertainment”. These all class Apps we created is only for User Entertainment purpose. Our Company developers continuously work on All Apps And We Give Periodic Updates to Solve Problems And Bugs as well as to provide new features all for smooth User Experience.2) ",477,<generic>,<error>
Information that we collect,Information that we collect,100.0,599,main,Information that we collect :,29,<first>,<what>
Information that we get about you from other services,Information that we get about you from other services,100.0,629,sub,"Information that we get about you from other services Such as Google Analytics, Flurry, Google Play and others. This information includes:-Device information- Device-specific information such as your hardware model and operating system version. We DO NOT collect any of your unique identification.-Anonymous identifiers- we use anonymous identifiers when you interact with services such as advertising services and others.-Unique application numbers",449,<first>,<what>
Information that we get about you from other services,Information that we get about you from other services,100.0,629,sub,"- Certain services include a unique application number. This number and information about your installation (for example, the operating system type and application version number)3) ",182,<first>,<what>
Personal Information That We May Collect,Personal Information That We May Collect,100.0,1268,main,Personal Information That We May Collect :,42,<first>,<what>
Take Photos and Videos,Take Photos and Videos,100.0,1311,sub,Take Photos and Videos:This permission allows us to use your device’s camera to take photos / videos and turn ON/OFF Camera Flash.,130,<first>,<error>
Modify system settings,Modify system settings,100.0,1443,sub,"Modify system settings:This permission is used in settings, in order to switch or adjust ringtone, vibration and brightness level of the screen.",144,<first>,<how-used>
Expand/collapse status bar,Expand/collapse status bar,100.0,1589,sub,Expand/collapse status bar:This permission is used for the gesture feature of User System to expand and collapse the status bar.,128,<first>,<how-used>
Anonymous identifiers,Anonymous identifiers,100.0,1719,sub,Anonymous identifiers:we use anonymous identifiers when you interact with services such as advertising services and others.,123,<first>,<what>
Photos / Media Files,Photos / Media Files,100.0,1844,sub,Photos / Media Files:,21,<first>,<what>
Modify or delete the contents of your Storage,Modify or delete the contents of your Storage,100.0,1866,sub,Modify or delete the contents of your Storage.,46,<first>,<how-used>
Full network access,Full network access,100.0,1913,sub,Full network access:This permission is used to access the device’s network for certain functions including receiving update notifications or accessing app classification labels.,177,<first>,<how-used>
Connect and disconnect from Wi-Fi,Connect and disconnect from Wi-Fi,100.0,2092,sub,Connect and disconnect from Wi-Fi:This permission is used in settings and notification toolbar in order to connect and disconnect from Wi-Fi.,141,<first>,<how-used>
Measure app storage space,Measure app storage space,100.0,2235,sub,Measure app storage space:This permission is used to acquire the amount of storage space used by an application.4) ,115,<first>,<how-used>
Non- Personal Information,Non- Personal Information,100.0,2352,main,Non- Personal Information :,27,<first>,<what>
We may collect and use non-personal information in the following circumstances,We may collect and use non-personal information in the following circumstances,100.0,2380,sub,"We may collect and use non-personal information in the following circumstances: To have a better understanding in user’s behavior , to solve problems in products and services, improve our products, services and advertising. We may collect non-personal information such as installed application name and package name, Installed data, frequency of use, country, equipment and channel. If non-personal information is combined with personal information, we treat the combined information as personal information for the purposes of this Privacy Policy.",548,<first>,<why>
We may collect and use non-personal information in the following circumstances,We may collect and use non-personal information in the following circumstances,100.0,2380,sub,"We use the information that we collect from all of our applications to improve our applications and make it better for you. We may share aggregated, non-personally identifiable information with our partners such as publishers and advertisers. Our Privacy Policy may change from time to time. We will not reduce your rights under this Privacy Policy without your explicit consent.5) ",382,<first>,<why>
Third- Party Sites,Third- Party Sites,100.0,3312,main,Third- Party Sites :,20,<third>,<how-gathered>
Third- Party Sites,Third- Party Sites,100.0,3312,main,"We may provide links to third-party Web sites, such as Facebook, as a service to our Users. The Site may also carry advertisements from other companies. When you click on links of third parties in an Application, the Services or the Site, you may leave the Application, the Services or the Site. We do not collect your information on and through and This Policy does not address, and we are not responsible for, the privacy practices of Web sites operated by third parties, whether they are linked to or otherwise accessible from an Application, the Services or the Site. The inclusion of a link or accessibility of third party Websites does not imply endorsement of such third party Website by us.",698,<third>,<how-gathered>
Third- Party Sites,Third- Party Sites,100.0,3312,main,6) ,3,<third>,<how-gathered>
