decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,privacy_policy_EN_20220113,26,<error>,<error>
Privacy Policy,Privacy Policy,100.0,27,main,Privacy Policy,14,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,27,main,"Our Privacy Policy was updated and became effective on Thursday, January 13, 2022. In this Privacy Policy, we have deleted the description of the information that will no longer be collected based on our business needs and have optimized some of the text. If you no longer wish to use our services, you can request your account to be deleted by sending an email to privacy@roborock.com (or privacy@roborock-eu.com if you are a European Union user under the General Data Protection Regulation (GDPR) or a Russian user under the Russian Federal Law on Personal Data or applicable laws).",584,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,27,main,"Starting from the effective date, you may refer to this Privacy Policy for details on how we manage your personal information that you disclose during your use of our Roborock app (the ""App""), in addition to the privacy polices that we develop for specific products or services. Please take some time to familiarize yourself with our privacy practices. If you have any questions, please let us know by contacting us at privacy@roborock.com (or privacy@roborock-eu.com if you are a European Union user under the GDPR or a Russian user under the Russian Federal Law on Personal Data or applicable laws).",601,<generic>,<error>
Our Commitments to You,Our Commitments to You,100.0,1229,main,"Our Commitments to YouThis Privacy Policy explains how Beijing Roborock Technology Co., Ltd. and its affiliates (""Roborock"", ""we"", ""us"", or ""our"") collect, use, disclose, process, and protect the information you provide to us when using the App. If we ask you for certain information to verify your identity when you use Roborock products and services, we will use such information in strict accordance with this Privacy Policy and/or our User Agreement.",454,<generic>,<error>
Our Commitments to You,Our Commitments to You,100.0,1229,main,"This Privacy Policy has been designed with you in mind, and it is important that you have a full understanding of our personal information collection and usage practices and feel assured that you have ultimate control over your personal information provided to Roborock.",270,<generic>,<error>
Our Commitments to You,Our Commitments to You,100.0,1229,main,"In this Privacy Policy, ""personal information"" means any information that can be used alone or in combination with other information about an individual to which Roborock has access to identify that individual. Such personal information includes, but is not limited to, information about you and your device that you upload.",324,<generic>,<error>
Our Commitments to You,Our Commitments to You,100.0,1229,main,"By using the App, you agree and acknowledge that you have read and accept all of the terms of this Privacy Policy, including any changes that we may make from time to time. To comply with applicable laws, including local data protection legislation (such as the GDPR and the Russian Federal Law on Personal Data), we will specifically seek your prior explicit consent to the processing (such as automated decision-making) of special categories of personal information. Furthermore, we are committed to protecting the privacy, confidentiality, and security of your personal information in accordance with applicable laws, and we are equally committed to ensuring that all of our employees and agents comply with these obligations.",729,<generic>,<error>
Our Commitments to You,Our Commitments to You,100.0,1229,main,"Our ultimate goal is to provide the best experience for all users. If you have any questions about the data processing practices described in this Privacy Policy, you can contact us by email at privacy@roborock.com (or privacy@roborock-eu.com if you are a European Union user under the GDPR or a Russian user under the Russian Federal Law on Personal Data or applicable laws) so that we can process your special requests. We are happy to deal with your questions directly.",472,<generic>,<error>
What Information We Collect and How We Use It,What Information We Collect and How We Use It,100.0,3484,main,What Information We Collect and How We Use It,45,<first>,<error>
Types of information collected,Types of information collected,100.0,3530,main,"Types of information collectedTo provide you with our services, we will ask you for your personal information that is necessary for the provision of these services. If you do not provide your personal information, we may be unable to provide you with our products or services.To help you a have a better understanding of this Privacy Policy, some common terms used in this Privacy Policy are defined as follows:Mobile device: Any device where the App runs, such as a mobile phone or a tablet.",492,<first>,<error>
Types of information collected,Types of information collected,100.0,3530,main,"Device: Any smart device that can access the IoT platform through the App, such as a Roborock vacuum cleaner.We will only collect information that is necessary for specific, explicit, and legitimate purposes and will not further process it for any other purposes. We may collect the following types of information (which may or may not be personal information):",361,<first>,<error>
Types of information collected,Types of information collected,100.0,3530,main,"Information that you provide to us (including your contact information): We may collect the personal information that you provide to us, such as your mobile phone number, email address, feedback, the profile picture you upload in the App, and other information you enter. As your mobile phone number and email address are crucial to you logging in to the App, they will be stored on the mobile device on which the App runs. If you wish to delete that information, you can choose to delete your account. For information on how to delete your account, refer to ""Deleting information"" below.",588,<first>,<error>
Types of information collected,Types of information collected,100.0,3530,main,"Mobile device information and App running information: We may collect information about the mobile device where the App runs, such as the system version, language setting, time zone setting, the manufacturer of the device, the device model and name, and the IP address. We may also collect information about the cellular network operator that your mobile device is registered with. We may further collect information about the crashes of the App.",446,<first>,<error>
Types of information collected,Types of information collected,100.0,3530,main,"Device information: We may collect information about the device linked to your account, such as the device's MAC address, DID (a serial number used for a smart device), device's network information (IP address/network signal), firmware version, and the MAC address of the router concerned.Coarse location information (required only for specific services/functions): information relating to your location, including your area and country code.",442,<first>,<error>
Types of information collected,Types of information collected,100.0,3530,main,"Network access information: the SSID and password of the router concerned. Please note that your password will only be stored on your Device and will not be uploaded to our server.Account credentials: information about your account credentials, such as the account username, password, and token (used for account login).",320,<first>,<error>
How This Personal Information Will Be Used,How This Personal Information Will Be Used,100.0,6191,main,How This Personal Information Will Be UsedWe collect your personal information to provide you with our products and/or services and ensure that we comply with applicable laws. You hereby agree that we may process your personal information and disclose your personal information to our affiliates and third-party service providers (as defined below) for the purposes stated in this Privacy Policy.We may use your personal information for the following purposes:,460,<first>,<error>
