decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Age Calculator- ,16,<error>,<error>
Privacy Policy,Privacy Policy,100.0,16,main,"Privacy Policy - Fund EasyWhat is Mutual Fund?What is SIP?Check BalanceSave TaxContactFund EasyMutual Funds made easySkip to contentWhat is Mutual Fund?What is SIP?Check BalanceSave TaxContactHomeAge Calculator- Privacy PolicyAge Calculator- Privacy PolicyPrivacy PolicyAt Age Calculator App, we believe in transparency and honesty. We hope you will find this privacy policy clear and transparent. Do not hesitate to reach out to us at[email protected]if you have any questions.",478,<generic>,<error>
What Information Does the Application Obtain and How Is It Used,What information does the Application obtain and how is it used,100.0,515,main,"What information does the Application obtain and how is it used?The Application does not provide an option to create an account therefore, we do not store nor have access to your entries and data. Your data are stored only locally on your device.Device data This data informs us about the device you use to access our services, such as the model, name and identifiers, device settings, application identifier, and crash information. On our website, we collect information about your browser and browser settings, the operating system you use, and the system settings of your device. This information helps us to fix bugs, tailor our services to our users’ devices and improve our services.",689,<generic>,<error>
What Information Does the Application Obtain and How Is It Used,What information does the Application obtain and how is it used,100.0,515,main,"Event and usage data When you use the app or when you go to our website, our servers process data in order to understand your usage of our services—for example, which pages you visit or which tab in the app you open. We collect this information and use it as aggregate data to better understand which features are the most relevant or useful to our users as a whole, and to communicate with you about relevant and timely information and promotional content.",457,<generic>,<error>
What Information Does the Application Obtain and How Is It Used,What information does the Application obtain and how is it used,100.0,515,main,"IP address We collect IP addresses provided by your browser or mobile device to deliver the service to your device. We also use the IP address to determine your approximate location for statistical and analytics purposes, and for regulatory compliance in different countries. To be clear, we do not collect your precise location.We obtain your email address when you request support via email.We use your email only to contact you to provide support, feedback or important information.Analytics",494,<generic>,<error>
What Information Does the Application Obtain and How Is It Used,What information does the Application obtain and how is it used,100.0,515,main,The application does NOT collect any usage or crash reporting data without your consent.If you’ve agreed to ,108,<generic>,<error>
Data Collection,data collection,100.0,2272,sub,"data collection, the application collects some usage data that are essential for us to deliver our services, to understand your needs and to improve our services. For example, the application collects how much time users spent on certain screens or which features are popular. The analytics services automatically collect certain information that does not personally identify our end users who access or use our mobile applications. This information includes but is not limited to device state information, unique device identifiers, installation UUID, device hardware and OS information, information relating to how application functions or anonymized IP addresses.",666,<first>,<error>
Data Collection,data collection,100.0,2272,sub,"The application does NOT collect any personal data that directly identifies you such as your name, surname, email or anything you type within the app.AndroidWe use the following third-party services for our Android app:We collect certain data that allows us to analyze how you interact with our app and fix bugs. We do use third-party tools to help us with this. But we are careful to only let them process usage data and minimal personal data. To be clear, these third party services are not permitted to use the data for any other purpose than to help us run the app.",569,<first>,<error>
Data Collection,data collection,100.0,2272,sub,"Google Analytics, Flurry Analytics, Facebook Analytics, AmplitudeThis service helps us to collect and analyze usage data in order to understand usage patterns and to improve our Android app.Personal data collected: various usage and ",233,<first>,<error>
Device Data,device data,100.0,3747,sub,"device data such as cookies, unique device identifiers, usage data, anonymized ",79,<first>,<error>
