decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
PRIVACY POLICY,PRIVACY POLICY,100.0,0,main,PRIVACY POLICYSearch this siteSkip to main contentSkip to navigationPRIVACY POLICYAl Rasoub Inc.ServicesWhen users use our service. It is understood and accepted all of our privacy policy.Virus scanningWhen users scan any files. The system transfers the data to a Cloud Server to determine the precise virus. And returns to the user. The virus is still undetectable.We have updated anti-virus service at all times. And we are confident that we will check it regularly for new viruses.To thoroughly analyze files,511,<error>,<error>
PRIVACY POLICY,PRIVACY POLICY,100.0,0,main,"If you wish to give us a thorough analysis of the virus. Please submit files to our emails.Improve services to betterFirst, you can use our virus scan. You can help us have a better service it.",193,<error>,<error>
"1. How we collect, use and protect your information","1. How we collect, use and protect your information",100.0,718,main,"1. How we collect, use and protect your informationWe may collect information regarding your use of our software, applications and/or services, including information about the duration of your use, the features you use and your interactions with other users of the software, applications and/or services.",304,<generic>,<error>
2. What Information We collect from you,2. What Information We collect from you,100.0,1024,main,2. What Information We collect from,35,<first>,<error>
2.1 Content Information," you
Content Informatio",82.6086956521739,1059,sub," youContent Information: We collect information about the content you provide, such as if the recipient has viewed the content and the metadata that is provided with the conte",175,<first>,<error>
2.2 Location/Gps,"nt.
Location/Gps",81.25,1235,sub,nt.Location/GpsThis permission is used by one of our apps to turn on/off Gps programmatically.Photo metadata: Photo metadata is usually technical data that is associated with the photos and vide,194,<first>,<error>
2.3 Photo metadata,os. Photo metadata,88.88888888888889,1431,sub,"os. Photo metadata describes when, how, where, and by which device the photo was created. Photo metadata may also include data that helps us describe the rudimentary characteristics of photo",190,<first>,<error>
2.4 Contacts,"s
• Contacts",75.0,1621,sub,"s• Contacts: Because many of our services are also about communicating with friends, we may – with your consent – collect information from your device’s phonebook• Analytics Informatio• We use third-party analytics tools to help us measure traffic and usage trends for the Service. We collect and use t",302,<error>,<error>
2.5 Analytics Information,his analytics information,88.0,1925,sub,his analytics information in aggregate form such that it cannot reasonably be manipulated to identify any particular individual user,132,<first>,<error>
2.6 Location Information,".
• Location Information",91.66666666666666,2057,sub,.• Location Information• Our application will only access your location information when you use and will not be disclosed to third parties and others,150,<first>,<error>
2.7 Read Call Log And Read Sms,".
• Read Call Log And Read Sms",93.33333333333333,2209,sub,".• Read Call Log And Read Sms• Our new feature, you can synchronize the phone and watch, get your call log and text messages, you can make better use of your change program features, we promised not to provide your call log and short to any person or third party interest informatio",282,<first>,<error>
2.8 READ_PHONE_STATE permission,"n.
•READ_PHONE_STATE permission",90.32258064516128,2493,sub,"n.•READ_PHONE_STATE permissionthe permission will be used to listen incoming call to unlock screen an d lock screen when call finished• Business Transfers If Battery Saver or substantially all of its assets were acquired, or in the unlikely event that we go out of business or enters bankruptcy, user information would be one of the assets that is transferred or acquired by a third party. You acknowledge that such transfers may occur, and that any acquirer of Battery Saver may continue to use your personal information as set forth in this policy",549,<first>,<error>
2.9 MicroPhone,".
• MicroPhone",85.71428571428572,3045,sub,".• MicroPhone: to use a microphone to record voice as the main feature of the app described with your consent.• Phone:  Used for permissions that are associated telephony features with your consent to detect incoming calls to handle voice recording properly, stop and save recording when user pick up the call.• 9",313,<first>,<error>
2.11 View Wi-Fi connections,.     View Wi-Fi connection,85.18518518518519,3361,sub,".     View Wi-Fi connections• We use this permission for settings and notification toolbar, in order to view Wi-Fi connections.• ",129,<first>,<error>
2.12 Access Bluetooth settings,10.  Access Bluetooth settings,90.0,3492,sub,"10.  Access Bluetooth settings• We use this permission for settings, in order to turn on and off the Bluetooth.• ",113,<first>,<error>
2.13 Close other apps,11.  Close other apps,85.71428571428572,3607,sub,11.  Close other apps• This permission used to close other apps to boost up your phone and clear RAM.• ,103,<first>,<error>
2.14 Retrieve running apps,12.  Retrieve running apps,92.3076923076923,3712,sub,12.  Retrieve running apps• We use this permission Boost in order to view the running apps. To improve your mobile performance by closing running apps.• ,153,<first>,<error>
2.15 Toggle sync on and off,13.  Toggle sync on and off,88.88888888888889,3866,sub,"13.  Toggle sync on and off• This permission power’s save mode, and allows us to synchronize with the user's sync setting",121,<first>,<error>
2.16 Device Information,"s.
• Device Information",86.95652173913044,3988,sub,"s.• Device Information: We collect device-specific information, such as the hardware model, operating system version, advertising identifier, unique application identifiers, unique device identifiers, browser type, language, wireless network, and mobile network information.• Camera: Torch is a popular feature in Launcher that uses your device’s camera flashlight and requires camera permission. Launcher will not take photos and videos by itsel",446,<first>,<error>
2.18 Get tasks,"f. .
Get tasks",78.57142857142857,4436,sub,f. .Get tasks The purpose of this is to get the running tasks and kill the running apps to increase your phone performa,119,<first>,<error>
2.19 Read phone status and identity,"nce.
Read phone status and identity",88.57142857142857,4556,sub,nce.Read phone status and identity This permission allows Launcher to recognize an incoming call and to switch between the User System interface and call interfac,162,<first>,<error>
2.20 Non-Personal Information,"e.
• Non-Personal Information",89.65517241379311,4719,sub,"e.• Non-Personal Information: We may collect and use non-personal information in the following circumstances. To have a better understanding of user’s behavior, solve problems in products and services, improve our products, services and advertising.",249,<first>,<error>
Contact US,Contact US,100.0,4970,main,Contact USIf you have any questions about any of our services. Please do not hesitate to contact us via e-mail. guerreratamar9451@gmail.com,139,<first>,<error>
Report abuse,Report abuse,100.0,5111,main,Report abuseGoogle SitesReport abuse,36,<choice>,<error>
