decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,privacy,7,<error>,<error>
Privacy Policy,Privacy Policy,100.0,8,main,"Privacy PolicyLast updated: September 29, 2021This Privacy Policy describes Our policies and procedures on the collection, use and disclosure of Your information when You use the Service and tells You about Your privacy rights and how the law protects You.We use Your Personal data to provide and improve the Service. By using the Service, You agree to the collection and use of information in accordance with this Privacy Policy.",430,<generic>,<error>
Interpretation,Interpretation,100.0,442,sub,Interpretation and ,19,<generic>,<other>
Definitions,Definitions,100.0,461,sub,DefinitionsInterpretationThe words of which the initial letter is capitalized have meanings defined under the following conditions. The following definitions shall have the same meaning regardless of whether they appear in singular or in plural.DefinitionsFor the purposes of this Privacy Policy:- Account means a unique account created for You to access our Service or parts of our Service.- Application means the software program provided by the Company downloaded by You on any electronic device.,499,<generic>,<other>
Definitions,Definitions,100.0,461,sub,"- Device means any device that can access the Service such as a computer, a cell phone or a digital tablet.- Personal Data is any information that relates to an identified or identifiable individual.- Service refers to the Application.",235,<generic>,<other>
Collecting and Using Your Personal Data,Collecting and Using Your Personal Data,100.0,1205,main,Collecting and Using Your Personal Data,39,<first>,<how-gathered>
Types of Data Collected,Types of Data Collected,100.0,1245,sub,"Types of Data CollectedWe DO NOT collect, store or use any personal information while you visit, download or upgrade our our products, excepting (i) the personal information that you submit to us when you create a user account, send an error report or participate in online surveys and other activities；",303,<first>,<what>
Use of Your Personal Data,Use of Your Personal Data,100.0,1550,sub,"Use of Your Personal DataTo manage Your Account: to manage Your registration as a user of the Service. The Personal Data You provide can give You access to different functionalities of the Service that are available to You as a registered user.For the performance of a contract:the development, compliance and undertaking of the purchase contract for the products, items or services You have purchased or of any other contract with Us through the Service.",455,<first>,<what>
Use of Your Personal Data,Use of Your Personal Data,100.0,1550,sub,"To contact You: To contact You via any forms of electronic communication, such as a mobile application's push notifications regarding updates or informative communications related to the functionalities, products or contracted services, including the security updates, when necessary or reasonable for their implementation.",323,<first>,<what>
Use of Your Personal Data,Use of Your Personal Data,100.0,1550,sub,"To provide You with news, special offers and general information about other goods, services and events which we offer that are similar to those that you have already purchased or enquired about unless You have opted not to receive such information.To manage Your requests: To attend and manage Your requests to Us.We may disclose Your personal information for any other purpose with Your consent.",397,<first>,<what>
Retention of Your Personal Data,Retention of Your Personal Data,100.0,2732,main,"Retention of Your Personal DataThe Company will retain Your Personal Data only for as long as is necessary for the purposes set out in this Privacy Policy. We will retain and use Your Personal Data to the extent necessary to comply with our legal obligations (for example, if we are required to retain your data to comply with applicable laws), resolve disputes, and enforce our legal agreements and policies.",409,<retention>,<when>
Retention of Your Personal Data,Retention of Your Personal Data,100.0,2732,main,"The Company will also retain Usage Data for internal analysis purposes. Usage Data is generally retained for a shorter period of time, except when this data is used to strengthen the security or to improve the functionality of Our Service, or We are legally obligated to retain this data for longer time periods.",312,<retention>,<when>
Transfer of Your Personal Data,Transfer of Your Personal Data,100.0,3456,main,"Transfer of Your Personal DataYour information, including Personal Data, is processed at the Company's operating offices and in any other places where the parties involved in the processing are located. It means that this information may be transferred to — and maintained on — computers located outside of Your state, province, country or other governmental jurisdiction where the data protection laws may differ from those from Your jurisdiction.",448,<third>,<what>
Transfer of Your Personal Data,Transfer of Your Personal Data,100.0,3456,main,Your consent to this Privacy Policy followed by Your submission of such information represents Your agreement to that transfer.The Company will take all steps reasonably necessary to ensure that Your data is treated securely and in accordance with this Privacy Policy and no transfer of Your Personal Data will take place to an organization or a country unless there are adequate controls in place including the security of Your data and other personal information.,465,<third>,<what>
Disclosure of Your Personal Data,Disclosure of Your Personal Data,100.0,4373,main,Disclosure of Your Personal Data,32,<third>,<what>
Business Transactions,Business Transactions,100.0,4406,sub,"Business TransactionsIf the Company is involved in a merger, acquisition or asset sale, Your Personal Data may be transferred. We will provide notice before Your Personal Data is transferred and becomes subject to a different Privacy Policy.",241,<third>,<when>
Law enforcement,Law enforcement,100.0,4649,sub,"Law enforcementUnder certain circumstances, the Company may be required to disclose Your Personal Data if required to do so by law or in response to valid requests by public authorities (e.g. a court or a government agency).",224,<third>,<when>
Other legal requirements,Other legal requirements,100.0,4875,sub,Other legal requirementsThe Company may disclose Your Personal Data in the good faith belief that such action is necessary to:- Comply with a legal obligation- Protect and defend the rights or property of the Company- Prevent or investigate possible wrongdoing in connection with the Service- Protect the personal safety of Users of the Service or the public- Protect against legal liability,391,<third>,<when>
Security of Your Personal Data,Security of Your Personal Data,100.0,5273,main,"Security of Your Personal DataThe security of Your Personal Data is important to Us, but remember that no method of transmission over the Internet, or method of electronic storage is 100% secure. While We strive to use commercially acceptable means to protect Your Personal Data, We cannot guarantee its absolute security.",322,<security>,<why>
Links to Other Websites,Links to Other Websites,100.0,5597,main,"Links to Other WebsitesOur Service may contain links to other websites that are not operated by Us. If You click on a third party link, You will be directed to that third party's site. We strongly advise You to review the Privacy Policy of every site You visit.We have no control over and assume no responsibility for the content, privacy policies or practices of any third party sites or services.",398,<not>,<other>
Changes to this Privacy Policy,Changes to this Privacy Policy,100.0,5998,main,"Changes to this Privacy PolicyWe may update Our Privacy Policy from time to time. We will notify You of any changes by posting the new Privacy Policy on this page.We will let You know via email and or a prominent notice on Our Service, prior to the change becoming effective and update the “Last updated”; date at the top of this Privacy Policy.You are advised to review this Privacy Policy periodically for any changes. Changes to this Privacy Policy are effective when they are posted on this page.",500,<change>,<other>
