decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,End Permian – Android and iPhone games and themes.  » ,54,<error>,<error>
Privacy Policy,Privacy Policy,100.0,54,main,Privacy PolicyHomeBlogThemesGamesGalaxy Bowling 3DFlight Theory 2 in 1Longbow – RealsenseFlight TheoryLeague Star FootballLongbow – Archery 3DAboutAccountSupportPrivacy PolicyOverviewWe respect your privacy. We don’t actively collect or store personal information. Any information collected is used for the sole purpose of processing orders or registrations initiated by you. Feel free to read through the finer details below. Thank you!What information do we collect?,468,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,54,main,"We collect information from you when you register on our site, place an order or register in our apps.When registering in our applications, your email address is stored for password retrieval purposes. This information is not public and not disclosed to 3rd parties.When ordering or registering on our site, as appropriate, you may be asked to enter your: name or e-mail address. You may, however, visit our site anonymously.",425,<generic>,<error>
What We Do With Your Information,"
What do we use your information",81.25,967,main,What do we use your information for?An,38,<generic>,<error>
What information do we collect?,y of the information we collect,77.41935483870968,1007,sub,y of the information we collect from you may be used in one of the following ways:,82,<first>,<error>
To personalize your experience,To personalize your experience,100.0,1090,sub,To personalize your experience:(your information helps us to better respond to your individual needs),101,<first>,<error>
To improve our website,To improve our website,100.0,1193,sub,To improve our website:(we continually strive to improve our website offerings based on the information and feedback we receive from you),137,<first>,<error>
To process transactions,To process transactions,100.0,1332,sub,"To process transactions:Your information, whether public or private, will not be sold, exchanged, transferred, or given to any other company for any reason whatsoever, without your consent, other than for the express purpose of delivering the purchased product or service requested.",282,<first>,<error>
To send periodic emails,To send periodic emails,100.0,1616,sub,"To send periodic emails:The email address you provide for order processing, will only be used to send you information and updates pertaining to your order or information related to End Permian (only if you opt-in.)Note: If at any time you would like to unsubscribe from receiving future emails, we include detailed unsubscribe instructions at the bottom of each email.",368,<first>,<error>
To allow you to reset your password,To allow you to reset your password,100.0,1987,sub,To allow you to reset your password.,36,<first>,<error>
Google Analytics,Google Analytics,100.0,2024,main,"Google AnalyticsGoogle Analytics is a web analysis service provided by Google. Google utilizes the data collected to track and examine the use of endpermian.com and mobile apps, to prepare reports on its activities and share them with other Google services.Google may use the data collected to contextualize and personalize the ads of its own advertising network.Personal data collected: Cookie and Usage Data. Place of processing: USA. Find Google’sprivacy policy here.",470,<third>,<error>
Cookies,Cookies,100.0,2500,main,"CookiesCookies are files with small amount of data, which may include an anonymous unique identifier.Cookies are sent to your browser from a web site and stored on your computer’s hard drive.Like many sites, we use “cookies” to collect information. You can instruct your browser to refuseall cookies or to indicate when a cookie is being sent.",343,<tracking>,<error>
Log Data,Log Data,100.0,2848,main,"Log DataLike many site operators, we collect information that your browser sends whenever you visit oursite. This data may include information such as your computer’s InternetProtocol (“IP”) address, browser type, browser version, the pages of our Site that you visit, thetime and date of your visit, the time spent on those pages and other statistics.",352,<first>,<error>
Third Party Links,Third party links,100.0,3205,main,"Third party linksOccasionally, at our discretion, we may include or offer third party products or services on our website or apps. These third party sites have separate and independent privacy policies. We therefore have no responsibility or liability for the content and activities of these linked sites.",305,<third>,<error>
Changes To This Privacy Policy,Changes To This Privacy Policy,100.0,3512,main,Changes To This Privacy PolicyWinterlight Pty. Ltd. may update this Privacy Policy from time to time. We will notifyyou of any changes by posting the new Privacy Policy on the Site. You are advised to review thisPrivacy Policy periodically for any changes.,256,<change>,<error>
Your Consent,Your Consent,100.0,3772,main,"Your ConsentBy using our site, you consent to our websites privacy policy.This policy was last modified on August 8th, 2015.",124,<choice>,<error>
Contacting Us,Contacting Us,100.0,3899,main,Contacting UsIf there are any questions regarding this privacy policy you may contact us using the information below.contact@endpermian.com© 2023End Permian – Android and iPhone games and themes.All Rights Reserved.,215,<contact>,<error>
