decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyUpdated: April 11, 2022Effective Date: April 11, 2022",67,<generic>,<error>
Overview,Overview,100.0,70,main,"Overview""RDFit"" is an application provided by Shenzhen Runde Communication Technology Co., Ltd. (hereinafter referred to as the ""Company"", or ""we"" or ""us"") to you with respect to exercise guidance and health services. We respect your privacy and are committed to protecting your privacy by complying with this Policy. This Policy sets forth:â€¢	The types of information we will collect or you may provide when you download, install, register, access, or use the application ""RDFit"";",482,<generic>,<error>
Overview,Overview,100.0,70,main,"â€¢	The practices that we will collect, use, maintain, protect and disclose such information.This Policy applies only to information that we collect in this App or by e-mails, texts, and other electronic communications sent through or in connection with this App.This Policy does not apply to the following information:â€¢	The information we collect offline or in the App or website of any other companies, including the website that you can access through such App;",466,<generic>,<error>
Overview,Overview,100.0,70,main,"â€¢	The information provided by you to any third parties or collected by them (see below).There may be privacy policies on our website or App and other third parties, and we encourage you to read such policies before you provide information through them.",254,<generic>,<error>
Overview,Overview,100.0,70,main,"Please read this Policy carefully to understand our policies and practices regarding your information and how we will process your information. Please do not download, register or use this App if you disagree with our Privacy Policy. By downloading and registering RDFit for use, you agree with this Privacy Policy. Your exercise and health information include sensitive personal information, which will be stored on the Alibaba Cloud Server, and we will not upload it to the server of RDFit until you give consent in the App. Generally, the data from local residents will be only stored on the server within the local jurisdiction and will be not transferred across borders. In this Privacy Policy, we reserve the right to update or amend this Policy from time to time, and we will post the updated Privacy Policy here in case of any change in our Privacy Policy. By continuing to use this App after we have amended this Policy, you indicate that you have carefully read and agreed to these changes and you are kindly requested to check this Policy regularly for updates.",1072,<generic>,<error>
Overview,Overview,100.0,70,main,"This App does not apply to minors under the age of 16 (or under the age of 13 in some jurisdictions) and we will not intentionally collect the personal information about these minors under the age of 16 (or under the age of 13 in some jurisdictions) If we find ourselves collecting personal information about these minors without prior provable consent of their parents, we will manage to delete the same as soon as possible and terminate the accounts of these minors; if you believe that we may have any information about these minors, please contact us at service@xinsudian.com.",580,<generic>,<error>
What kind of information do we collect and how do we collect information,What kind of information do we collect and how do we collect information,100.0,2935,main,What kind of information do we collect and how do we collect information,72,<first>,<error>
We collect information from users of this App by:,We collect information from users of this App by:,100.0,3008,sub,We collect information from users of this App,45,<first>,<error>
&#x2022; Directly obtaining the same from you when you make available it to us;," by:
â€¢	Directly obtaining the same from you when you make available it to us;",89.87341772151899,3053,sub, by:â€¢	Directly obtaining the same from you when you make available it to,74,<first>,<error>
&#x2022; Automatically executing the collection of information provided by you to us when you use this App.," us;
â€¢	Automatically executing the collection of information provided by you to us when you use this App.",92.5233644859813,3128,sub," us;â€¢	Automatically executing the collection of information provided by you to us when you use this App.We may request you to provide the following information when you download, register or log in to use this App:â€¢	Which may be used to identify your personal identity, such as name. mailing address, e-mail address, phone number, password, date of birth, gender, height and weight or any other identifier that can contact you online or offline (""Personal Information"");",474,<first>,<error>
&#x2022; Automatically executing the collection of information provided by you to us when you use this App.," us;
â€¢	Automatically executing the collection of information provided by you to us when you use this App.",92.5233644859813,3128,sub,"â€¢	Which is about you, but it doesn't identify you individually, for example, health information; This information includes:â€¢	Those that you provide by filling in a form in this App, which includes the information provided when you register this App, subscribe to our service, and post materials,and request further services. We may request you to provide information when you participate in our sponsored contests or promotions and when you report that there are issues that occurred to this App.",500,<first>,<error>
&#x2022; Automatically executing the collection of information provided by you to us when you use this App.," us;
â€¢	Automatically executing the collection of information provided by you to us when you use this App.",92.5233644859813,3128,sub,â€¢	Records and copies of your correspondence (including email address and phone number) (if you contact us);â€¢	Your responses to surveys we may ask you to complete for research purposes;â€¢	Details of the transactions and order fulfillment that you make through this App. You may be required to provide financial information when you place an order through this App.â€¢	Your search and query on this App.,406,<first>,<error>
&#x2022; Automatically executing the collection of information provided by you to us when you use this App.," us;
â€¢	Automatically executing the collection of information provided by you to us when you use this App.",92.5233644859813,3128,sub,"You may also provide information in the public area of this App or on the websites you visit through this App (collectively referred to as ""User Contributions"") for the purpose of posting or displaying (""Posting""). Your User Contributions are posted and transferred to others, at your own risk.It is reminded that no security measures are perfect or unbreakable. Moreover, we are unable to control the actions of third parties with whom you may choose to share User Contributions.",480,<first>,<error>
&#x2022; Automatically executing the collection of information provided by you to us when you use this App.," us;
â€¢	Automatically executing the collection of information provided by you to us when you use this App.",92.5233644859813,3128,sub,"As a result, we cannot and do not guarantee that your User Contributions will not be viewed by unauthorized persons.",116,<first>,<error>
Automated information collection and tracking,Automated information collection and tracking,100.0,5118,main,"Automated information collection and trackingWhen you download, access and use this App, it may use technology to automatically collect information arising from:â€¢	Account cancellationIf you need to cancel an account, the following conditions are required to be met at the same time:(a)	The account had no abnormal login in the last 1 month;(b)	No complaint or report in respect of the account occurs;",402,<first>,<error>
Automated information collection and tracking,Automated information collection and tracking,100.0,5118,main,"(c)	There are no unused benefits in the account, and if you have any unused benefits, you will be deemed as having waived such benefits by making an application for cancellation;(d)	You have completely waived rights to retain and retrieve such data;(e) The account cancellation does not involve any complaints, disputes, lawsuits, or investigations by competent authorities that have occurred and there is no such realistic risk of being sued or adjusted;",455,<first>,<error>
Automated information collection and tracking,Automated information collection and tracking,100.0,5118,main,"(f) There are no obligations in respect of the account to be performed but not be performed yet, in accordance with laws and regulations;The process of canceling the account is as follows: Login APP - My Account - Setting - Account and Security - Account Cancellation Before you cancel your account, we will conduct the verification of your account information. You acknowledge and understand that canceling the account is irreversible.â€¢	Consequences of account cancellation",476,<first>,<error>
Automated information collection and tracking,Automated information collection and tracking,100.0,5118,main,"You acknowledge and agree that completing the process of account cancellation will result in (including without limitation) the following consequences:(a)	You will have no permissions to operate relying on such an account;(b)	You will be unable to log in to this App with such an account again;(c)	After cancellation, we will clear your data and you will be unable to retrieve all information, data, etc. that you have stored or used under this account;",453,<first>,<error>
Automated information collection and tracking,Automated information collection and tracking,100.0,5118,main,"(d)	Other consequences that may damage your benefits or cause loss to you;â€¢	Details of usageWhen you visit and use this App, we may automatically collect some particulars that you visit and use this App, including traffic data, location data, logs, and other communication data as well as the resources you access and use through this App.â€¢ Photo Information",362,<first>,<error>
Automated information collection and tracking,Automated information collection and tracking,100.0,5118,main,"When you customize the display avatar, customize the background of the watch face, or synchronize the QR code from the album to the watch, the application will access your photo information.â€¢ SMS, Contacts and Contacts InformationWhen you need to view real-time notification messages or real-time caller ID on the associated smart device, the application will apply to you for permissions such as SMS, contacts and contacts. When you allow permissions, we will access This information is used for this service.",512,<first>,<error>
Automated information collection and tracking,Automated information collection and tracking,100.0,5118,main,"â€¢	Location informationThis App will collect real-time information about the location of your device, including GPS signals, device sensors, Wi-Fi access points, and base station IDs (if you have granted us access to this information).â€¢	Information on the biometric characteristics",284,<first>,<error>
