decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,TV MasterSearch this siteSkip to main contentSkip to navigationTV MasterPrivacy Policy,86,<error>,<error>
General,General,100.0,92,main,"GeneralThis Privacy Policy explains how we collect, use and share your personal data. At here, we care about your personal data, so we have prepared this Privacy Policy to explain how we collect, use and share it.This Privacy Policy (“Privacy Policy”) details the personal data receives about you, how we process it and your rights and obligations in relation to your personal data. By using or accessing the Service, you agree to the terms of this Privacy Policy.",464,<error>,<error>
What kinds of information is collected?,What kinds of information is collected?,100.0,559,main,What kinds of information is collected?,39,<generic>,<error>
Information Provided by You or Collected with Your permission.,Information Provided by You or Collected with Your permission.,100.0,599,sub,Information Provided by You or Collected with Your permission.,62,<first>,<what>
Information Related to Your use of the services.,Information Related to Your use of the services.,100.0,662,sub,Information Related to Your use of the services.,48,<first>,<what>
Location Information.,Location Information.,100.0,711,sub,Location Information.,21,<first>,<what>
Interactive Features.,Interactive Features.,100.0,733,sub,Interactive Features.,21,<first>,<what>
Surveys.,Surveys.,100.0,755,sub,"Surveys.We may invite you to participate in surveys. If you decide to fill out the forms, you may be asked to provide certain information which may include personal information.",177,<first>,<what>
How Do we use information?,How Do we use information?,100.0,934,main,"How Do we use information?We may use the information we collect for a variety of business purposes, including:",110,<first>,<error>
To Provide the Services or Information Requested.,To Provide the Services or Information Requested.,100.0,1046,sub,To Provide the Services or Information Requested.,49,<first>,<why>
Fulfill our contract with you;,Fulfill our contract with you;,100.0,1096,sub,Fulfill our contract with you;,30,<first>,<why>
To tailor and deliver personalized content to you;,To tailor and deliver personalized content to you;,100.0,1127,sub,To tailor and deliver personalized content to you;,50,<first>,<why>
Manage your information;,Manage your information;,100.0,1178,sub,Manage your information;,24,<first>,<why>
"Respond to questions, comments, and other requests;","Respond to questions, comments, and other requests;",100.0,1203,sub,"Respond to questions, comments, and other requests;",51,<first>,<why>
"Provide access to certain areas, functionalities, and features of our Services; and","Provide access to certain areas, functionalities, and features of our Services; and",100.0,1255,sub,"Provide access to certain areas, functionalities, and features of our Services; and ",84,<first>,<why>
Answer requests for customer or technical support.,Answer requests for customer or technical support.,100.0,1339,sub,Answer requests for customer or technical support.,50,<first>,<why>
Administrative Purposes.,Administrative Purposes.,100.0,1390,sub,Administrative Purposes.,24,<first>,<how-used>
"Pursue legitimate business interests, such as research and development (including marketing research), network and information security, and fraud prevention;","Pursue legitimate business interests, such as research and development (including marketing research), network and information security, and fraud prevention;",100.0,1415,sub,"Pursue legitimate business interests, such as research and development (including marketing research), network and information security, and fraud prevention;",158,<first>,<how-used>
Carry out analytics;,Carry out analytics;,100.0,1574,sub,Carry out analytics;,20,<first>,<how-used>
Measure interest and engagement in the services;,Measure interest and engagement in the services;,100.0,1595,sub,Measure interest and engagement in the services;,48,<first>,<how-used>
Develop of new products and services;,Develop of new products and services;,100.0,1644,sub,Develop of new products and services;,37,<first>,<how-used>
Improve our products and Services;,Improve our products and Services;,100.0,1682,sub,Improve our products and Services;,34,<first>,<how-used>
Ensure internal quality control and safety;,Ensure internal quality control and safety;,100.0,1717,sub,Ensure internal quality control and safety;,43,<first>,<how-used>
Verify individual identity;,Verify individual identity;,100.0,1761,sub,Verify individual identity;,27,<first>,<how-used>
Carry out audits;,Carry out audits;,100.0,1789,sub,Carry out audits;,17,<first>,<how-used>
Communicate with you about activities on the Services and changes to our agreements;,Communicate with you about activities on the Services and changes to our agreements;,100.0,1807,sub,Communicate with you about activities on the Services and changes to our agreements;,84,<first>,<how-used>
Prevent and prosecute potentially prohibited or illegal activities;,Prevent and prosecute potentially prohibited or illegal activities;,100.0,1892,sub,Prevent and prosecute potentially prohibited or illegal activities;,67,<first>,<how-used>
Enforce our agreements; and,Enforce our agreements; and,100.0,1960,sub,Enforce our agreements; and ,28,<first>,<how-used>
Comply with our legal obligations.,Comply with our legal obligations.,100.0,1988,sub,Comply with our legal obligations.,34,<first>,<how-used>
What information do we share with Third Parties？,What information do we share with Third Parties？,100.0,2023,main,What information do we share with Third Parties？We may share the information that we have collected from you as described below:,128,<third>,<error>
Information Shared with Our Advertising Partners.,Information Shared with Our Advertising Partners.,100.0,2153,sub,Information Shared with Our Advertising Partners.,49,<third>,<how-gathered>
