decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Concur Technologies Processor Privacy Statement - SAP ConcurSkip to main contentAmericasUnited States (English)Canada (English)Canada (Français)México (Español)Brasil (Português)Argentina (Español)Colombia (Español)Chile (Español)Peru (Español)Middle East and AfricaSouth Africa (English)United Arab Emirates (English)EuropeUnited Kingdom (English)France (Français)Deutschland (Deutsch)Italia (Italiano)Nederlands (English)Sweden (English)Denmark (English)Finland (English)Belgium (English)España (Español),506,<error>,<error>
,,-1.0,0,,Norway (English)Asia PacificAustralia (English)中国（简体中文)Hong Kong SAR of China (English)India (English)日本（日本語)대한민국 (한국어)Singapore (English)中國台灣 (繁體中文)Try for freeLoginPRODUCTSExpense productsConcur ExpenseBudgetCompany Bill StatementsBank Card FeedsConcur DetectConcur Benefits AssuranceConcur Event ManagementConcur RequestConcur Tax AssuranceDriveExpenseItIntelligent AuditVerifyAll productsTravel productsConcur TravelBudgetConcur Event ManagementConcur RequestConcur TripLinkAll productsInvoice products,506,<error>,<error>
,,-1.0,0,,Concur InvoiceInvoice CapturePayment providersPayment solutionsPurchase RequestThree-Way MatchAll productsData insightsAnalyticsBudgetConsultative IntelligenceIntelligenceAll productsSupport offeringsConcur Advanced CareConcur Essential CareConcur Select CareConcur User AssistantManaged Rate AdministrationUser Support DeskAll productsIntegrationsLearn about integrationsSAPADPConcur TripLinkInvoice integrationsNetSuitePartnerQuickBooksXeroApp centerAll productsTMC productsConcur CompleatTMC solutions,504,<error>,<error>
,,-1.0,0,,Traveler self-serviceTravPay HotelTrip ApprovalAll productsAll productsTry for freeSOLUTIONSBy business needSustainable travelBusiness expansionCompliance and riskConcur Benefits AssuranceConcur Tax AssuranceControl company costsDuty of careEmployee experienceFraudGrowthIntelligent Spend ManagementTravel and expenseTravel in ChinaAll solutionsBy industryEducationEnergy & utilitiesFinancial servicesGovernmentGovernment contractingHealthcareLegal/professional servicesLife sciencesManufacturingNon profits,507,<error>,<error>
,,-1.0,0,,"Oil, mine, and gasState & local governmentsTechnology companiesAll solutionsBy roleEnterprise finance leaderHR leaderIT leaderSmall business finance leaderTravel managerAll solutionsFor small businessConcur ExpenseConcur InvoiceConcur TravelGetting startedPremium AssistantService AssistantAll solutionsIntelligent spend managementTravel and ExpenseAll solutionsREQUEST PRICINGABOUT USAbout SAP ConcurCareersLocationsReviewsCONTACT SALESRESOURCESResource centerBlogApp centerCase studiesCustomer experienceEvents",512,<error>,<error>
,,-1.0,0,,"Mobile appsPartnersSAP Concur CommunitySupportExpense demoInvoice demoConcur Drupal Menu - MobileLoginConcur Technologies, Inc. Processor Privacy Statement",155,<error>,<error>
Concur Processor Privacy Statement,Concur Processor Privacy Statement,100.0,2866,main,"Concur Processor Privacy StatementLast Updated: March 1st, 2018Français–Deutsch–Italiano",88,<generic>,<error>
Concur Processor Privacy Statement,Concur Processor Privacy Statement,100.0,2866,main,"This privacy statement provides an overview of how Concur Technologies, Inc. and its related corporate affiliates collect, use, store and otherwise process information about you, as well as your choices, as you use Concur business applications like Concur Travel, Expense, or Invoice (""Concur Services"") for which your company, institution or other providing entity (""Company"") has subscribed.  This privacy statement does not cover the use of data by Concur outside of the Concur Services.  See Concur's Privacy Policy at",522,<generic>,<error>
Concur Processor Privacy Statement,Concur Processor Privacy Statement,100.0,2866,main,https://www.concur.com/en-us/privacy-policyconcerning information collected for sales and marketing purposes and Concur's public-facing corporate and marketing websites.,169,<generic>,<error>
Concur Processor Privacy Statement,Concur Processor Privacy Statement,100.0,2866,main,"Your Company may have subscribed to the Concur Services either directly with Concur or indirectly via an authorized reseller of the Concur Services.  This privacy statement does not change any terms of a business agreement with your Company or between your Company and a reseller, as applicable, but is simply intended to provide additional information to you regarding the Concur Services.  Your Company is regarded as a data controller within the meaning of applicable data protection laws, and Concur's processing of such data for the Concur Services is under the direction of your Company, directly or indirectly as applicable.  You should direct any questions about how data about you is used as part of the Concur Services to your Company.",745,<generic>,<error>
