decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyPrivacy PolicyMonday 25 February 2019Dragster Production (We, Us, Our) prioritise and respects the privacy for app users. We take user privacy seriously therefore, this privacy statement hereinafter developed for app users. This policy explains all aspects about how we collect, use and protect information about utilisation and retention of data.",361,<error>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,Please take a few moments to read this privacy statement for your understanding that by installing and giving permissions to use this app services means you are using app services with your consent to the terms and conditions of this privacy policy.,249,<error>,<error>
Terms & Conditions,Terms & Conditions,100.0,615,main,Terms & ConditionsFollowing Terms & Conditions are explained about what information we get and why:,99,<error>,<error>
PERSONAL INFORMATION:,PERSONAL INFORMATION:,100.0,716,main,PERSONAL INFORMATION:,21,<generic>,<error>
Personal data means information through which a person is identifiable;,Personal data means information through which a person is identifiable;,100.0,738,sub,Personal data means information through which a person is identifiable; ,72,<error>,<error>
We do not collect retain or share such information.,we do not collect retain or share such information.,100.0,810,sub,we do not collect retain or share such information.Our app only access required information after user permission for proper functionality of app. This information is only used by this app to provide better user experience on content for user engagement.,254,<error>,<error>
NON PERSONAL DATA,NON PERSONAL DATA,100.0,1066,main,NON PERSONAL DATA,17,<generic>,<error>
Dragster Production may collect non personal information to use in following circumstances:,Dragster Production may collect non personal information to use in following circumstances:,100.0,1084,sub,Dragster Production may collect non personal information to use in following circumstances:,91,<error>,<error>
"In order to have a better understanding for user behaviour, to resolve issues and problems in this app services, to improve this app, services and for advertisements.","In order to have a better understanding for user behaviour, to resolve issues and problems in this app services, to improve this app, services and for advertisements.",100.0,1176,sub,"In order to have a better understanding for user behaviour, to resolve issues and problems in this app services, to improve this app, services and for advertisements.Non personal information data requirements may include detail about installed application name and package name, the data of installed apps, frequency of the usage, country location, tools and station.",367,<first>,<error>
NO LOGIN INFORMATION,NO LOGIN INFORMATION,100.0,1545,main,"NO LOGIN INFORMATIONWe do not collect, upload or share information like app user name, date of birth or passwords through this app.",131,<generic>,<error>
SECURITY OF INFORMATION,SECURITY OF INFORMATION,100.0,1678,main,SECURITY OF INFORMATION,23,<error>,<error>
We are committed to secure all information of app users.,We are committed to secure all information of app users.,100.0,1702,sub,We are committed to secure all information of app users. ,57,<error>,<error>
Thus we strive continuously to use commercially acceptable measures to protect and secure it.,Thus we strive continuously to use commercially acceptable measures to protect and secure it.,100.0,1759,sub,Thus we strive continuously to use commercially acceptable measures to protect and secure it. Keep in consideration that all information is not fully secure over the internet. We therefore suggest not to share your personal information unless it is necessarily required to fulfil your own personal purposes.,307,<security>,<error>
THIRD PARTY TERMS,THIRD PARTY TERMS,100.0,2067,main,THIRD PARTY TERMS,17,<third>,<error>
We are not directly associated to any third party.,We are not directly associated to any third party.,100.0,2085,sub,We are not directly associated to any third party. ,51,<error>,<error>
We never share partial or whole information to any third party through which you can be identified personally.,We never share partial or whole information to any third party through which you can be identified personally.,100.0,2136,sub,"We never share partial or whole information to any third party through which you can be identified personally.Functions of this app are designed for app user’s personal purpose only. While a user uses app, we do not access collect or share personal information to third parties.",278,<third>,<error>
ADVERTISING,ADVERTISING,100.0,2416,main,ADVERTISING,11,<third>,<error>
