decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Apollo Apps - Developing Apps For VideosHomeAppsFeaturesContact,63,<error>,<error>
APOLLO PRIVACY NOTICE,APOLLO PRIVACY NOTICE,100.0,68,main,"APOLLO PRIVACY NOTICELast Updated:            July 27, 2023Apollo Apps, LLC, a            Georgia limited liability company (â€œApollo,â€ â€œwe,â€ â€œus,â€ and â€œourâ€), provides            this privacy notice (â€œPrivacy Noticeâ€) to explain how we or others collect,            use, store, and share information about individuals in two different contexts            (we refer to such individualsÂ  as â€œyou,â€ â€œyour,â€ and â€œyourselfâ€): (1) visitors            to this website located at",504,<generic>,<error>
APOLLO PRIVACY NOTICE,APOLLO PRIVACY NOTICE,100.0,68,main,"apolloapps.ioand any other website on which this Privacy Notice is allowed to            be posted or linked (such individuals, â€œVisitorsâ€, and such websites            collectively, the â€œSiteâ€); and (2) End Users of Apolloâ€™s owned and operated            mobile applications (â€œApollo Appsâ€ or â€œAppsâ€).Â  This Privacy Notice also            explains how we enable certain third parties to collect information directly",435,<generic>,<error>
APOLLO PRIVACY NOTICE,APOLLO PRIVACY NOTICE,100.0,68,main,"            from End Users of our Apps, as well as certain choices you may have regarding            how we use information about you and rights you may have to access or correct            such information.If you are located in            the European Economic Area (EEA), Switzerland or the United Kingdom and would            like to review your rights under the EU GDPR or the UK GDPR (collectively            referred to in this Privacy Notice as the â€œGDPRâ€), please go toSection 5",490,<generic>,<error>
APOLLO PRIVACY NOTICE,APOLLO PRIVACY NOTICE,100.0,68,main,"of this Privacy Notice. If you are a resident of California or Virginia, or certain other states,            you may review your rights under your state laws atSection 7of            this Privacy Notice.Below, we explain            certain terms that we will use in this Privacy Notice that may make it easier            to understand:â—SDKorSoftware            Development Kit: An SDK is a block of computer code owned by certain Third",437,<generic>,<error>
APOLLO PRIVACY NOTICE,APOLLO PRIVACY NOTICE,100.0,68,main,"            Party Data Collectors that we can integrate with our apps to enable those Third            Party Data Collectors to collect certain data, which is often useful to the            mobile advertising and other data industries.â—Third Party            Data Collector:Â  A third party that (1) owns or operates an SDK that is            integrated with one or more Apollo Apps and (2) directly collects information            from End Users of the Apps through integration of such SDK.â—Visitors",504,<generic>,<error>
APOLLO PRIVACY NOTICE,APOLLO PRIVACY NOTICE,100.0,68,main,": Individuals            who visit or use our Site.â—End Users: Individuals            who download and use one or more of the Apollo Apps on their Device.â—Devices:            Internet-connected mobile devices such as Apple iPhones that use iOS or Samsung            Galaxy devices that use Googleâ€™s Android OS.â—Apollo AppsorApps:            Mobile applications owned and operated by Apollo, includingWiseplay,            Wiseplay X, Dimplay, Getvidfy, and Liftplay.â—Advertising ID: A unique",500,<generic>,<error>
APOLLO PRIVACY NOTICE,APOLLO PRIVACY NOTICE,100.0,68,main,            alphanumeric string randomly assigned by operating system manufacturers to each            Device. Advertisers may use this ID to serve your Device more personalized            advertising.Â  Examples of Advertising IDs include iOS IDFAs and Android            Advertising IDs.â—Installation ID: A unique                alphanumeric string randomly assigned by certain Apps to a Device                but which is not used for advertising purposes.â—App Tracking,476,<generic>,<error>
APOLLO PRIVACY NOTICE,APOLLO PRIVACY NOTICE,100.0,68,main,            Transparency/Opt-Out of Interest Based Ads: Features on iOS or            Android Devices that allows users to disable or limit the Appsâ€™ ability to            access the Advertising ID on your Device.1. ,218,<generic>,<error>
Summary: Who is Apollo?,Summary: Who is Apollo?,100.0,3717,main,"Summary: Who is Apollo?Apolloâ€™s primary            business is the ownership and operation of mobile applications.Â  We also            maintain websites related to the mobile applications that we offer.Â  As            described further below, we typically do not collect any personal information            from End Users of the Apollo Apps, but we do facilitate collection of such            informationby Third Party            Data Collectors.Â  Additionally, we may collect certain personal information",510,<generic>,<other>
Summary: Who is Apollo?,Summary: Who is Apollo?,100.0,3717,main,            that Visitors to our Site may choose to provide.2. ,63,<generic>,<other>
Information Collection,Information Collection,100.0,4300,main,"Information CollectionA. Information            We Collect Through Our AppsWe do not directly            collect personal information from End Users of our Apps.Â  However, we may            collect or receive certain aggregated, deidentified, or anonymous data related            to usage of our Apps, primarily for the purpose of troubleshooting problems,            reviewing how our Apps are being used by End Users, and other analytical or",444,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"            internal purposes.Â  A full description of our use of this data can be found inSection 4below.Â  Additionally, we enable certain third party vendors to            collect aggregated, deidentified, or anonymous information regarding usage of            our Apps for the purpose of providing analytic reports to us, e.g., regarding            the frequency and cause of one or more Apps crashing.B. Information            Third Party Data Collectors Collect Through Our AppsWe allow certain,",501,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"            authorized Third Party Data Collectors to collect data (including personal            information) directly from End Users of our Apps, via integration of these            third partiesâ€™ SDKs into the Apps.Â  (In other words, we facilitate the Third            Party Data Collectorâ€™s collection of certain information from you, but we do            not receive or have access to the information they collect.)Â  When you use an",443,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"            Apollo App that has integrated with a third party SDK (whether you are actively            using the App or allowing it to run in the background), the Third Party Data            Collector can collect information through or about your Device.Â  The            information that may be collected by Third Party Data Collectors includes some            or all of the data elements listed below.Â  However, you should visit each Third",442,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"            Party Data Collectorâ€™s privacy policy for complete details on what information            they collect and how they use such information.Â  Please see Section 2.C for            instructions on how to access such privacy policies.a.Precise            Location Information:â–Specific            geolocation of the Device, usually described by latitude-longitude coordinates            compiled through GPS features of the SDK, WiFi connection information, cell",473,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"            tower triangulation and other methods.â–Dwell time            within or in proximity to points of interest (i.e., the length of time            your Device stayed at one place).â–Altitude,            bearing, and speed.b.Relative            Location Information:â–Bluetooth            Low-Energy (BLE) sensors, or beacons,â–Information            obtained from the Internet of Things (IoT) devices.â–Near-field            Communication (NFC)â–Certain third",468,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"            party SDKs may be capable of receiving signals from each of the above            technologies that indicate the proximity of a Device. For example, certain            brick-and-mortar stores use beacons that sense when a Bluetooth-enabled Device            is in proximity to the beacon (i.e., when a Device user enters the            store). Retail locations, sports arenas, restaurants, museums and other similar            businesses may also use beacons.c.Advertising IDs or Installation IDsd.",509,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"Timestamps            (that may include time and date)e.Device Event            Information:â–App or system            crashesâ–System crashesâ–Device settingsf.Device Usage            Informationâ–Type of device            (e.g., Samsung Galaxy S21)â–Operating            system (OS) information (e.g., iOS 14.5)â–System settings            (e.g., enabled/disabled status for Location Services)â–Time zoneâ–Mobile carrierâ–IP addressâ–Names and/or",448,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"            identifiers for Apps on your Device integrated with SDKâ–User agent (i.e.,            a characteristic string that lets servers and network peers identify the            application, operating system, vendor, and/or version of the Device)g.Network            Informationâ–VPN statusâ–Network            protocols employedâ–Device            connectivity information (e.g., how a device connects to a network) and            signal strengthâ–Network information such as mobile network code and mobile",511,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"            country codeC. How Third Party Data Collectors Use Information Collected            Through Our AppsThe Third Party Data            Collectors who collect information through our Apps may use such information in            the manner set forth in their respective privacy policies.Â  Generally, these            Third Party Data Collectors may use information collected from or about End            Users or Devices to (a) to customize and measure ads in apps and other",481,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"            advertising; (b) for app and user analytics; (c) for disease prevention and            cybersecurity; (d) for market, civic or other research regarding aggregated            human foot and traffic patterns; and (e) to generate proprietary pseudonymized            identifiers tied to the information collected for the above purposes.ÂWe contractually            prohibit Third Party Data Collectors from using or selling any of the SDK Data:(i)for any unlawful tracking or unlawful surveillance;(ii)",511,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"collected from or about End Users or Devices located in the US,            EEA, or UK to law enforcement agencies or to any governmental agency, to be            used for a law enforcement purpose, except to the extent strictly necessary            (and then redacted to the greatest extent possible) to comply with a judicial            or other governmental order;(ii)Â Â Â Â Â Â  to promote            any illegal product or engage in any illegal purpose; to associate any End",479,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"            User, Device or individual to create profiles or inferences related to social            networks, health status or ailments, sexual orientation or activity, political activity            or beliefs, or religious convictions;(iii)to associate any End User, Device or individual with any venue            that is related to medical care, substance abuse or rehabilitation, mental            health, family planning or pregnancy (or pregnancy termination);(iv)",470,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"for purposes related to political campaigns or fundraising;Â(v)to make decisions about any individualâ€™s eligibility for            employment, health care, credit or insurance, or for any other purpose that is            covered by the Fair Credit Reporting Act; or(v)in a manner that violates applicable laws or any privacy policy            posted by the Third Party Data Collector.For more            information regarding how Third Party Data Collectors use and share information",485,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"            collected via our Apps, please review each third partyâ€™s privacy policy, available            at the links below:â—Outlogic:Âhttps://outlogic.io/privacy-policy/â—Umlaut: Âhttps://tacs.c0nnectthed0ts.com/policy1/data_privacy.htmlâ—Opensignal:Âhttps://www.opensignal.com/privacypolicy-for-crowdsourcedataâ—Google:Âhttps://policies.google.com/privacyâ—Wortise:Âhttps://wortise.com/politica-de-privacidad/D. Information Apollo Collects from Site            VisitorsVisitors can generally",502,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"            browse our Site without submitting any information.Â  However, Visitors may            choose to submit information via a â€œContact Usâ€ form, through our support email            addresses (includingsupport@apolloapps.ioandprivacy@apolloapps.io), or other            voluntary means (such as submission of a request to exercise rights under            applicable privacy laws).Â  We only collect the information that Visitors choose",447,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"            to provide.Â  Please see Section 2.E below for a description of how we use such            information.E. How We Use Information We            Collect From Visitors to this Site or End Users of the AppsWe may use information            we collect about Visitors to our Site or End Users of our Apps for our            corporate and internal purposes, including:To improve, maintain and operate                 our existing Site and Apps and develop new ones.Â  For example, we may",492,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"                 review how you use or Site or Apps and use that information to                 troubleshoot issues and adjust things to improve your experience.To communicate with Visitors,                 including to offer Visitor support for the Site. For example, we may use                 your personal information solely for purposes of replying to your                 questions when you use the â€œContact Usâ€ form on the Site or send us an                 email atsupport@apolloapps.io.",499,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"Market research.Direct marketing in accordance with                 applicable law.For human resource purposes.To detect, investigate, and prevent                 misuse of our Site or Apps or other illegal activities and to protect the                 rights and property of Apollo, its customers, and others.To respond                 to data subject requests.As stated previously, we only collect (1) information that            Visitors to our Site choose to provide and (2) aggregated, deidentified or",506,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"            anonymous information related to usage of our Apps (which information does not            identify an individual End User or Device).Â  We may share such information with            other parties, as follows:With Our Affiliates:â—‹In the event we            establish a subsidiary or otherwise become affiliated with another company, we            may share any information that we have collected with those entities.In Relation to Legal Proceedings or                 Process:â—‹We may share",504,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"            information we have collected when we have a legal obligation to do so. This            may include compliance with a binding court order, exercising, establishing or            defending Apolloâ€™s legal rights, or those of our customers or any other third            party, or in good faith to comply with the requirements of any applicable law            or legal process.â—‹Similarly, we            may disclose any information we have collected as required to respond in good",492,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"            faith to legal process, including subpoenas (whether civil or criminal), court            orders or search warrants.To Investigate Malfeasance and to                 Defend Ourselves or Third Parties:â—‹We may share            information to assist us in enforcing our legal rights, our Terms of Service,            or other policies as applicable, or to investigate any potential violation of            the same. We may also share information to investigate any potential violations",496,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,"            of the law, to defend ourselves, our customers, or any third party from any            potential harm (whether tangible or intangible).In Relation to a Corporate                 Transaction:â—‹If a third party seeks to acquire or actually acquires our            business or assets in whole or in part, we may disclose information we have            collected in connection to that transaction (including, without limitation,",437,<first>,<error>
Information Collection,Information Collection,100.0,4300,main,            during due diligence that may be undertaken in advance of possible sales).The Third Party Data Collectors who            collect information through our Apps may share the information as described in            their own privacy policies.Â  Please see Section 2.C for instructions on how to            access such privacy policies.F. User Choices & Opt-Out ToolsYou can manage the way            that we and third parties use information collected from or about you as            described below:,508,<first>,<error>
