decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy PolicyPrivacy Policy,28,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"This Privacy Policy (hereinafter referred to as â€œPolicyâ€) is aimed at assisting you to understand the privacy details about how KUTO GROUP CO., LTD.(â€œKUTOâ€, â€œWeâ€, â€œusâ€ or â€œourâ€) manage your Personal Information that you provide to KUTO when you are using KUTO products or services, including how KUTO collect, process and transmit your Personal Information, etc. Personal Information referred to in this Policy means all your data that KUTO acquires when you browse KUTO website and use KUTO products or services. Personal Data mentioned in this Policy refers to the Personal Information that can be used to identify an individual on its own or in combination with other information. This Policy applies to KUTO websites, products, and services that display or provide links to this Policy. Once you use KUTO products or services, you shall be deemed to have read, agreed and accepted all terms and conditions stated in this Policy as well as all the changes we have made at any time. KUTO respects and protects your personal privacy, please read carefully and understand this Policy before providing your Personal Information to KUTO or allowing KUTO to collect your Personal Information.",1209,<generic>,<error>
1. How KUTO collects your Personal Information,1. How KUTO collects your Personal Information,100.0,1240,main,"1. How KUTO collects your Personal InformationIn order to provide services to you or to better provide our services to you, we will acquire your Personal Information by the following ways no matter whether it is the Personal Data prescribed in this Policy or not:",263,<generic>,<error>
1.1 Personal Information you provide to KUTO when you surfer KUTO website and use KUTO products or services,1.1	Personal Information you provide to KUTO when you surfer KUTO website and use KUTO products or services,99.06542056074767,1505,sub,"1.1	Personal Information you provide to KUTO when you surfer KUTO website and use KUTO products or servicesFor example, 1) The Personal Information that you submitted to set up and generate a personal account before using KUTO services or products; and 2) The Personal Information that you provide to KUTO to contact you for after-sales support or interaction in forum.",369,<error>,<error>
"1.2 Information you provide to KUTO when you send us a query, suggestion, or request","1.2 Information you provide to KUTO when you send us a query, suggestion, or request",100.0,1876,sub,"1.2 Information you provide to KUTO when you send us a query, suggestion, or requestFor example, after providing your Personal Data to KUTO, you may want to know how we use and process your Personal Data and whether we disclose your Personal Data to third parties or not, or you may contact us to request deletion of your Personal Data.",336,<error>,<error>
1.3 Service-related information collected by KUTO devices,1.3 Service-related information collected by KUTO devices,100.0,2214,sub,"1.3 Service-related information collected by KUTO devicesFor example, 1) we may collect necessary information to activate your after-sales service, software access, and forum interaction when you use KUTO devices; and 2) we may collect logs generated by abnormal operation of the devices and information on usersâ€™ habit to optimize product experience during your use of KUTO devices.",385,<error>,<error>
1.4 Personal Information collected when you use third partyâ€™s services or applications,1.4 Personal Information collected when you use third partyâ€™s services or applications,100.0,2601,sub,"1.4 Personal Information collected when you use third partyâ€™s services or applicationsAs permitted by law, we may collect your Personal Information from third partyâ€™s social networking services when you use them.",216,<error>,<error>
2. Types of Personal Information that may be collected by KUTO,2. Types of Personal Information that may be collected by KUTO,100.0,2819,main,"2. Types of Personal Information that may be collected by KUTOi. Device information: including but not limited to device model, WIFI MAC address, PLMN, version of android system, version of software and network operator.",220,<first>,<error>
ii. Device operation status and logs of operation,ii. Device operation status and logs of operation,100.0,3041,sub,"ii. Device operation status and logs of operation: including but not limited to CPU load, storage status, device temperature, battery capacity, mobile data traffic/speed, signal intensity of mobile network, information of daemon.",229,<error>,<error>
iii. Product information,iii. Product information,100.0,3271,sub,"iii. Product information: such as userâ€™s feedback, third partyâ€™s applications installed on the phone, etc.When we process your Personal Data based on this Privacy Policy or applicable laws, KUTO entity who makes contact with you, or replies to your request is the controller of your Personal Data.",301,<error>,<error>
3. How KUTO use your Personal Information,3. How KUTO use your Personal Information,100.0,3574,main,3. How KUTO use your Personal InformationKUTO shall comply with applicable legal requirements when using your Personal Information. Such requirements generally include:,168,<generic>,<error>
i. Processing of Personal Data on the basis of your consent with regard to a specific purpose,i. Processing of Personal Data on the basis of your consent with regard to a specific purpose,100.0,3744,sub,i. Processing of Personal Data on the basis of your consent with regard to a specific purpose;,94,<error>,<error>
ii. Processing of your Personal Data for the fulfillment of legal obligations,ii. Processing of your Personal Data for the fulfillment of legal obligations,100.0,3839,sub,ii. Processing of your Personal Data for the fulfillment of legal obligations;,78,<error>,<error>
"iii. Data processing that is necessary for the performance of a contract you have entered into, or measures KUTO shall take at your request prior to entering into a contract","iii. Data processing that is necessary for the performance of a contract you have entered into, or measures KUTO shall take at your request prior to entering into a contract",100.0,3918,sub,"iii. Data processing that is necessary for the performance of a contract you have entered into, or measures KUTO shall take at your request prior to entering into a contract;",174,<error>,<error>
iv. Data processing carried out for the legitimate interests pursued by KUTO or a third party,iv. Data processing carried out for the legitimate interests pursued by KUTO or a third party,100.0,4093,sub,"iv. Data processing carried out for the legitimate interests pursued by KUTO or a third party. Such legitimate interests include: 1) safety of KUTO products, services, websites and its customers; 2) KUTO's property and honorary rights and interests, including fixed assets, intangible assets, goodwill, etc; 3) KUTO's internal management needs; 4) KUTO's provision of products or services to users or better provision of products or services to users; 5) other legitimate interests of KUTO or of a third party;",510,<error>,<error>
v. Data processing that is necessary for protecting the vital interests of the data subject or of another natural person,v. Data processing that is necessary for protecting the vital interests of the data subject or of another natural person,100.0,4604,sub,v. Data processing that is necessary for protecting the vital interests of the data subject or of another natural person;,121,<error>,<error>
vi. Data processing carried out for the performance of a task related to the public interest,vi. Data processing carried out for the performance of a task related to the public interest,100.0,4726,sub,"vi. Data processing carried out for the performance of a task related to the public interest;We may use your Personal Information for the following purposes:		i. Provide you with registration service and account management service.ii. Analyze your usage information, habits and preference to improve user experience.iii. Provide information which may interest you with your permission.iv. Provide good after sales service for you.v. Carry out macro customer survey and analyze our market share.",494,<error>,<error>
vi. Data processing carried out for the performance of a task related to the public interest,vi. Data processing carried out for the performance of a task related to the public interest,100.0,4726,sub,"vi. Feedback error report, locate quickly to solve abnormal issues.vii. Optimize performance of the device and improve functions design to provide better products and services for you.viii. Provide convenience for your information backup.ix. Preference configuration to provide the better use experience and improve the quality of the service.",343,<error>,<error>
4. How KUTO disclose your Personal Information,4. How KUTO disclose your Personal Information,100.0,5574,main,"4. How KUTO disclose your Personal InformationUnder the relevant applicable laws, KUTO may disclose your Personal Information under the following situations:",157,<third>,<error>
i. KUTO may share your Personal Information within its internal group,i. KUTO may share your Personal Information within its internal group,100.0,5733,sub,i. KUTO may share your Personal Information within its internal group.,70,<error>,<error>
ii. KUTO may share your Personal Information with reliable partners or service providers,ii. KUTO may share your Personal Information with reliable partners or service providers,100.0,5804,sub,"ii. KUTO may share your Personal Information with reliable partners or service providers. For example, when our partner is providing a service, KUTO may share with the partner the necessary information, such as device identification code, to provide you with better service. Or when you buy KUTO products on-line, KUTO may provide your relevant Personal Information to logistics service provider to arrange product delivery.",424,<error>,<error>
iii. Disclose your Personal Information if required by law,iii. Disclose your Personal Information if required by law,100.0,6229,sub,"iii. Disclose your Personal Information if required by law. In order to execute or to assist in executing some legal or administrative procedures, KUTO may provide your Personal Information to the relevant law enforcement agencies or government sectors.",253,<error>,<error>
iv. KUTO may disclose your Personal Information under other circumstances where such disclosure is required for universal justice as deemed by KUTO,iv. KUTO may disclose your Personal Information under other circumstances where such disclosure is required for universal justice as deemed by KUTO,100.0,6483,sub,iv. KUTO may disclose your Personal Information under other circumstances where such disclosure is required for universal justice as deemed by KUTO. Such circumstances include the disclosure to prevent personal injury or death or to avoid significant property losses or to protect social public interest.,304,<error>,<error>
5. Cross-border transfer of your Personal Information,5. Cross-border transfer of your Personal Information,100.0,6788,main,"5. Cross-border transfer of your Personal InformationIn order to provide better services for you, KUTO may transfer your Personal Information to third countries for storing and processing, or your Personal Information may be accessed by other third countries. Privacy laws may vary among these countries, and we will take appropriate measures to process the Personal Information in accordance with the laws where the Personal Information is located.",449,<generic>,<error>
"6. How to access, modify and delete your Personal Data","6. How to access, modify and delete your Personal Data",100.0,7239,main,"6. How to access, modify and delete your Personal DataAs the user of the products or services, you are obliged to ensure the completeness and accuracy of the Personal Data you provided and carefully keep your Personal Data safe. We will protect and update your Personal Data on time and try our best to ensure your normal use of the products and services.In accordance with your rights under relevant applicable law, you may exercise: ",435,<generic>,<error>
1) right of access,1) right of access,100.0,7676,sub,"1) right of access, i.e. the right to have access to your Personal Data held by KUTO and to know whether Personal Data concerning him or her are being processed or not; ",169,<error>,<error>
2) right to rectification,2) right to rectification,100.0,7845,sub,"2) right to rectification, i.e. the right to request rectification of the inaccurate Personal Data we hold concerning you; ",123,<error>,<error>
3) right to erasure,3) right to erasure,100.0,7968,sub,"3) right to erasure, i.e. the right to request us to erasure of the Personal Data concerning you; ",98,<error>,<error>
4) right to restriction of processing,4) right to restriction of processing,100.0,8066,sub,"4) right to restriction of processing, i.e. the right to restrict our processing of your Personal Data; ",104,<error>,<error>
5) right to object,5) right to object,100.0,8170,sub,"5) right to object, i.e. the right to object to our processing of your Personal Data; ",86,<error>,<error>
6) right to data portability,6) right to data portability,100.0,8256,sub,"6) right to data portability, i.e. the right to request us, where technically feasible, to have your Personal Data transmitted to another data controller. To request exercising your rights under the applicable law, please fill out the form attached to this Policy and send to us via email at[email protected]We will reply to you in time.",337,<error>,<error>
6) right to data portability,6) right to data portability,100.0,8256,sub,"While you are exercising your rights under the applicable law, we may investigate the legality and rationality of your request. If we have reasonable grounds or suspect that your request is deceptive, repetitive or infringes upon the rights and freedom of third parties, or if we are unable to get through the investigation, we may ask you to provide further information or may refuse to process your request. You may send your request in written form in order to protect your legitimate rights and interests. After receiving your request, we will process within the period of time as prescribed by applicable law. If you consider that we are in violation of applicable law and have infringed your legitimate rights, you may file a complaint with the authority for the protection of Personal Data in order to resolve the issue.",827,<error>,<error>
7. Security measures KUTO take to protect your Personal Information,7. Security measures KUTO take to protect your Personal Information,100.0,9424,main,"7. Security measures KUTO take to protect your Personal InformationWe will provide security measures to KUTO users. We will take reasonable and practicable measures to protect your Personal Data that we collected and prevent your Personal Data from being accessed, tampered, disclosed or destroyed by unauthorized third parties. For example, when you access KUTO account, we have user validation procedure or password retrieve procedure to ensure the security of your account.",476,<security>,<error>
7. Security measures KUTO take to protect your Personal Information,7. Security measures KUTO take to protect your Personal Information,100.0,9424,main,"In the matter of the storage of Personal Data, we have provided security measures to you as well. All your Personal Data will be stored in the secure server, and we will control and protect all the Personal Data. We will determine the storage period of your Personal Data in accordance with the terms and conditions of applicable law. From the perspective of protecting you and your privacy right to the maximum extent, except as otherwise compulsorily stated by law, we will limit the period for which your Personal Data is stored to a strict minimum degree provided that it satisfies the data processing purposes prescribed in this Policy. Our criteria for how long we keep Personal Data mainly include the following two points: 1) time needed to store Personal Data for completing the relevant business; 2) terms and conditions of applicable law. In addition, there are duties of confidentiality in the contract signed between KUTO and its partners. If a partner breaches the confidentiality obligation in the contract and brings about losses to the obligee, KUTO will impose legal liabilities on the partner and terminate the business relationship with the partner.",1169,<security>,<error>
7. Security measures KUTO take to protect your Personal Information,7. Security measures KUTO take to protect your Personal Information,100.0,9424,main,"There is no absolutely safe website, Internet transmission, computer system and wireless connections. Except the necessary protective measures we have taken, users have to strengthen the awareness of privacy security risks. For example, when skipping to third party websites, links, products or services through our services, please carefully read through the terms and conditions or privacy policies of such websites, links, products or services regarding the security of the data and information collected by them. KUTO shall not be liable for any actions you make thereof. If you find certain contents, advertisements, or functions in our website, products or services that may be possibly provided by third parties, and may possibly endanger your privacy and security, please contact KUTO at",795,<security>,<error>
