decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Privacy StatementPRIVACY POLICYThis Privacy Policy explains what personal data is collected when you use the jiji.co.ke any jiji.co.ke mobile application (“Jiji”) and the services provided through it (together the “Service”), how such personal data will be used, shared.",270,<error>,<error>
,,-1.0,0,,"BY USING THE SERVICE, YOU PROMISE US THAT (I) YOU HAVE READ, UNDERSTAND AND AGREE TO THIS PRIVACY POLICY, AND (II) YOU ARE OVER 16 YEARS OF AGE (OR HAVE HAD YOUR PARENT OR GUARDIAN READ AND AGREE TO THIS PRIVACY POLICY FOR YOU). If you do not agree, or are unable to make this promise, you must not use the Service. In such case, you must contact the support team via email to request deletion of your account and data.“Process”, in respect of personal data, includes to collect, store, and disclose to others.",510,<error>,<error>
,,-1.0,0,,TABLE OF CONTENTS1. ,20,<error>,<error>
PERSONAL DATA CONTROLLER,PERSONAL DATA CONTROLLER,100.0,812,main,PERSONAL DATA CONTROLLER2. ,27,<generic>,<error>
CATEGORIES OF PERSONAL DATA WE COLLECT,CATEGORIES OF PERSONAL DATA WE COLLECT,100.0,840,main,CATEGORIES OF PERSONAL DATA WE COLLECT3. FOR WHAT PURPOSES WE PROCESS PERSONAL DATA4. AUTHORISED REQUIREMENT FOR PROCESSING YOUR PERSONAL DATA5. WHO WE SHARE YOUR PERSONAL DATA WITH6. HOW YOU CAN EXERCISE YOUR PRIVACY RIGHTS7. AGE LIMITATION8. CHANGES TO THIS PRIVACY POLICY9. DATA RETENTION10. CONTACT US1. PERSONAL DATA CONTROLLERJiji Online Marketplace Kenya Limited,369,<generic>,<what>
CATEGORIES OF PERSONAL DATA WE COLLECT,CATEGORIES OF PERSONAL DATA WE COLLECT,100.0,840,main,", a company registered in the Republic of Kenya (with registered office at Apollo Centre, Ring Road, P.O. Box 764, 00606, Sarit Centre, Nairobi, Kenya) will be the controller of your personal data.2. CATEGORIES OF PERSONAL DATA WE COLLECTWe collect ",249,<generic>,<what>
Data you give us,data you give us,100.0,1471,sub,"data you give us voluntarily (for example, an email address). We also collect data automatically (for example, your IP address).2.1. Data you give usYou may be asked to provide us information about yourself when you register for and/or use the Service. This information includes: first name, last name, phone number, email, gender, date of birth (together “Required Information”), address details, working hours etc., as well as access to your photos, albums and their metadata.",478,<first>,<what>
Data you give us,data you give us,100.0,1471,sub,"To use our Service and register an account, you will need to provide Required Information. You will be able to use the Service even if you do not give this data to us, but some Service’s functionality may be limited to you (for example, if you do no register an account, you will not be able to chat with other users, post ads, see contact details of other users).",364,<first>,<what>
Data you give us,data you give us,100.0,1471,sub,"Sometimes you may also need to provide to us additional information in the communication with our Support Team in order to fulfill your request (for example, if your account was previously blocked, we may ask you to confirm your identity by providing an ID document).",267,<first>,<what>
Data you give us,data you give us,100.0,1471,sub,"While posting announcement, you can decide to provide additional personal information on yourself. For example, you can decide to make available your CV or any photos of you or bearing your personal information. You acknowledge that by providing your personal data in announcement you are making such data publicly available. In addition, you acknowledge and agree that we will make public some personal data from your profile to provide the Service, - it will enable us to facilitate communication and transactions between the users. In particular, you acknowledge and agree that your email will be shown as a part of your advertisement in the Seeking Work CVs section to some users with the posted advertisement in the Jobs section.",734,<first>,<what>
