decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyPrivacy PolicyInstaForex (also referred to as â€œweâ€, â€œusâ€, or â€œourâ€) has drawn up this Privacy Policy in order to describe the policies for the collection, use, and disclosure of the personal information. The security of our current and potential clientsâ€™ (also referred to as â€œyouâ€ or â€œyourâ€) personal data is very important to us. We commit to protecting the data that is collected and processed as you use our services and products.",470,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"The App is provided by InstaForex at no cost and is intended for use as is.Choosing to use our services and products, you accept the fact that we collect and use your personal information. We do so in order to be able to provide and improve our apps, products, software, and services (together referred to as â€œServicesâ€). We do not intend to share your information with anyone except for the cases as described in this Privacy Policy.",438,<generic>,<error>
Collection and Use of Personal Information,Collection and Use of Personal Information,100.0,913,main,Collection and Use of Personal Information,42,<generic>,<what>
"While using our Services, you may be required to provide us with certain personal information.","While using our Services, you may be required to provide us with certain personal information.",100.0,956,sub,"While using our Services, you may be required to provide us with certain personal information. ",95,<first>,<how-gathered>
The information that we request is retained by us and used as described in this Privacy Policy.,The information that we request is retained by us and used as described in this Privacy Policy.,100.0,1051,sub,The information that we request is retained by us and used as described in this Privacy Policy.,95,<first>,<what>
The App uses services of third-party providers that may collect information used to identify you.,The App uses services of third-party providers that may collect information used to identify you.,100.0,1147,main,The App uses services of third-party providers that may collect information used to identify you.,97,<third>,<how-used>
Links to privacy statements of the third-party service providers used by the App:,Links to privacy statements of the third-party service providers used by the App:,100.0,1245,sub,Links to privacy statements of the third-party service providers used by the App:,81,<third>,<what>
Google Play Services,Google Play Services,100.0,1327,sub,Google Play Services,20,<error>,<other>
AdMob,AdMob,100.0,1348,sub,AdMob,5,<error>,<other>
Firebase Analytics,Firebase Analytics,100.0,1354,sub,Firebase Analytics,18,<error>,<other>
Fabric,Fabric,100.0,1373,sub,Fabric,6,<error>,<other>
Crashlytics,Crashlytics,100.0,1380,sub,Crashlytics,11,<error>,<other>
Log Data,Log Data,100.0,1392,main,Log Data,8,<error>,<what>
"We want to inform you that whenever you use our Services, we collect data and information through third-party products in the event of an error in the App.","We want to inform you that whenever you use our Services, we collect data and information through third-party products in the event of an error in the App.",100.0,1401,sub,"We want to inform you that whenever you use our Services, we collect data and information through third-party products in the event of an error in the App. It is called the Log Data. ",183,<third>,<how-gathered>
"The Log Data may include information such as your device Internet Protocol (â€œIPâ€) address, device name, operating system, mobile network details, the App configuration, the time and date of your use of the Services, and other statistics.","The Log Data may include information such as your device Internet Protocol (â€œIPâ€) address, device name, operating system, mobile network details, the App configuration, the time and date of your use of the Services, and other statistics.",100.0,1584,sub,"The Log Data may include information such as your device Internet Protocol (â€œIPâ€) address, device name, operating system, mobile network details, the App configuration, the time and date of your use of the Services, and other statistics.The App that is installed on a mobile device with geographical location function enable us to receive details of your actual location including GPS data sent by the mobile device.",420,<tracking>,<what>
"The Log Data may include information such as your device Internet Protocol (â€œIPâ€) address, device name, operating system, mobile network details, the App configuration, the time and date of your use of the Services, and other statistics.","The Log Data may include information such as your device Internet Protocol (â€œIPâ€) address, device name, operating system, mobile network details, the App configuration, the time and date of your use of the Services, and other statistics.",100.0,1584,sub,"When you use the Services, we may apply the App identifiers to facilitate access to the Services, help us recognize which Services you use, customize your experience, enhance security, measure the effectiveness of our Services, and facilitate advertising. You can block certain App identifiers by changing the settings of your device.",334,<tracking>,<what>
