decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
PRIVACY POLICY,PRIVACY POLICY,100.0,0,main,"PRIVACY POLICYBaby Tiger Kid AppsPrivacy Policy For Leqing Network Technology Co., Ltd.Effective Date: Oct 1, 2021This Privacy Policy is about how Leqing Network Technology Co., Ltd. collects and uses information from people who use our Services.The word â€œServicesâ€ in this Privacy Policy means our websites and mobile apps.Leqing Network Technology Co., Ltd. is also referred to as â€œBaby Tiger,â€â€œLeqingï¼Œâ€ â€œwe,â€ â€œus,â€ and â€œourâ€ in this Privacy Policy.",477,<generic>,<error>
CHILDREN,CHILDREN,100.0,483,main,"CHILDRENSome of our Services are attractive to or intended for use by children under the age of 13, while other Services or portions of them are intended for use by persons over the age of 13. When we collect information on our Services or sections of our services that are child-directed, we do so following the principles of theChildrenâ€™s Online Privacy Protection Act (COPPA).",381,<generic>,<error>
CHILDREN,CHILDREN,100.0,483,main,"In general, we do not ask persons under the age of 13 to provide us with personally identifying information like a name, email address, telephone number, birthdate, or address.We understand the importance of providing greater privacy protections when it comes to children. Leqing does not knowingly collect or use personally identifying information from users under the age of 13, except where permitted by theChildrenâ€™s Online Privacy Protection Act (COPPA)",460,<generic>,<error>
CHILDREN,CHILDREN,100.0,483,main,". If Leqing learns that we have, without our knowledge, collected personally identifying information from a user under the age of 13, we will notify the childâ€™s parent if possible and/or delete all information relating to that child and cease to collect any more personal information from that child.",302,<generic>,<error>
WHAT INFORMATION DO WE COLLECT?,WHAT INFORMATION DO WE COLLECT?,100.0,1634,main,WHAT INFORMATION DO WE COLLECT?,31,<first>,<error>
Information That Is Collected Automatically,Information That Is Collected Automatically,100.0,1666,sub,Information That Is Collected Automatically.,44,<first>,<error>
Information That Is Collected Automatically,Information That Is Collected Automatically,100.0,1666,sub,"When our Services are used we may collect some information automatically. This helps us analyze and optimize the performance of our Services. We do not use this information to personally identify users. Information we collect automatically includes information such as user device properties, IP address, Media Access Control (â€œMACâ€) address and unique device identifier or other device identifier (â€œUDIDâ€); user device software platform and firmware; userâ€™s mobile phone carrier; userâ€™s internet service provider; the search terms used on our website; specific web pages users visit; the duration of use of our website; geographical data; and other non-personally identifying information as is reasonably required to enhance our website and other Leqing products and services.This information may be collected from all users of the Services, including children under the age of 13.",894,<first>,<error>
THIRD PARTIES THAT MAY HAVE ACCESS TO USER INFORMATION,THIRD PARTIES THAT MAY HAVE ACCESS TO USER INFORMATION,100.0,2606,main,"THIRD PARTIES THAT MAY HAVE ACCESS TO USER INFORMATIONWe work with third parties to help us make our Services operate smoothly, to help us communicate with users of our Services, to help us process and fulfill ecommerce orders, and to improve user experience. These third parties are given access to user information only as is reasonably necessary to provide their services. Here are some of the third parties we work with:",424,<third>,<error>
Google Analytics,Google Analytics,100.0,3032,sub,"Google Analytics (website analytics service), to analyze and optimize the performance of our Services. Here is information about Google Analyticsâ€™ data security safeguards:https://support.google.com/analytics/answer/6004245Here is information on how to opt out of Google Analytics or to manage your Google Analytics settings:https://tools.google.com/dlpage/gaoptout?hl=en",373,<third>,<error>
HOW WE USE USERSâ€™ INFORMATION,HOW WE USE USERSâ€™ INFORMATION,100.0,3409,main,"HOW WE USE USERSâ€™ INFORMATIONWe may collect, maintain, and use a userâ€™s information for the following purposes:",115,<first>,<error>
To respond to customer support inquiries,To respond to customer support inquiries,100.0,3526,sub,To respond to customer support inquiries.,41,<first>,<error>
For system administration purposes and for internal operations,For system administration purposes and for internal operations,100.0,3568,sub,"For system administration purposes and for internal operations (including troubleshooting, data analysis, and testing) to ensure the Services operate properly.",159,<first>,<error>
To analyse use of the Services to improve the user experience,To analyse use of the Services to improve the user experience,100.0,3728,sub,To analyse use of the Services to improve the user experience and to ensure that content is presented in the most effective manner for user devices.,148,<first>,<error>
