decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy Policy – GuidedwaysSkip to contentGuidedwaysA Beehive Innovations CompanyPrivacy Policy,95,<error>,<error>
"Our apps (iQuran, iPray and iSubha) do","Our apps (iQuran, iPray and iSubha) do",100.0,100,main,"Our apps (iQuran, iPray and iSubha) do",38,<error>,<error>
NOT,NOT,100.0,139,sub,NOT:,4,<error>,<error>
Track you,Track you,100.0,145,sub,Track you,9,<error>,<error>
Know who you are,Know who you are,100.0,155,sub,Know who you are,16,<error>,<error>
Store any personal or sensitive information,Store any personal or sensitive information,100.0,172,sub,Store any personal or sensitive information,43,<error>,<error>
Pass any personal or sensitive information to any cloud,Pass any personal or sensitive information to any cloud,100.0,216,sub,Pass any personal or sensitive information to any cloud,55,<error>,<error>
Show any adverts,Show any adverts,100.0,272,sub,Show any adverts,16,<error>,<error>
Share any details with advertisement companies,Share any details with advertisement companies,100.0,289,sub,Share any details with advertisement companies,46,<error>,<error>
Sell or buy anything remotely related to an advert,Sell or buy anything remotely related to an advert,100.0,336,sub,Sell or buy anything remotely related to an advert,50,<error>,<error>
Our apps,Our apps,100.0,387,main,Our apps,8,<error>,<error>
DO,DO,100.0,396,sub,DO:,3,<error>,<error>
Include anonymous crash reporting for streamlining bug reporting and fixing,Include anonymous crash reporting for streamlining bug reporting and fixing,100.0,401,sub,Include anonymous crash reporting for streamlining bug reporting and fixing,75,<error>,<error>
Include anonymous reporting of certain features used within the app solely for the intention of enhancing user experience in future updates,Include anonymous reporting of certain features used within the app solely for the intention of enhancing user experience in future updates,100.0,477,sub,Include anonymous reporting of certain features used within the app solely for the intention of enhancing user experience in future updatesProudly powered by WordPress,167,<first>,<error>
