decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyPrivacy PolicyEntimel Kft. built the Gravity Screen app as a Commercial app. This SERVICE is provided by Entimel Kft.  and is intended for use as is.This page is used to inform website visitors regarding our policies with the collection, use, and                    disclosure of Personal Information if anyone decided to use our Service.If you choose to use our Service, then you agree to the collection and use of information in relation",453,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"                    to this policy. The Personal Information that we collect is used for providing and improving the                    Service. We will not use or share your information with anyone except as described                    in this Privacy Policy.The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which is accessible                    at Gravity Screen unless otherwise defined in this Privacy Policy.",459,<generic>,<error>
Information Collection and Use,Information Collection and Use,100.0,923,main,Information Collection and Use,30,<generic>,<what>
"For a better experience, while using our Service, we may require you to provide us with certain personally identifiable information.","For a better experience, while using our Service, we may require you to provide us with certain
                    personally ident",84.84848484848484,954,sub,"For a better experience, while using our Service, we may require you to provide us with certain                    personally identifiable information. ",152,<first>,<why>
The information that we request is will be retained by us and used as described in this privacy policy.,The information that we request is will be retained by us and used as described in this privacy policy.,100.0,1107,sub,The information that we request is will be retained by us and used as described in this privacy policy.The app does use third party services that may collect information used to identify you.,191,<first>,<error>
Link to privacy policy of third party service providers used by the app,Link to privacy policy of third party service providers used by the app,100.0,1300,main,Link to privacy policy of third party service providers used by the app,71,<third>,<what>
Google Play Services,Google Play Services,100.0,1372,sub,Google Play Services,20,<third>,<error>
Fabric,Fabric,100.0,1393,sub,Fabric,6,<third>,<error>
Crashlytics,Crashlytics,100.0,1400,sub,Crashlytics,11,<third>,<error>
Log Data,Log Data,100.0,1412,main,Log Data,8,<retention>,<what>
"We want to inform you that whenever you use our Service, in a case of an error in the app we collect data and information (through third party products) on your phone called Log Data.","We want to inform you that whenever you use our Service, in a case of an
                    error in the app we collect data and information (through third party products) on your ph",89.07103825136612,1421,sub,"We want to inform you that whenever you use our Service, in a case of an                    error in the app we collect data and information (through third party products) on your phone                    called Log Data. ",222,<first>,<why>
"This Log Data may include information such as your device Internet Protocol (â€œIPâ€) address, device name, operating system version, the configuration of the app when utilizing our Service, the time and date of your use of the Service, and other statistics.","This Log Data may include information such as your device Internet Protocol (â€œIPâ€) address,
                    device name, operating system version, the configuration of the app when utilizing our Service,
                    the time and date of your u",84.55598455598455,1645,sub,"This Log Data may include information such as your device Internet Protocol (â€œIPâ€) address,                    device name, operating system version, the configuration of the app when utilizing our Service,                    the time and date of your use of the Service, and other statistics.",297,<first>,<error>
Cookies,Cookies,100.0,1945,main,Cookies,7,<tracking>,<what>
Cookies are files with a small amount of data that are commonly used as anonymous unique identifiers.,Cookies are files with a small amount of data that are commonly used as anonymous unique identifiers.,100.0,1953,sub,Cookies are files with a small amount of data that are commonly used as anonymous unique identifiers. These              ,121,<generic>,<how-gathered>
These are sent to your browser from the websites that you visit and are stored on your device's internal memory.,      are sent to your browser from the websites that you visit and are stored on your device's internal memory.,95.53571428571429,2075,sub,"      are sent to your browser from the websites that you visit and are stored on your device's internal memory.This Service does not use these â€œcookiesâ€ explicitly. However, the app may use third party code and libraries                    that use â€œcookiesâ€ to collect information and improve their services. You have the option to either                    accept or refuse these cookies and know when a cookie is being sent to your device. If you choose to",468,<generic>,<how-gathered>
These are sent to your browser from the websites that you visit and are stored on your device's internal memory.,      are sent to your browser from the websites that you visit and are stored on your device's internal memory.,95.53571428571429,2075,sub,"                    refuse our cookies, you may not be able to use some portions of this Service.",97,<generic>,<how-gathered>
Service Providers,Service Providers,100.0,2645,main,Service Providers,17,<third>,<what>
We may employ third-party companies and individuals due to the following reasons:,We may employ third-party companies and individuals due to the following reasons:,100.0,2663,sub,We may employ third-party companies and individuals due to the following reasons:,81,<first>,<why>
To facilitate our Service;,To facilitate our Service;,100.0,2745,sub,To facilitate our Service;,26,<first>,<error>
To provide the Service on our behalf;,To provide the Service on our behalf;,100.0,2772,sub,To provide the Service on our behalf;,37,<first>,<error>
To perform Service-related services; or,To perform Service-related services; or,100.0,2810,sub,To perform Service-related services; or,39,<first>,<error>
To assist us in analyzing how our Service is used.,To assist us in analyzing how our Service is used.,100.0,2850,sub,"To assist us in analyzing how our Service is used.We want to inform users of this Service that these third parties have access to your                    Personal Information. The reason is to perform the tasks assigned to them on our behalf. However, they                    are obligated not to disclose or use the information for any other purpose.",351,<first>,<error>
Security,Security,100.0,3205,main,"SecurityWe value your trust in providing us your Personal Information, thus we are striving                    to use commercially acceptable means of protecting it. But remember that no method of transmission over                    the internet, or method of electronic storage is 100% secure and reliable, and we cannot guarantee                    its absolute security.",374,<security>,<other>
