decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy of,Privacy Policy of,100.0,0,main,Privacy Policy of I Can't Wake Up! Alarm ClockPrivacy Policy ofI Can't Wake Up! Alarm ClockThis Application collects some Personal Data from its Users.This document containsa section dedicated to Brazilian Users and their privacy rights.This document can be printed for reference by using the print command in the settings of any browser.,338,<error>,<error>
Policy Summary,Policy summary,100.0,346,main,Policy summary,14,<generic>,<error>
Personal Data processed for the following purposes and using the following services:,Personal Data processed for the following purposes and using the following services:,100.0,361,main,Personal Data processed for the following purposes and using the following services:,84,<first>,<error>
Advertising,Advertising,100.0,446,main,Advertising,11,<first>,<error>
AdMob and Facebook Audience Network,AdMob and Facebook Audience Network,100.0,458,sub,"AdMob and Facebook Audience NetworkPersonal Data: Cookies; unique device identifiers for advertising (Google Advertiser ID or IDFA, for example); Usage DataTappx advertising",173,<first>,<error>
Contacting the User,Contacting the User,100.0,634,sub,Contacting the User,19,<first>,<error>
Contact form,Contact form,100.0,654,sub,Contact formPersonal Data: email address,40,<first>,<error>
Device permissions for Personal Data access,Device permissions for Personal Data access,100.0,696,sub,"Device permissions for Personal Data accessDevice permissions for Personal Data accessPersonal Data: Camera permission, without saving or recording; Motion sensors permission; Phone permission; Precise location permission (continuous); Storage permission",254,<first>,<error>
Infrastructure monitoring,Infrastructure monitoring,100.0,953,sub,Infrastructure monitoring,25,<first>,<error>
Crashlytics,Crashlytics,100.0,979,sub,CrashlyticsPersonal Data: Crash information; device information; Universally unique identifier (UUID),101,<first>,<error>
Information on opting out of interest-based advertising,Information on opting out of interest-based advertising,100.0,1082,main,"Information on opting out of interest-based advertisingIn addition to any opt-out feature provided by any of the services listed in this document, Users may follow the instructions provided byYourOnlineChoices(EU),  theNetwork Advertising Initiative(US) and  theDigital Advertising Alliance(US),DAAC(Canada),DDAI(Japan)",319,<first>,<error>
Information on opting out of interest-based advertising,Information on opting out of interest-based advertising,100.0,1082,main,  or other similar initiatives. Such initiatives allow Users to select their tracking preferences for most of the advertising tools. The Owner thus recommends that Users make use of these resources in addition to the information provided in this document.The Digital Advertising Alliance offers an application calledAppChoicesthat helps Users to control interest-based advertising on mobile apps.,396,<first>,<error>
Information on opting out of interest-based advertising,Information on opting out of interest-based advertising,100.0,1082,main,"Users may also opt-out of certain advertising features through applicable device settings, such as the device advertising settings for mobile phones or ads settings in general.",176,<first>,<error>
Contact Information,Contact information,100.0,1992,main,Contact information,19,<error>,<error>
Owner and Data Controller,Owner and Data Controller,100.0,2012,sub,"Owner and Data ControllerÅukasz KogucNocznickiego 33/308, 01-918 WarszawaPolandOwner contact email:contact@kogcreations.com",124,<error>,<error>
Full policy,Full policy,100.0,2142,sub,"Full policyOwner and Data ControllerÅukasz KogucNocznickiego 33/308, 01-918 WarszawaPolandOwner contact email:contact@kogcreations.com",135,<error>,<error>
Types of Data collected,Types of Data collected,100.0,2284,main,"Types of Data collectedAmong the types of Personal Data that this Application collects, by itself or through third parties, there are:      Cookies; Usage Data; unique device identifiers for advertising (Google Advertiser ID or IDFA, for example); email address; Precise location permission (continuous); Phone permission; Storage permission; Motion sensors permission; Camera permission, without saving or recording; Universally unique identifier (UUID); Crash information; device information.",494,<error>,<error>
Types of Data collected,Types of Data collected,100.0,2284,main,"Complete details on each type of Personal Data collected are provided in the dedicated sections of this privacy policy or by specific explanation texts displayed prior to the Data collection.Personal Data may be freely provided by the User, or, in case of Usage Data, collected automatically when using this Application.",320,<error>,<error>
Types of Data collected,Types of Data collected,100.0,2284,main,"Unless specified otherwise, all Data requested by this Application is mandatory and failure to provide this Data may make it impossible for this Application to provide its services. In cases where this Application specifically states that some Data is not mandatory, Users are free not to communicate this Data without consequences to the availability or the functioning of the Service.Users who are uncertain about which Personal Data is mandatory are welcome to contact the Owner.",482,<error>,<error>
Types of Data collected,Types of Data collected,100.0,2284,main,"Any use of Cookies â€“ or of other tracking tools â€“ by this Application or by the owners of third-party services used by this Application serves the purpose of providing the Service required by the User, in addition to any other purposes described in the present document and in the Cookie Policy, if available.Users are responsible for any third-party Personal Data obtained, published or shared through this Application and confirm that they have the third party's consent to provide the Data to the Owner.",510,<error>,<error>
Mode and place of processing the Data,Mode and place of processing the Data,100.0,4099,main,Mode and place of processing the Data,37,<error>,<error>
