decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"privacy-policySkip to main contentSearch This Bloggoldy71privacy-policyGet linkFacebookTwitterPinterestEmailOther AppsNovember 13, 2021Privacy PolicyGB VersionPrivacy PolicyThe GB What’s app was created as a Free app by us. This SERVICE is given free of charge by us and is intended to be used as is.If someone decides to use our Service, this page is meant to inform visitors about our policies regarding the collection, use, and sharing of Personal Information.",463,<error>,<error>
,,-1.0,0,,"Unless otherwise defined in this Privacy Policy, the terminology used in this Privacy Policy have the same meanings as in our Terms & Conditions, which may be found at GB What’s.",178,<error>,<error>
Information Collection and Use,Information Collection and Use,100.0,660,main,Information Collection and UseWe do not gather any personally identifiable information. Third-party services may collect information that can be used to identify you.,166,<first>,<how-used>
Link to the privacy policies of the app's third-party service providers.,Link to the privacy policies of the app's third-party service providers.,100.0,828,sub,Link to the privacy policies of the app's third-party service providers.    ,76,<first>,<how-gathered>
• Google Play Services,• Google Play Services,100.0,905,sub,• Google Play Services    ,26,<third>,<what>
• AdMob,• AdMob,100.0,932,sub,• AdMob    ,11,<third>,<what>
• Google Analytics for Firebase,• Google Analytics for Firebase,100.0,944,sub,• Google Analytics for Firebase    ,35,<third>,<what>
• Firebase Crashlytics,• Firebase Crashlytics,100.0,980,sub,• Firebase Crashlytics,22,<third>,<what>
Log Data,Log Data,100.0,1004,main,"Log DataWe want to let you know that whenever you use our Service, we collect data and information (or through third-party products) on your phone called Log Data in the event of an app issue. This Log Data may comprise information such as your device name, operating system version, app configuration when using our Service, time and date of service use, and other data.",371,<first>,<what>
Cookies,Cookies,100.0,1378,main,Cookies,7,<first>,<what>
Cookies are little data files that are frequently utilised as anonymous unique identifiers.,Cookies are little data files that are frequently utilised as anonymous unique identifiers.,100.0,1386,sub,"Cookies are little data files that are frequently utilised as anonymous unique identifiers. These are transmitted to your browser from the websites you visit and saved on the internal memory of your device.These ""cookies"" are not specifically used by this Service. Third-party code and libraries that utilise ""cookies"" to collect information and improve their services may be used by the app. You can choose to accept or reject these cookies, and you'll be notified when one is sent to your device. You may not be able to utilise some parts of this Service if you refuse our cookies.",583,<first>,<what>
Links to Other Sites,Links to Other Sites,100.0,1974,main,"Links to Other SitesThere may be links to other websites on this Service. You will be taken to a third-party site if you click on a third-party link. Please keep in mind that we do not control these third-party websites. As a result, we strongly suggest that you read the Privacy Policies of these websites. We have no control over, and take no responsibility for, any third-party sites or services, including their content, privacy policies, or practises.",456,<not>,<why>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,2433,main,"Changes to This Privacy PolicyFrom time to time, we may make changes to our Privacy Policy. As a result, you should check this page for updates on a regular basis. Any changes will be communicated to you by posting the revised Privacy Policy on this page. These modifications take effect as soon as they are published on this page.",331,<change>,<when>
Contact Us,Contact Us,100.0,2767,main,"Contact UsIf you have any questions or suggestions about our Privacy Policy, do not hesitate to contact us at emailGet linkFacebookTwitterPinterestEmailOther AppsCommentsUnknown24 November 2021 at 04:52Quiero wattsapReplyDeleteRepliesUnknown24 November 2021 at 05:18SimDeleteRepliesReplyUnknown25 November 2021 at 11:06SimDeleteRepliesReplyUnknown27 November 2021 at 02:57SimmmDeleteRepliesReplyUnknown1 December 2021 at 09:55SimDeleteRepliesReplyReplyUnknown24 November 2021 at 04:52060674ReplyDeleteReplies",508,<contact>,<other>
Contact Us,Contact Us,100.0,2767,main,ReplyUnknown24 November 2021 at 05:35TopReplyDeleteRepliesReplyUnknown24 November 2021 at 05:49TopReplyDeleteRepliesReplyUnknown24 November 2021 at 06:43QuieroReplyDeleteRepliesReplyUnknown24 November 2021 at 11:34OilReplyDeleteRepliesReplyUnknown24 November 2021 at 12:59SimReplyDeleteRepliesReplyUnknown24 November 2021 at 14:30SimReplyDeleteRepliesUnknown28 November 2021 at 22:46YesDeleteRepliesReplyReplyCarlita lujan24 November 2021 at 16:04AceptoReplyDeleteRepliesReplyUnknown24 November 2021 at 16:38,508,<contact>,<other>
