decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Lilly Tracker Privacy Policy,Lilly Tracker Privacy Policy,100.0,0,main,Lilly Tracker Privacy PolicyHomeAboutPortfolioBloom - Period trackerCountdown WidgetLilly - Period & OvulationAutomatic Call RecorderFotoX - Hide PicturesCall Recorder ProBirth control reminderCall Recorder - CallsBOXHide Photos/App LockVoice RecorderSelfie Expert HD CameraAnalog ClockContact UsLILLY TRACKER PRIVACY POLICY,324,<generic>,<error>
This privacy policy applies to,This privacy policy applies to,100.0,342,main,This privacy policy applies to ,31,<generic>,<error>
"(i) our website at www.smsrobot.com (the ""Site""); and (ii) any of our games, mobile applications, products or services (whether accessible via a web application, third party platform, social networking service or otherwise) (together our ""Services"")","(i) our website at www.smsrobot.com (the ""Site""); and (ii) any of our games, mobile applications, products or services (whether accessible via a web application, third party platform, social networking service or otherwise) (together our ""Services"")",100.0,373,sub,"(i) our website at www.smsrobot.com (the ""Site""); and (ii) any of our games, mobile applications, products or services (whether accessible via a web application, third party platform, social networking service or otherwise) (together our ""Services"").						By using any of our Services, you confirm that you have read, understood and agree to this privacy policy in its entirety. If you do not agree to this policy, please do not use any of the Services. If you have any queries, please email us at support@smsrobot.com.",519,<error>,<error>
Introduction,Introduction,100.0,894,main,"Introduction1. SMSROBOT, LLC (""we"" or ""us"" or ""our"", depending on what makes the most sense)					are committed to protecting and respecting your privacy.2. ",156,<generic>,<error>
"This privacy policy sets out the basis on which we will process any personal information we collect from you, or that you provide to us","This privacy policy sets out the basis on which we will process any personal information we collect from you,
					or that you provide ",95.55555555555556,1053,main,"This privacy policy sets out the basis on which we will process any personal information we collect from you,					or that you provide to us. Please read this privacy policy carefully so that you understand how we will treat your					personal information.",254,<error>,<error>
A quick word about children,A quick word about children,100.0,1310,main,"A quick word about children3. We recognize we have a special obligation to protect personal information we obtain from children. We do					not and will not knowingly collect information from any unsupervised child under the age of 13. In certain jurisdictions,					prior written permission or other verifiable consent may also be required from a parent or guardian for children under					the age of 18.",402,<generic>,<error>
The Data Controller,The Data Controller,100.0,1717,main,"The Data Controller4. For the purpose of data collection purposes, the data controller is SMSRobot Ltd, a company registered in					Ireland with registration number 522641 and registered office address at THE BLACK CHURCH, ST. MARY'S PLACE, DUBLIN					7, Ireland.",263,<first>,<error>
Information we may collect from you,Information we may collect from you,100.0,1984,main,"Information we may collect from you5. We respect your right to privacy and will only process personal information you provide to us in accordance					with applicable privacy laws, such as the Privacy and Electronic Communications (EC Directive) Regulations 2003 within					the EU.6. ",283,<first>,<error>
The kinds of data which we may process in order to monitor our Services and improve your user experience include:,The kinds of data which we may process in order to monitor our Services and improve your user experience include:,100.0,2271,sub,The kinds of data which we may process in order to monitor our Services and improve your user experience include:,113,<first>,<error>
- Account information,- Account information,100.0,2385,sub,"- Account information. We collect, and associate with your account, the information you provide to us when you do things such as sign up for your account.",154,<first>,<error>
