decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Story Maker Privacy & PolicyStory Maker Privacy PolicyLast updated:07.01.2022GongaDev operates Story Maker Android Applications. This page informs you of our policies regarding the collection, use and disclosure of personal information we receive from users of Story Maker Application.",285,<error>,<error>
Information Collection and Use,Information Collection and Use,100.0,289,main,Information Collection and Use,30,<generic>,<what>
The Application doesn't collect any personalized data.,The Application doesn't collect any personalized data.,100.0,320,sub,The Application doesn't collect any personalized data.,54,<first>,<error>
Google Analytics for Firebase (Google Inc.),Google Analytics for Firebase (Google Inc.),100.0,375,main,Google Analytics for Firebase (Google Inc.),43,<third>,<what>
After user consent (described above) the Application uses Google Analytics for Firebase.,After user consent (described above) the Application uses Google Analytics for Firebase.,100.0,419,sub,After user consent (described above) the Application uses Google Analytics for Firebase. ,89,<first>,<why>
Google Analytics for Firebase or Firebase Analytics is an analytics service provided by Google Inc.,Google Analytics for Firebase or Firebase Analytics is an analytics service provided by Google Inc.,100.0,508,sub,Google Analytics for Firebase or Firebase Analytics is an analytics service provided by Google Inc. ,100,<generic>,<error>
"In order to understand Google's use of Data, consult Google's partner policy.","In order to understand Google's use of Data, consult Google's partner policy.",100.0,608,sub,"In order to understand Google's use of Data, consult Google's partner policy. ",78,<third>,<why>
"Firebase Analytics may share Data with other tools provided by Firebase, such as Crash Reporting, Authentication, Remote Config or Notifications.","Firebase Analytics may share Data with other tools provided by Firebase, such as Crash Reporting, Authentication, Remote Config or Notifications.",100.0,686,sub,"Firebase Analytics may share Data with other tools provided by Firebase, such as Crash Reporting, Authentication, Remote Config or Notifications. ",146,<third>,<how-used>
The User may check this privacy policy to find a detailed explanation of the other tools used by the Owner.,The User may check this privacy policy to find a detailed explanation of the other tools used by the Owner.,100.0,832,sub,The User may check this privacy policy to find a detailed explanation of the other tools used by the Owner. ,108,<generic>,<how-used>
"This Application uses identifiers for mobile devices (including Android Advertising ID or Advertising Identifier for iOS, respectively) and technologies similar to cookies to run the Firebase Analytics service.","This Application uses identifiers for mobile devices (including Android Advertising ID or Advertising Identifier for iOS, respectively) and technologies similar to cookies to run the Firebase Analytics service.",100.0,940,sub,"This Application uses identifiers for mobile devices (including Android Advertising ID or Advertising Identifier for iOS, respectively) and technologies similar to cookies to run the Firebase Analytics service. ",211,<first>,<how-gathered>
"Users may opt-out of the use of Firebase in Story Maker, after opt-in.","Users may opt-out of the use of Firebase in Story Maker, after opt-in.",100.0,1151,sub,"Users may opt-out of the use of Firebase in Story Maker, after opt-in. ",71,<choice>,<when>
