decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Legal - ,8,<error>,<error>
Apple Privacy Policy,Apple Privacy Policy,100.0,8,main,"Apple Privacy Policy - AppleAppleStoreMaciPadiPhoneWatchVisionAirPodsTV & HomeEntertainmentAccessoriesSupport0+PrivacyLocal Nav Open MenuLocal Nav Close MenuOverviewFeaturesControlLabelsTransparency ReportPrivacy PolicyEnglishChoose your preferred languageApple Privacy PolicyUpdated December 22, 2022Apple’s Privacy Policy describes how Apple collects, uses, and shares your personal data.",390,<generic>,<other>
Apple Privacy Policy,Apple Privacy Policy,100.0,8,main,"In addition to this Privacy Policy, we provide data and privacy information embedded in our products and certain features that ask to use your personal data. This product-specific information is accompanied by our Data & Privacy Icon.You will be given an opportunity to review this product-specific information before using these features. You also can view this information at any time, either in settings related to those features and/or online atapple.com/legal/privacy/data.",478,<generic>,<other>
Apple Privacy Policy,Apple Privacy Policy,100.0,8,main,"You can familiarize yourself with our privacy practices, accessible via the headings below, andcontact usif you have any questions.Download a copy of this Privacy PolicyYour California Privacy DisclosuresInformation Regarding Commercial Electronic Messages in CanadaApple Health Study Apps Privacy PolicyWhat Is Personal Data at Apple?",335,<generic>,<other>
Apple Privacy Policy,Apple Privacy Policy,100.0,8,main,"At Apple, we believe strongly in fundamental privacy rights — and that those fundamental rights should not differ depending on where you live in the world. That’s why we treat any data that relates to an identified or identifiable individual or that is linked or linkable to them by Apple as “personal data,” no matter where the individual lives. This means that data that directly identifies you — such as your name — is personal data, and also data that does not directly identify you, but that can reasonably be used to identify you — such as the serial number of your device — is personal data. Aggregated data is considered non‑personal data for the purposes of this Privacy Policy.",687,<generic>,<other>
Apple Privacy Policy,Apple Privacy Policy,100.0,8,main,This Privacy Policy covers howApple or an Apple-affiliated company,66,<generic>,<other>
Apple Privacy Policy,Apple Privacy Policy,100.0,8,main,"(collectively, “Apple”) handles personal data whether you interact with us on our websites, through Apple apps (such as Apple Music or Wallet), or in person (including by phone or when visiting our retail stores). Apple may also link to third parties on our services or make third-party apps available for download in our App Store. Apple’s Privacy Policy does not apply to how third parties define personal data or how they use it. We encourage you to read their privacy policies and know your privacy rights before interacting with them.",539,<generic>,<other>
Your Privacy Rights at Apple,Your Privacy Rights at Apple,100.0,2548,main,"Your Privacy Rights at AppleAt Apple, we respect your ability to know, access, correct, transfer, restrict the processing of, and delete your personal data. We have provided these rights to our global customer base and if you choose to exercise these privacy rights, you have the right not to be treated in a discriminatory way nor to receive a lesser degree of service from Apple. Where you are requested to consent to the processing of your personal data by Apple, you have the right to withdraw your consent at any time.",523,<generic>,<other>
Your Privacy Rights at Apple,Your Privacy Rights at Apple,100.0,2548,main,"To exercise your privacy rights and choices including where a third-party service provider is acting on Apple’s behalf, visit the Apple Data and Privacy page atprivacy.apple.comfor Apple or shazam.com/privacy for Shazam.To help protect the security of your personal data, you must sign in to your account and your identity will be verified. If you want to obtain a copy of personal data that is not currently available fromprivacy.apple.com, you can make a request atapple.com/legal/privacy/contact.",499,<generic>,<other>
Your Privacy Rights at Apple,Your Privacy Rights at Apple,100.0,2548,main,"There may be situations where we cannot grant your request — for example, if you ask us to delete your transaction data and Apple is legally obligated to keep a record of that transaction to comply with law. We may also decline to grant a request where doing so would undermine our legitimate use of data for anti-fraud and security purposes, such as when you request deletion of an account that is being investigated for security concerns. Other reasons your privacy request may be denied are if it jeopardizes the privacy of others, is frivolous or vexatious, or would be extremely impractical.",596,<generic>,<other>
Your Privacy Rights at Apple,Your Privacy Rights at Apple,100.0,2548,main,"If you live in California and you cannot access Apple’s Data and Privacy page, you or your authorized agent can make a request atapple.com/legal/privacy/contactor by calling 1-800-275-2273.For more information on exercising your rights, visitsupport.apple.com/kb/HT208501.",272,<generic>,<other>
Personal Data Apple Collects from You,Personal Data Apple Collects from You,100.0,4456,main,"Personal Data Apple Collects from YouAt Apple, we believe that you can have great products and great privacy. This means that we strive tocollect only the personal data that we need. Descriptions of how Apple handles personal data for certain individual services are available atapple.com/legal/privacy/data.",308,<first>,<what>
Personal Data Apple Collects from You,Personal Data Apple Collects from You,100.0,4456,main,"When you create an Apple ID, apply for commercial credit, purchase and/or activate a product or device, download a software update, register for a class at an Apple Store, connect to our services, contact us (including by social media), participate in an online survey, or otherwise interact with Apple, we may collect a variety of information, including:",355,<first>,<what>
Account Information,Account Information,100.0,5126,sub,"Account Information.Your Apple ID and related account details, including email address, devices registered, account status, and age",131,<first>,<what>
Device Information,Device Information,100.0,5259,sub,"Device Information.Data from which your device could be identified, such as device serial number, or about your device, such as browser type",140,<first>,<what>
Contact Information,Contact Information,100.0,5401,sub,"Contact Information.Data such as name, email address, physical address, phone number, or other contact information",114,<first>,<what>
Payment Information,Payment Information,100.0,5517,sub,"Payment Information.Data about your billing address and method of payment, such as bank details, credit, debit, or other payment card information",145,<first>,<what>
Transaction Information,Transaction Information,100.0,5664,sub,"Transaction Information.Data about purchases of Apple products and services or transactions facilitated by Apple, including purchases on Apple platforms",152,<first>,<what>
Fraud Prevention Information,Fraud Prevention Information,100.0,5818,sub,"Fraud Prevention Information.Data used to help identify and prevent fraud, including a device trust score",105,<first>,<what>
