decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Política de privacidad - Toy Cantando - Canciones infantilesIr al contenidoQuienes SomosToy MusicAppsLicenciasShowsBlogTiendaCuentos MágicosMenúQuienes SomosToy MusicAppsLicenciasShowsBlogTiendaCuentos Mágicos$00Carrito$00CarritoVer carrito$00Carrito,250,<error>,<error>
Toy Cantando SAS Privacy Policy,Toy Cantando SAS Privacy Policy,100.0,282,main,Toy Cantando SAS Privacy Policy,31,<generic>,<error>
This privacy policy has been compiled to better serve those who are concerned with how their ‘Personally Identifiable Information’ (PII) is being used,This privacy policy has been compiled to better serve those who are concerned with how their ‘Personally Identifiable Information’ (PII) is being used,100.0,314,sub,"This privacy policy has been compiled to better serve those who are concerned with how their ‘Personally Identifiable Information’ (PII) is being used . PII, as described in US privacy law and information security, is information that can be used on its own or with other information to identify, contact, or locate a single person, or to identify an individual in context. Please read our privacy policy carefully to get a clear understanding of how we collect, use, protect or otherwise handle your Personally Identifiable Information in accordance with our website.",568,<error>,<error>
"What personal information do we collect from the people that visit our blog, website or app?","What personal information do we collect from the people that visit our blog, website or app?",100.0,883,main,"What personal information do we collect from the people that visit our blog, website or app?",92,<first>,<error>
We do not collect information from visitors of our site or other details to help you with your experience,We do not collect information from visitors of our site or other details to help you with your experience,100.0,976,sub,We do not collect information from visitors of our site or other details to help you with your experience.,106,<error>,<error>
When do we collect information?,When do we collect information?,100.0,1083,main,When do we collect information?,31,<first>,<error>
We collect information from you when you Open a Support Ticket or enter information on our site,We collect information from you when you Open a Support Ticket or enter information on our site,100.0,1115,sub,We collect information from you when you Open a Support Ticket or enter information on our site.,96,<error>,<error>
How do we use your information?,How do we use your information?,100.0,1212,main,How do we use your information?,31,<first>,<error>
"We may use the information we collect from you when you register, make a, sign up for our newsletter, respond to a survey or marketing communication, surf the website, or use certain other site features in the following ways","We may use the information we collect from you when you register, make a , sign up for our newsletter, respond to a survey or marketing communication, surf the website, or use certain other site features in the following way",99.55357142857143,1244,sub,"We may use the information we collect from you when you register, make a , sign up for our newsletter, respond to a survey or marketing communication, surf the website, or use certain other site features in the following ways:",226,<error>,<error>
To personalize your experience and to allow us to deliver the type of content and product offerings in which you are most interested,To personalize your experience and to allow us to deliver the type of content and product offerings in which you are most interested,100.0,1471,sub,To personalize your experience and to allow us to deliver the type of content and product offerings in which you are most interested.,133,<error>,<error>
How do we protect your information?,How do we protect your information?,100.0,1605,main,How do we protect your information?,35,<first>,<error>
Our website is scanned on a regular basis for security holes and known vulnerabilities in to make your visit to our site as safe as possible,Our website is scanned on a regular basis for security holes and known vulnerabilities in to make your visit to our site as safe as possible,100.0,1641,sub,Our website is scanned on a regular basis for security holes and known vulnerabilities in to make your visit to our site as safe as possible.,141,<error>,<error>
We use regular Malware Scanning,We use regular Malware Scanning,100.0,1783,sub,We use regular Malware Scanning.,32,<error>,<error>
"Your personal information is contained behind secured networks and is only accessible by a limited number of persons who have special access rights to such systems, and are required to keep the information confidential","Your personal information is contained behind secured networks and is only accessible by a limited number of persons who have special access rights to such systems, and are required to keep the information confidential",100.0,1816,sub,"Your personal information is contained behind secured networks and is only accessible by a limited number of persons who have special access rights to such systems, and are required to keep the information confidential. ",220,<error>,<error>
"In addition, all sensitive/credit information you supply is encrypted via Secure Socket Layer (SSL) technology","In addition, all sensitive/credit information you supply is encrypted via Secure Socket Layer (SSL) technology",100.0,2036,sub,"In addition, all sensitive/credit information you supply is encrypted via Secure Socket Layer (SSL) technology.",111,<error>,<error>
"We implement a variety of security measures when a user enters, submits, or accesses their information to maintain the safety of your personal information","We implement a variety of security measures when a user enters, submits, or accesses their information to maintain the safety of your personal information",100.0,2148,sub,"We implement a variety of security measures when a user enters, submits, or accesses their information to maintain the safety of your personal information.",155,<error>,<error>
All transactions are processed through a gateway provider and are not stored or processed on our servers,All transactions are processed through a gateway provider and are not stored or processed on our servers,100.0,2304,sub,All transactions are processed through a gateway provider and are not stored or processed on our servers.,105,<first>,<error>
Do we use ‘cookies’?,Do we use ‘cookies’?,100.0,2410,main,Do we use ‘cookies’?,20,<first>,<error>
Yes,Yes,100.0,2431,sub,Yes. ,5,<error>,<error>
Cookies are small files that a site or its service provider transfers to your computer’s hard drive through your Web browser (if you allow) that enables the site’s or service provider’s systems to recognize your browser and capture and remember certain information,Cookies are small files that a site or its service provider transfers to your computer’s hard drive through your Web browser (if you allow) that enables the site’s or service provider’s systems to recognize your browser and capture and remember certain information,100.0,2436,sub,Cookies are small files that a site or its service provider transfers to your computer’s hard drive through your Web browser (if you allow) that enables the site’s or service provider’s systems to recognize your browser and capture and remember certain information. ,266,<error>,<error>
"For instance, we use cookies to help us remember and process the items in your shopping cart","For instance, we use cookies to help us remember and process the items in your shopping cart",100.0,2702,sub,"For instance, we use cookies to help us remember and process the items in your shopping cart. ",94,<error>,<error>
"They are also used to help us understand your preferences based on previous or current site activity, which enables us to provide you with improved services","They are also used to help us understand your preferences based on previous or current site activity, which enables us to provide you with improved services",100.0,2796,sub,"They are also used to help us understand your preferences based on previous or current site activity, which enables us to provide you with improved services. ",158,<error>,<error>
We also use cookies to help us compile aggregate data about site traffic and site interaction so that we can offer better site experiences and tools in the future,We also use cookies to help us compile aggregate data about site traffic and site interaction so that we can offer better site experiences and tools in the future,100.0,2954,sub,"We also use cookies to help us compile aggregate data about site traffic and site interaction so that we can offer better site experiences and tools in the future.We use cookies to:Help remember and process the items in the shopping cart. You can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies. You do this through your browser settings. Since browser is a little different, look at your browser’s Help Menu to learn the correct way to modify your cookies.",523,<error>,<error>
We also use cookies to help us compile aggregate data about site traffic and site interaction so that we can offer better site experiences and tools in the future,We also use cookies to help us compile aggregate data about site traffic and site interaction so that we can offer better site experiences and tools in the future,100.0,2954,sub,"If you turn cookies off, Some of the features that make your site experience more efficient may not function properly.It won’t affect the user’s experience that make your site experience more efficient and may not function properly.",232,<error>,<error>
Third-party disclosure,Third-party disclosure,100.0,3713,main,Third-party disclosure,22,<third>,<error>
"We do not sell, trade, or otherwise transfer to outside parties your Personally Identifiable Information","We do not sell, trade, or otherwise transfer to outside parties your Personally Identifiable Information",100.0,3736,sub,"We do not sell, trade, or otherwise transfer to outside parties your Personally Identifiable Information.",105,<error>,<error>
Third-party links,Third-party links,100.0,3842,main,Third-party links,17,<third>,<error>
We do not include or offer third-party products or services on our website,We do not include or offer third-party products or services on our website,100.0,3860,sub,We do not include or offer third-party products or services on our website.,75,<error>,<error>
Google,Google,100.0,3936,main,Google,6,<error>,<error>
Google’s advertising requirements can be summed up by Google’s Advertising Principles,Google’s advertising requirements can be summed up by Google’s Advertising Principles,100.0,3943,sub,Google’s advertising requirements can be summed up by Google’s Advertising Principles. ,87,<error>,<error>
They are put in place to provide a positive experience for users,They are put in place to provide a positive experience for users,100.0,4030,sub,They are put in place to provide a positive experience for users.,65,<error>,<error>
https://support.google.com/adwordspolicy/answer/1316548?hl=en,https://support.google.com/adwordspolicy/answer/1316548?hl=en,100.0,4096,sub,https://support.google.com/adwordspolicy/answer/1316548?hl=enWe have not enabled Google AdSense on our site but we may do so in the future.,139,<error>,<error>
California Online Privacy Protection Act,California Online Privacy Protection Act,100.0,4237,main,California Online Privacy Protection Act,40,<region>,<error>
CalOPPA is the first state law in the nation to require commercial websites and services to post a privacy policy,CalOPPA is the first state law in the nation to require commercial websites and services to post a privacy policy,100.0,4278,sub,CalOPPA is the first state law in the nation to require commercial websites and services to post a privacy policy. ,115,<error>,<error>
The law’s reach stretches well beyond California to require any person or company in the United States (and conceivably the world) that operates websites collecting Personally Identifiable Information from California consumers to post a conspicuous privacy policy on its website stating exactly the information being collected and those individuals or companies with whom it is being shared,The law’s reach stretches well beyond California to require any person or company in the United States (and conceivably the world) that operates websites collecting Personally Identifiable Information from California consumers to post a conspicuous privacy policy on its website stating exactly the information being collected and those individuals or companies with whom it is being shared,100.0,4393,sub,The law’s reach stretches well beyond California to require any person or company in the United States (and conceivably the world) that operates websites collecting Personally Identifiable Information from California consumers to post a conspicuous privacy policy on its website stating exactly the information being collected and those individuals or companies with whom it is being shared. – See more at: http://consumercal.org/california-privacy-protection-act-caloppa/#sthash.0FdRbT51.dpuf,493,<error>,<error>
The law’s reach stretches well beyond California to require any person or company in the United States (and conceivably the world) that operates websites collecting Personally Identifiable Information from California consumers to post a conspicuous privacy policy on its website stating exactly the information being collected and those individuals or companies with whom it is being shared,The law’s reach stretches well beyond California to require any person or company in the United States (and conceivably the world) that operates websites collecting Personally Identifiable Information from California consumers to post a conspicuous privacy policy on its website stating exactly the information being collected and those individuals or companies with whom it is being shared,100.0,4393,sub,"According to CalOPPA, we agree to the following:Users can visit our site anonymously. Once this privacy policy is created, we will add a link to it on our home page or as a minimum, on the first significant page after entering our website. Our Privacy Policy link includes the word ‘Privacy’ and can easily be found on the page specified above. You will be notified of any Privacy Policy changes:Via Email Can change your personal information.By logging in to your account",472,<error>,<error>
How does our site handle Do Not Track signals?,How does our site handle Do Not Track signals?,100.0,5363,main,How does our site handle Do Not Track signals?,46,<access>,<error>
