decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyPrivacy PolicyKNF built the UKIKU app as    an Ad Supported app. This SERVICE is provided by    KNF at no cost and is intended for use as    is.This page is used to inform visitors regarding my    policies with the collection, use, and disclosure of Personal    Information if anyone decided to use my Service.If you choose to use my Service, then you agree to    the collection and use of information in relation to this    policy. The Personal Information that I collect is",489,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"    used for providing and improving the Service. I will not use or share your information with    anyone except as described in this Privacy Policy.The terms used in this Privacy Policy have the same meanings    as in our Terms and Conditions, which are accessible at    UKIKU unless otherwise defined in this Privacy Policy.",326,<generic>,<error>
Information Collection and Use,Information Collection and Use,100.0,832,main,Information Collection and Use,30,<generic>,<error>
"For a better experience, while using our Service","For a better experience, while using our Service",100.0,863,sub,"For a better experience, while using our Service, I    may require you to provide us with certain personally    identifiable information, including but not limited to Ad ID. ",174,<first>,<other>
The information that I request will be retained on your device and is not collected by me in any way,"The information that
    I request will be retained on your device and is not collected by me in any",96.0,1039,sub,The information that    I request will be retained on your device and is not collected by me in any way.,104,<first>,<what>
The app does use third-party services that may collect information used to identify you,"The app does use third-party services that may collect
    information used to identify",95.40229885057472,1145,sub,The app does use third-party services that may collect    information used to identify you.,91,<third>,<what>
Link to the privacy policy of third-party service providers used by the app,"Link to the privacy policy of third-party service providers used
    by the",94.66666666666667,1238,main,Link to the privacy policy of third-party service providers used    by the app,78,<third>,<other>
Google Play Services,Google Play Services,100.0,1318,sub,Google Play Services,20,<third>,<what>
AdMob,AdMob,100.0,1339,sub,AdMob,5,<third>,<what>
Google Analytics for Firebase,Google Analytics for Firebase,100.0,1345,sub,Google Analytics for Firebase,29,<third>,<what>
Firebase Crashlytics,Firebase Crashlytics,100.0,1375,sub,Firebase Crashlytics,20,<third>,<what>
Log Data,Log Data,100.0,1396,main,"Log DataI want to inform you that whenever you    use my Service, in a case of an error in the app    I collect data and information (through third-party    products) on your phone called Log Data. This Log Data may    include information such as your device Internet Protocol    (“IP”) address, device name, operating system version, the    configuration of the app when utilizing my Service,    the time and date of your use of the Service, and other    statistics.",467,<third>,<what>
Cookies,Cookies,100.0,1873,main,Cookies,7,<tracking>,<what>
Cookies are files with a small amount of data that are commonly used as anonymous unique identifiers,"Cookies are files with a small amount of data that are
    commonly used as anonymous unique identif",96.0,1881,sub,Cookies are files with a small amount of data that are    commonly used as anonymous unique identifiers. These are sent    to your browser from the websites that you visit and are    stored on your device's internal memory.,223,<tracking>,<error>
This Service does not use these “cookies” explicitly,This Service does not use these “cookies” explicitly,100.0,2108,sub,This Service does not use these “cookies” explicitly. ,54,<first>,<when>
"However, the app may use third-party code and libraries that use “cookies” to collect information and improve their services","However,
    the app may use third-party code and libraries that use
    “cookies” to collect information and improve their ",93.5483870967742,2162,sub,"However,    the app may use third-party code and libraries that use    “cookies” to collect information and improve their services.    You have the option to either accept or refuse these cookies    and know when a cookie is being sent to your device. If you    choose to refuse our cookies, you may not be able to use some    portions of this Service.",352,<third>,<how-gathered>
Service Providers,Service Providers,100.0,2521,main,Service ProvidersI may employ third-party companies and    individuals due to the following reasons:,100,<third>,<other>
To facilitate our Service,To facilitate our Service,100.0,2624,sub,To facilitate our Service;,26,<third>,<why>
To provide the Service on our behalf,To provide the Service on our behalf,100.0,2651,sub,To provide the Service on our behalf;,37,<third>,<why>
To perform Service-related services,To perform Service-related services,100.0,2689,sub,To perform Service-related services; or,39,<third>,<why>
To assist us in analyzing how our Service is used,To assist us in analyzing how our Service is used,100.0,2729,sub,"To assist us in analyzing how our Service is used.I want to inform users of this Service    that these third parties have access to their Personal    Information. The reason is to perform the tasks assigned to    them on our behalf. However, they are obligated not to    disclose or use the information for any other purpose.",325,<third>,<why>
Security,Security,100.0,3060,main,"SecurityI value your trust in providing us your    Personal Information, thus we are striving to use commercially    acceptable means of protecting it. But remember that no method    of transmission over the internet, or method of electronic    storage is 100% secure and reliable, and I cannot    guarantee its absolute security.",330,<security>,<other>
Links to Other Sites,Links to Other Sites,100.0,3397,main,"Links to Other SitesThis Service may contain links to other sites. If you click on    a third-party link, you will be directed to that site. Note    that these external sites are not operated by me.    Therefore, I strongly advise you to review the    Privacy Policy of these websites. I have    no control over and assume no responsibility for the content,    privacy policies, or practices of any third-party sites or    services.",432,<generic>,<other>
Children’s Privacy,Children’s Privacy,100.0,3838,main,"Children’s PrivacyThese Services do not address anyone under the age of 13.    I do not knowingly collect personally    identifiable information from children under 13 years of age. In the case    I discover that a child under 13 has provided    me with personal information, I immediately    delete this from our servers. If you are a parent or guardian    and you are aware that your child has provided us with    personal information, please contact me so that    I will be able to do the necessary actions.",510,<audience>,<other>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,4358,main,"Changes to This Privacy PolicyI may update our Privacy Policy from    time to time. Thus, you are advised to review this page    periodically for any changes. I will    notify you of any changes by posting the new Privacy Policy on    this page.This policy is effective as of 2023-04-04",286,<change>,<other>
Contact Us,Contact Us,100.0,4651,main,"Contact UsIf you have any questions or suggestions about my    Privacy Policy, do not hesitate to contact me at knf.apps@gmail.com.",131,<contact>,<other>
