decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Terms of Service,Terms of Service,100.0,0,main,"Terms of Service and Privacy PolicyTerms of Service and Privacy PolicyTerms of ServiceThe following terms and conditions govern all use of the app and all content, services and products available at or through the app. The App is offered subject to your acceptance without modification of all of the terms and conditions contained herein and all other operating rules, policies, and procedures that may be published from time to time on this page (collectively, the Agreement).",477,<generic>,<other>
Terms of Service,Terms of Service,100.0,0,main,"Please read this Agreement carefully before accessing or using this app. By accessing or using any part of the App or Service, you agree to become bound by the terms and conditions of this agreement. If you do not agree to all the terms and conditions of this agreement, then you may not access the App or use any Services.",323,<generic>,<other>
Responsibility of App Users,Responsibility of App Users,100.0,805,main,"Responsibility of App Users.If you operate an account, post material to the App or Service, or otherwise make (or allow any third party to make) material available by means of the App or Service (any such material, Content), you are entirely responsible for the content of, and any harm resulting from, that Content. You agree to not post or send inappropriate or offensive Content. That is the case regardless of whether the Content in question constitutes text or graphics.",475,<generic>,<other>
Responsibility of App Users,Responsibility of App Users,100.0,805,main,"You are not permitted to use the app to broadcast music, play music for others, or for sort of any public performances. In no event will we be liable for the consequences from your use of the app in this or any other manner. We also reserve the right to ban any member from using the App or Service for any reason.This app does not have the ability to download or save music or video content.Limitation of Liability.",416,<generic>,<other>
Responsibility of App Users,Responsibility of App Users,100.0,805,main,"To the fullest extent permitted by law, in no event will we, our officers, shareholders, employees, agents, directors, subsidiaries, affiliates, successors, assigns, suppliers or licensors be liable for (i) any indirect, special, incidental, punitive, exemplary or consequential (including loss of use, data, business, or profits) damages, arising out of the use or inability to use the app, third party applications or third party application content, regardless of legal theory, without regard to whether we have been warned of the possibility of those damages, and even if a remedy fails of its essential purpose; (ii) aggregate liability for all claims relating to the app, third party applications or third party application content.",738,<generic>,<other>
Responsibility of App Users,Responsibility of App Users,100.0,805,main,"Please note that all content accessible through the app is provided by various third party providers through application programming interfaces and we do not store or host any content, nor does it claim ownership or responsibility of any content provided through the service, nor does your access of content through the app constitute a public performance. If you have an intellectual property concern, please contact us and we will direct you to the appropriate third party provider of that content.",500,<generic>,<other>
General Representation and Warranty,General Representation and Warranty,100.0,2941,main,"General Representation and Warranty.You represent and warrant that your use of the App or Service will be in strict accordance with this Agreement and with all applicable laws and regulations (including without limitation any local laws or regulations in your country, state, city, or other governmental area, regarding online conduct and acceptable content, and including all applicable laws regarding the transmission of technical data exported from the United States or the country in which you reside)",505,<generic>,<other>
Indemnification,Indemnification,100.0,3448,main,"Indemnification.You agree to indemnify and hold harmless the the app, its contractors, and its licensors, and their respective directors, officers, employees and agents from and against any and all claims and expenses, including attorneys fees, arising out of your use of the App or Service, including but not limited to out of your violation this Agreement.",358,<generic>,<other>
Changes,Changes,100.0,3808,main,Changes.,8,<change>,<other>
Changes,Changes,100.0,3808,main,"We reserve the right, at its sole discretion, to modify or replace any part of this Agreement. It is your responsibility to check this Agreement periodically for changes. Your continued use of or access to the App or Service following the posting of any changes to this Agreement constitutes acceptance of those changes. We may also, in the future, offer new services and/or features through the App or Service (including, the release of new tools and resources). Such new features and/or services shall be subject to the terms and conditions of this Agreement.",561,<change>,<other>
Privacy Policy,Privacy Policy,100.0,4379,main,"Privacy PolicySongFlip built the SongFlip app asan Ad Supported app. This SERVICE is provided bySongFlip at no cost and is intended for use asis.This page is used to inform visitors regarding ourpolicies with the collection, use, and disclosure of PersonalInformation if anyone decided to use our Service.If you choose to use our Service, then you agree tothe collection and use of information in relation to thispolicy. The Personal Information that we collect is",464,<first>,<other>
Privacy Policy,Privacy Policy,100.0,4379,main,"used for providing and improving the Service. We will not use or share your information withanyone except as described in this Privacy Policy.The terms used in this Privacy Policy have the same meaningsas in our Terms and Conditions, which is accessible atSongFlip unless otherwise defined in this Privacy Policy.",313,<first>,<other>
Information We Collect,Information Collection,86.36363636363636,5172,sub,"Information Collection and UseFor a better experience, while using our Service, wemay require you to provide us with certain personallyidentifiable information. The information thatwe request will be retained by us and used as described in this privacy policy.The app does use third party services that may collectinformation used to identify you.Link to privacy policy of third party service providers usedby the appGoogle Play ServicesAdMobGoogle Analytics for FirebaseFirebase CrashlyticsFacebookAppLovin",507,<first>,<what>
Information We Collect,Information Collection,86.36363636363636,5172,sub,"If you choose to backup your playlists, this app saves your playlists under the name of the encrypted hash of the email you selected. NO account information is saved or stored.Log DataWe want to inform you that whenever youuse our Service, in a case of an error in the appwe collect data and information (through third partyproducts) on your phone called Log Data. This Log Data mayinclude information such as your device Internet Protocol(â€œIPâ€) address, device name, operating system version, the",501,<first>,<what>
Information We Collect,Information Collection,86.36363636363636,5172,sub,"configuration of the app when utilizing our Service,the time and date of your use of the Service, and otherstatistics.CookiesCookies are files with a small amount of data that arecommonly used as anonymous unique identifiers. These are sentto your browser from the websites that you visit and arestored on your device's internal memory.This Service does not use these â€œcookiesâ€ explicitly. However,the app may use third party code and libraries that use",457,<first>,<what>
Information We Collect,Information Collection,86.36363636363636,5172,sub,"â€œcookiesâ€ to collect information and improve their services.You have the option to either accept or refuse these cookiesand know when a cookie is being sent to your device. If youchoose to refuse our cookies, you may not be able to use someportions of this Service.Service ProvidersWe may employ third-party companies andindividuals due to the following reasons:To facilitate our Service;To provide the Service on our behalf;To perform Service-related services; or",468,<first>,<what>
Information We Collect,Information Collection,86.36363636363636,5172,sub,"To assist us in analyzing how our Service is used.We want to inform users of this Servicethat these third parties have access to your PersonalInformation. The reason is to perform the tasks assigned tothem on our behalf. However, they are obligated not todisclose or ",267,<first>,<what>
Use of Information,use the informatio,83.33333333333334,7421,sub,use the information for any other purpose.,42,<first>,<how-used>
Security,Security,100.0,7464,main,"SecurityWe value your trust in providing us yourPersonal Information, thus we are striving to use commerciallyacceptable means of protecting it. But remember that no methodof transmission over the internet, or method of electronicstorage is 100% secure and reliable, and we cannotguarantee its absolute security.",312,<security>,<error>
Links to Other Sites,Links to Other Sites,100.0,7783,main,"Links to Other SitesThis Service may contain links to other sites. If you click ona third-party link, you will be directed to that site. Notethat these external sites are not operated by us.Therefore, we strongly advise you to review thePrivacy Policy of these websites. We haveno control over and assume no responsibility for the content,privacy policies, or practices of any ",377,<links>,<other>
Third-Party Sites,third-party sites,100.0,8167,sub,third-party sites orservices.,29,<third>,<other>
Childrenâ€™s Privacy,Childrenâ€™s Privacy,100.0,8198,main,Childrenâ€™s PrivacyThese Services do not address anyone under the age of 13.We do not knowingly collect personallyidentifiable information from ,145,<audience>,<other>
Children Under 13,children under 13,100.0,8346,sub,"children under 13. In the casewe discover that a child under 13 has providedus with personal information, we immediatelydelete this from our servers. If you are a parent or guardianand you are aware that your child has provided us withpersonal information, please contact us so thatwe will be able to do necessary actions.",322,<audience>,<when>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,8675,main,"Changes to This Privacy PolicyWe may update our Privacy Policy fromtime to time. Thus, you are advised to review this pageperiodically for any changes. We willnotify you of any changes by posting the new Privacy Policy onthis page.This policy is effective as of 2020-12-20",272,<change>,<when>
Contact Us,Contact Us,100.0,8954,main,"Contact UsIf you have any questions or suggestions about ourPrivacy Policy, do not hesitate to contact us at[email protected].",126,<contact>,<other>
