decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Privacy Policies | TuneIn | Free Internet RadioToggle navigationListen NowAudiobooksSportsMusicNewsPodcastsGet The AppListenAudiobooksSportsMusicNewsPodcastsMoreAbout UsContact UsCareersPressProductSupportDevicesTuneIn LiveCommunitiesBrandsBroadcastersPodcastersGet The AppTHANK YOUYour information has been submitted to our team, and someone will reach out to you shortly.ContinueAdvertising InquiriesSelect a TopicDevice PartnersAdvertising InquiriesPress InquiriesChoose a Different Topicpartners@tunein.com",510,<error>,<error>
,,-1.0,0,,advertising@tunein.compress@tunein.comFirst*Last*Email*Title*Company*Comments*CancelFirst*Last*Email*Title*CompanyBrand WebsiteCompany TypeI work for a...I work for a...Audio & Media UnitsJust AudioJust MediaExperientialAll of the Above—Please choose an option—Audio & Media UnitsJust AudioJust MediaExperientialAll of the AboveCity/StateCountry*Promotion SpotPromote my brand via...Promote my brand via...National BrandRegional BrandMedia AgencyCreative AgencySalesTuneIn User Needing Help,490,<error>,<error>
,,-1.0,0,,"—Please choose an option—National BrandRegional BrandMedia AgencyCreative AgencySalesTuneIn User Needing HelpBudget SizeSend Media KitCancelFirst*Last*Email*Title*Company*Comments*CancelLast Updated Date: Jan 1, 2023Effective: April 30, 2023PRIVACY POLICY",255,<error>,<error>
Scope and Purpose of this Policy,Scope and Purpose of this Policy,100.0,1371,main,"Scope and Purpose of this PolicyThis Privacy Policy (“Policy”) applies to tunein.com, the TuneIn mobile application, and any other websites, applications, widgets, products, services, and other on- and offline offerings (collectively, the “Services”) owned and operated by TuneIn, Inc. and our affiliates and subsidiaries (collectively, “TuneIn,” “we,” “us,” or “our”). This Policy covers our treatment of the personal information we gather through our Services.",462,<generic>,<error>
Scope and Purpose of this Policy,Scope and Purpose of this Policy,100.0,1371,main,"This Policy explains how TuneIn may collect, use, process, disclose and safeguard information we obtain through the Services. It also tells you about your rights and choices with respect to your Personal Information, and how you can contact us if you have any questions or concerns. TuneIn is the data controller for the purposes of this Policy.If you are a California resident, please also see ourCalifornia Resident Privacy Notice.",433,<generic>,<error>
Scope and Purpose of this Policy,Scope and Purpose of this Policy,100.0,1371,main,"If you wish to opt out of TuneIn’s “sharing” of your Personal Information for cross-contextual advertising purposes, please click here:Do Not Sell or Share My Personal Information.",180,<generic>,<error>
How TuneIn Collects Personal Information,How TuneIn Collects Personal Information,100.0,2455,main,"How TuneIn Collects Personal InformationFor the purpose of this Privacy Policy, “Personal Information” means any information relating to an identified or identifiable individual. We obtain Personal Information relating to you from various sources as described below.",266,<generic>,<error>
How TuneIn Collects Personal Information,How TuneIn Collects Personal Information,100.0,2455,main,"Where applicable, we indicate whether and why you must provide us with your Personal Information, as well as the consequences of failing to do so. If you do not provide Personal Information when requested, you may not be able to benefit from our Services if that information is necessary to provide you with the Services or if we are legally required to collect it.",365,<generic>,<error>
A. Personal Information You Provide,A.  Personal Information You Provid,97.14285714285714,3091,sub,"A.  Personal Information You ProvideUserAccount Registration.If you register as a user of the Services, you must provide us with your name, email address, year of birth, and password in order to create an account. You may also optionally add to your profile certain demographic information, such as your country, zip code and gender, as well as your photo.Broadcaster Account Registration.If you are a",401,<first>,<what>
A. Personal Information You Provide,A.  Personal Information You Provid,97.14285714285714,3091,sub,"broadcaster, we ask you for information about your station and broadcast(s) when you register on our Services, including your name, email address, phone number, website, content streaming URL, as well as background information on the station and broadcast(s).Subscriptions.If you obtain a Subscription to the Services, we will ask you to provide your payment information, such as your credit card number, so our service providers can process your payments for the Services.Communications.",488,<first>,<what>
A. Personal Information You Provide,A.  Personal Information You Provid,97.14285714285714,3091,sub,"We will collect any information which you provide to us through your communications with our customer support team, such as through email or social media. If you complete one of our surveys, we will collect your responses and may ask you to provide personal information such as your gender, age, general location, and ask you to participate in future surveys.Business Partner and Vendor Information.",399,<first>,<what>
A. Personal Information You Provide,A.  Personal Information You Provid,97.14285714285714,3091,sub,"We may receive contact details of business partners’ and vendors’ employees as provided by business partners or vendors in furtherance of the relevant partner or vendor relationship.Events.We may collect personal information (either directly from individuals or from other sources such aseventhosts or co-sponsors) in an online or offline capacity when we attend conferences, trade shows, and other events.Job Applications.",423,<first>,<what>
A. Personal Information You Provide,A.  Personal Information You Provid,97.14285714285714,3091,sub,"We will collect any information which you provide to us when you apply for a job with TuneIn, including your curriculum vitae and references.",141,<first>,<what>
B. Personal Information Obtained from Third Parties,B. Personal Information Obtained from Third Parties,100.0,4962,sub,"B. Personal Information Obtained from Third PartiesSocial Sign-on.We collect information from social media services when you use your credentials for these services to log into the Services. For example, when you log in with your Facebook credentials, we collect the information you have authorized Facebook to share with us, such as your name, email address, gender, date of birth, and profile picture. We may also obtain other non-public information with your permission.Other Third Parties.",493,<first>,<what>
B. Personal Information Obtained from Third Parties,B. Personal Information Obtained from Third Parties,100.0,4962,sub,"We may collect information about you from other third parties, including our marketing partners.",96,<first>,<what>
C. Personal Information Collected Automatically,C. Personal Information Collected Automatically,100.0,5556,sub,C. Personal Information Collected AutomaticallyYour Activities on the Services.,79,<first>,<what>
C. Personal Information Collected Automatically,C. Personal Information Collected Automatically,100.0,5556,sub,"When you use the Services, we collect information about your activities, such as the stations, artists or channels that you listen to, transaction details related to your Subscription, the user profiles that you view, your searches for friends or stations and your other actions and interactions with other users or content on the Services, the stations, content and people that you follow (“Follow Lists”), your comments, any content that you post on the Services, and any other information resulting from your use of the Services that is publicly accessible by other users (“Public Information”).",598,<first>,<what>
C. Personal Information Collected Automatically,C. Personal Information Collected Automatically,100.0,5556,sub,"Your Contacts.If you use certain features of our Services, such as the share content feature, we will collect information about your contacts, with your permission.Location Information.Depending on your device settings, we may obtain information about your physical location at regular intervals when you use the Services, such as by use of geolocation features in the device(s) through which you access the Services. In addition, we may infer your location from other information we collect (for example, your IP address indicates the general geographic region from which you are connecting to the Internet).",609,<first>,<what>
C. Personal Information Collected Automatically,C. Personal Information Collected Automatically,100.0,5556,sub,"Device Information.We receive information from the device through which you access the Services, such as IP address, web browser type, mobile operating system version, and unique device identifiers.Widget Information.",217,<first>,<what>
C. Personal Information Collected Automatically,C. Personal Information Collected Automatically,100.0,5556,sub,"Other websites may integrate TuneIn widgets (such as the TuneIn Player or TuneIn Follow Button). When you visit a site with a TuneIn widget embedded, we may receive certain information, including information about the web page you visited, your IP address, and other information about your device. TuneIn and the widget can recognize you across websites containing TuneIn widgets, and the widget may be used to show personalized content or advertising. We know when you interact with a widget, and websites containing the widgets may receive this information.",559,<first>,<what>
C. Personal Information Collected Automatically,C. Personal Information Collected Automatically,100.0,5556,sub,"Cookies and Related Technologies.When you visit the Services, we and our third party service providers receive and record information from your browser and from cookies and similar technologies. Learn more about how we use cookies and related technologies in ourCookie Policy.Google Analytics.We use Google Analytics to obtain information about your behavior on our Services. We may use thisinformation",402,<first>,<what>
C. Personal Information Collected Automatically,C. Personal Information Collected Automatically,100.0,5556,sub,"to improve user experience and improve our products.  If you’d like to opt-out, we recommend installing Google’s browser add-on that can be found athttps://tools.google.com/dlpage/gaoptout.",189,<first>,<what>
How We Use Personal Information,How We Use Personal Information,100.0,8231,main,"How We Use Personal InformationWe use Personal Information for many business reasons, including:",96,<first>,<error>
Providing Services,Providing Services,100.0,8329,sub,Providing Services,18,<first>,<how-used>
Managing information and accounts,Managing information and accounts,100.0,8348,sub,"Managing information and accounts, including user accounts, partner accounts, and vendor/service provider accounts",114,<first>,<how-used>
"Providing access to certain areas, functionalities, and features of our Services","Providing access to certain areas, functionalities, and features of our Services",100.0,8463,sub,"Providing access to certain areas, functionalities, and features of our Services",80,<first>,<how-used>
"Providing you with personalized services, content, offers, and recommendations","Providing you with personalized services, content, offers, and recommendations",100.0,8544,sub,"Providing you with personalized services, content, offers, and recommendations. For example, we may analyze your listening history to recommend similar content that we think would be of particular interest to you, send you tailored content recommendations based on your location, or send you personalized marketing communications based on Personal Information we have collected about you",387,<first>,<how-used>
Answering requests for customer or technical support,Answering requests for customer or technical support,100.0,8932,sub,Answering requests for customer or technical support,52,<first>,<how-used>
"Communicating with you about your account, activities on our Services, and policy changes","Communicating with you about your account, activities on our Services, and policy changes",100.0,8985,sub,"Communicating with you about your account, activities on our Services, and policy changes",89,<first>,<how-used>
Processing your financial information and other payment methods for products or Services purchased,Processing your financial information and other payment methods for products or Services purchased,100.0,9075,sub,Processing your financial information and other payment methods for products or Services purchased,98,<first>,<how-used>
Allowing you to register for events,Allowing you to register for events,100.0,9174,sub,Allowing you to register for events,35,<first>,<how-used>
Marketing and Advertising,Marketing and Advertising,100.0,9210,sub,"Marketing and AdvertisingTailoring and providing you with content, such as email updates, newsletters, and social media contentWe and our advertising partners may use your Personal Information, including yourlocationand your activities on the Services to facilitate the delivery of advertisements",296,<first>,<why>
Other Administrative Purposes,Other Administrative Purposes,100.0,9511,sub,"Other Administrative PurposesPursuing our legitimate interests such as direct marketing, research and development (including marketing research), network and information security, and fraud preventionDetecting security incidents, protecting against malicious, deceptive, fraudulent or illegal activity, and prosecuting those responsible for that activityMeasuring interest and engagement in our ServicesImproving, upgrading or enhancing our ServicesDeveloping new products and Services",485,<first>,<why>
Other Administrative Purposes,Other Administrative Purposes,100.0,9511,sub,"Ensuring internal quality control and safetyAuthenticating and verifying individual identities, including requests to exercise your rights under this policyDebugging to identify and repair errors with our ServicesAuditing relating to interactions, transactions and other compliance activitiesEnforcing our agreements and policiesComplying with our legal and contractual obligations, including using locationinformation to comply with radio stations’ content licenses (which are location-specific)",496,<first>,<why>
Consent,Consent,100.0,10505,main,"ConsentWe may also use personal information for other purposes that are clearly disclosed to you at the time you provide personal information or with your consent, we also use your information for other purposes as requested by you or as permitted by applicable law.",266,<choice>,<how-gathered>
Aggregate Data,Aggregate Data,100.0,10773,main,Aggregate DataWe may de-identify and aggregate information collected through the Services for statistical analysis and other lawful purposes.,141,<choice>,<what>
How We Disclose Personal Information,How We Disclose Personal Information,100.0,10916,main,How We Disclose Personal Information,36,<third>,<error>
Station and Channel Partners,Station and Channel Partners,100.0,10953,sub,Station and Channel Partners.,29,<third>,<how-gathered>
Station and Channel Partners,Station and Channel Partners,100.0,10953,sub,"We may disclose certain limited information to our station and channel partners regarding listening activity on their stations and channels. The information we disclose may include device information (for example, IP address, web browser type, mobile operating system version, and unique device identifiers); general geographic information (for example, zip code, city, state, region, and/or country); listening session starts, durations, and timestamps; and search terms used to find the station or channel partner’s content. Our station and channel partners may use this information for their research and marketing purposes, or as otherwise disclosed in their respective privacy policies.",691,<third>,<how-gathered>
Advertising Partners,Advertising Partners,100.0,11675,sub,Advertising Partners.,21,<third>,<how-gathered>
