decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Privacy Policy :: :: Easy Pose BLOG :::: Easy Pose BLOG ::분류 전체보기(12)About Easy Pose(4)Main page(1)Korea(1)English(1)Japaness(1)Manual(3)Korean(1)English(1)Japaness(1)Privacy Policy(1)Korean(1)Terms of Use(3)Korean(1)English(1)Japaness(1)Withdrawal of membership(1)Information(1)방명록Como se pone fondo, cabello, O poner col⋯저장된 작업을 통채로 BackUp하는 방법이 없나요?프로버젼이지만 30⋯Приветик , приложение норм , но что тако⋯ООО그게 끝인가요?425/288/1,571,243블로그 내 검색Privacy Policy2020. 1. 1. 10:08",471,<error>,<error>
개인정보 보호정책,개인정보 보호정책,100.0,524,main,"개인정보 보호정책본 개인정보 보호정책은매드캣게임즈의 콘텐츠를 통해 어떤 정보를 어떻게 획득하고 어디에 사용하는지 공개합니다.당사는 콘텐츠를 사용하는 사용자의 모든 정보가 중요하게 취급되어야 한다는 점을 분명히 인식하고 있습니다.당사는 서비스를 제공하고 개선하기 위해 귀하의 데이터를 사용합니다.서비스를 사용함으로써 귀하는 본 정책에 따라 정보의 수집 및 사용에 동의하게 됩니다.이 개인 정보 보호 정책에 달리 정의되지 않는 한,이 개인 정보 보호 정책에서 사용된 용어는 우리의 이용 약관과 동일한 의미를 갖습니다.1.",289,<generic>,<error>
개인정보 수집 항목 및 방법,개인정보 수집 항목 및 방법,100.0,829,main,개인정보 수집 항목 및 방법,15,<first>,<what>
1. 귀하가 당사에 제공하는 개인정보,"1)
귀하가 당사에 제공하는 개인정보",90.0,845,sub,1)귀하가 당사에 제공하는 개인정보목적구분개인정보 항목(필수)수집 방법회원,41,<error>,<how-gathered>
간편 가입,간편 가입,100.0,896,sub,간편 가입,5,<error>,<how-gathered>
SNS,SNS,100.0,902,sub,SNS,3,<error>,<how-gathered>
가입,가입,100.0,906,sub,가입,2,<error>,<how-gathered>
페이스북,페이스북,100.0,909,sub,"페이스북,",5,<error>,<how-gathered>
구글플레이,구글플레이,100.0,916,sub,"구글플레이,",6,<error>,<how-gathered>
지메일 계정 중 1 가지,"지메일 계정 중
1
가지",84.61538461538461,924,sub,지메일 계정 중1가지,11,<error>,<how-gathered>
(이메일),"(
이메일",80.0,938,sub,(이메일),5,<error>,<how-gathered>
모바일 앱,모바일 앱,100.0,946,sub,모바일 앱,5,<error>,<how-gathered>
2) 당사가 자동으로 수집하는 개인정보,"2)
당사가 자동으로 수집하는 개인정보",95.23809523809523,952,sub,2)당사가 자동으로 수집하는 개인정보,20,<error>,<how-gathered>
항목,항목,100.0,974,sub,항목,2,<error>,<what>
설명,설명,100.0,977,sub,설명,2,<error>,<why>
모바일 장치 식별자,모바일 장치 식별자,100.0,980,sub,모바일 장치 식별자,10,<error>,<how-gathered>
사용자가 구입한 상품을 분실하는 상황 발생 시,사용자가 구입한 상품을 분실하는 상황 발생 시,100.0,991,sub,"사용자가 구입한 상품을 분실하는 상황 발생 시,",26,<error>,<why>
상품 복원 및 환불 등의 문제를 해결하기 위함,상품 복원 및 환불 등의 문제를 해결하기 위함,100.0,1019,sub,상품 복원 및 환불 등의 문제를 해결하기 위함.,26,<error>,<what>
3) 당사가 파트너로부터 수집하는 개인정보,"3)
당사가 파트너로부터 수집하는 개인정보",95.65217391304348,1047,sub,3)당사가 파트너로부터 수집하는 개인정보,22,<error>,<what>
항목,항목,100.0,1071,sub,항목,2,<error>,<what>
설명,설명,100.0,1074,sub,설명,2,<error>,<why>
결제 정보,결제 정보,100.0,1077,sub,결제 정보,5,<error>,<what>
게임이 실행되는 플랫폼,게임이 실행되는 플랫폼,100.0,1083,sub,게임이 실행되는 플랫폼,12,<error>,<what>
"(안드로이드 / 구글플레이, iOS / 애플앱스토어)","(
안드로이드
/
구글플레이
, iOS/
애플앱스토어",82.75862068965517,1096,sub,"(안드로이드/구글플레이, iOS/애플앱스토어)",25,<error>,<what>
의 데이터,의 데이터,100.0,1128,sub,"의 데이터당사는 이메일과 모바일 장치 식별자를 활용하여,귀하가 서비스를 사용할 때 귀하를 위해 특정ID를 생성합니다.특정ID는 당사에서 서비스하는 컨텐츠를 실행하여 확인할 수 있습니다.2.",105,<error>,<what>
개인정보 처리 및 보유 기간,개인정보 처리 및 보유 기간,100.0,1245,main,개인정보 처리 및 보유 기간,15,<retention>,<when>
당사는 귀하의 개인정보 수집 시,당사는 귀하의 개인정보 수집 시,100.0,1261,sub,"당사는 귀하의 개인정보 수집 시,",18,<retention>,<why>
귀하에게 동의 받은 기간 내에서 개인정보를 처리 및 보유합니다,귀하에게 동의 받은 기간 내에서 개인정보를 처리 및 보유합니다,100.0,1281,sub,귀하에게 동의 받은 기간 내에서 개인정보를 처리 및 보유합니다.,35,<retention>,<what>
다만 관계 법령의 규정에 따라 보존할 필요성이 있는 경우에는 관계 법령의 규정에 따라 보존합니다,다만 관계 법령의 규정에 따라 보존할 필요성이 있는 경우에는 관계 법령의 규정에 따라 보존합니다,100.0,1318,sub,다만 관계 법령의 규정에 따라 보존할 필요성이 있는 경우에는 관계 법령의 규정에 따라 보존합니다.,54,<retention>,<other>
또한 당사는 개인정보 도용 등으로 인한 피해 발생 시 복구와 피해자 보호 등을 위해 서비스 가입 시 수집한 개인정보를 해지한 날로부터 최대 14 일 동안 임시로 보관할 수 있습니다,"또한
당사는 개인정보 도용 등으로 인한 피해 발생 시 복구와 피해자 보호 등을 위해 서비스 가입 시 수집한 개인정보를 해지한 날로부터 최대
14
일 동안 임시로 보관할 수 있습니다",97.0,1374,sub,"또한당사는 개인정보 도용 등으로 인한 피해 발생 시 복구와 피해자 보호 등을 위해 서비스 가입 시 수집한 개인정보를 해지한 날로부터 최대14일 동안 임시로 보관할 수 있습니다.항목설명재화 또는 서비스의 제공재화 또는 서비스의 제공 완료 및 요금결제 정산 완료 시까지고충 처리를 위한 내부방침에 의한 정보 보유분실 상품 복원,환불을 위한 개인확인(보존기간3년)3.",202,<retention>,<other>
개인정보의 파기 절차 및 방법,개인정보의 파기 절차 및 방법,100.0,1595,main,개인정보의 파기 절차 및 방법당사는 원칙적으로 개인정보 수집 및 이용 목적이 달성되거나 귀하의 삭제(탈퇴)요청에 따라 해당 정보를 지체 없이 파기합니다.파기절차 및 방법은 다음과 같습니다.,105,<security>,<how-used>
1) 파기 절차,"1)
파기 절차",87.5,1709,sub,1)파기 절차:,8,<error>,<how-used>
이용자의 개인정보는 목적이 달성된 후 별도의 DB (종이의 경우 별도의 서류함) 로 옮겨져 내부 방침 및 기타 관련 법령에 의한 정보보호 사유에 따라 일정 기간 보관된 후 파기됩니다,"이용자의 개인정보는 목적이 달성된 후 별도의
DB (
종이의 경우 별도의 서류함
)
로 옮겨져 내부 방침 및 기타 관련 법령에 의한 정보보호 사유에 따라 일정 기간 보관된 후 파기됩",96.03960396039604,1720,sub,이용자의 개인정보는 목적이 달성된 후 별도의DB (종이의 경우 별도의 서류함)로 옮겨져 내부 방침 및 기타 관련 법령에 의한 정보보호 사유에 따라 일정 기간 보관된 후 파기됩니다.,100,<error>,<why>
별도 DB 로 옮겨진 개인정보는 법령에 의한 경우가 아니고서는 보유되는 목적 이외의 다른 목적으로 이용되지 않습니다,"별도
DB
로 옮겨진 개인정보는 법령에 의한 경우가 아니고서는 보유되는 목적 이외의 다른 목적으로 이용되지 않습니다",96.875,1826,sub,별도DB로 옮겨진 개인정보는 법령에 의한 경우가 아니고서는 보유되는 목적 이외의 다른 목적으로 이용되지 않습니다.,63,<error>,<error>
2) 파기 방법,"2)
파기 방법",87.5,1893,sub,2)파기 방법:,8,<error>,<error>
