decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,web Browser · nellycarro/all_permissions Wiki · GitHubSkip to contentToggle navigationSign inProductActionsAutomate any workflowPackagesHost and manage packagesSecurityFind and fix vulnerabilitiesCodespacesInstant dev environmentsCopilotWrite better code with AICode reviewManage code changesIssuesPlan and track workDiscussionsCollaborate outside of codeExploreAll featuresDocumentationGitHub SkillsBlogSolutionsForEnterpriseTeamsStartupsEducationBy SolutionCI/CD & AutomationDevOpsDevSecOpsResources,501,<error>,<error>
,,-1.0,0,,"Learning PathwaysWhite papers, Ebooks, WebinarsCustomer StoriesPartnersOpen SourceGitHub SponsorsFund open source developersThe ReadME ProjectGitHub community articlesRepositoriesTopicsTrendingCollectionsPricingSearch or jump to...Search code, repositories, users, issues, pull requests...SearchClearSearch syntax tipsProvide feedbackWe read every piece of feedback, and take your input very seriously.Include my email address so I can be contactedCancelSubmit feedbackSaved searches",483,<error>,<error>
,,-1.0,0,,"Use saved searches to filter your results more quicklyNameQueryTo see all available qualifiers, see ourdocumentation.CancelCreate saved searchSign inSign upYou signed in with another tab or window.Reloadto refresh your session.You signed out in another tab or window.Reloadto refresh your session.You switched accounts on another tab or window.Reloadto refresh your session.Dismiss alertnellycarro/all_permissionsPublicNotificationsFork0Star0CodeIssues0Pull requests0ActionsProjects0WikiSecurityInsights",503,<error>,<error>
,,-1.0,0,,"Additional navigation optionsCodeIssuesPull requestsActionsProjectsWikiSecurityInsightsweb BrowserJump to bottomnellycarro edited this pageOct 29, 2018·1 revision",162,<error>,<error>
Privacy Policy,Privacy Policy,100.0,1766,main,"Privacy PolicyYour privacy is important to Our App Service. Our Privacy Policy covers how we collect, use, disclose, transfer, and store your information. We hope our policy is straightforward and easy-to-understand. Please take a minute to review the details of our privacy practices below.",291,<generic>,<error>
How We Collect Information,How We Collect Information,100.0,2059,main,"How We Collect InformationWe collect information in order to provide you with better, higher-quality, and more personalized services. We collect information by the following means:",180,<first>,<error>
"1、 When you use our email support services, we collect your correspondence in order to build up a public knowledge base, which will be available to all users of the site.","1、 When you use our email support services, we collect your correspondence in order to build up a public knowledge base, which will be available to all users of the site.",100.0,2241,sub,"1、 When you use our email support services, we collect your correspondence in order to build up a public knowledge base, which will be available to all users of the site. Your correspondence will most likely not be used verbatim, but paraphrased in an FAQ format.2、 ",266,<error>,<error>
"The data we collect depends on the context of your interactions with us, the choices you make, including your privacy settings, and the products and features you use.","The data we collect depends on the context of your interactions with us, the choices you make, including your privacy settings, and the products and features you use.",100.0,2508,sub,"The data we collect depends on the context of your interactions with us, the choices you make, including your privacy settings, and the products and features you use. The data we collect can include SDK/API/JS code version, browser, Internet service provider, IP address, platform, timestamp, application identifier, application version, application distribution channel, independent deice identifier, Android ad master identifier, network card (MAC) address, and international mobile device identification code (IMEI) The equipment model, the terminal manufacturer, the terminal device operating system version, the session start / stop time, the location of the language, the time zone and the network state (WiFi and so on), the hard disk, the CPU, and the battery use, etc.",777,<error>,<error>
How We Use Information,How We Use Information,100.0,3286,main,How We Use InformationWe use the information collected through this app product: ,81,<first>,<error>
(I) to communicate with you;,(I) to communicate with you;,100.0,3368,sub,(I) to communicate with you; ,29,<error>,<error>
(II) to process your requests and transactions;,(II) to process your requests and transactions;,100.0,3397,sub,(II) to process your requests and transactions; ,48,<error>,<error>
(III) to improve the app;,(III) to improve the app;,100.0,3445,sub,(III) to improve the app; ,26,<error>,<error>
(IV) to customize the services and/or products we provide to you;,(IV) to customize the services and/or products we provide to you;,100.0,3471,sub,(IV) to customize the services and/or products we provide to you; ,66,<error>,<error>
(V) to assist with our product and service development;,(V) to assist with our product and service development;,100.0,3537,sub,(V) to assist with our product and service development; ,56,<error>,<error>
(VI) to perform marketing analysis;,(VI) to perform marketing analysis;,100.0,3593,sub,(VI) to perform marketing analysis; and ,40,<error>,<error>
(VII) for other purposes related to our business.,(VII) for other purposes related to our business.,100.0,3633,sub,(VII) for other purposes related to our business.,49,<error>,<error>
Third party accounts,Third party accounts,100.0,3683,main,Third party accountsOur App Service does not store any other third part service passwords. Your account information is not disclosed to this app and you are free to cancel any of your social networking website connections with this app at any time.,248,<third>,<error>
Sharing of personal data,Sharing of personal data,100.0,3933,main,"Sharing of personal dataTo improve our product and provide you better service, we also share personal data with vendors or agents working on our behalf for the purposes described in this privacy policy. For example, companies we've hired to provide data analytical services may need collect and access to personal data to provide those functions. In such cases, these companies must abide by our data privacy and security requirements.",435,<third>,<error>
Legal basis for data processing,Legal basis for data processing,100.0,4370,main,"Legal basis for data processingWe process Personal Data for the purposes set out in this Privacy Policy, as described above. Our legal basis to process personal data includes processing that is:",194,<first>,<error>
necessary for the performance of the contract with you;, necessary for the performance of the contract with you,98.18181818181819,4565,sub," necessary for the performance of the contract with you (for example, to provide you with the services you request and to identify and authenticate you so you may use the Sites);",178,<error>,<error>
