decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy.Privacy Policybuilt this app as a Free app. This SERVICE is provided by at no cost and is intended for use as is.This page is used to inform visitors regarding my policies with the collection, use, anddisclosure of Personal Information if anyone decided to use my Service.We does not collect any Personal Information on our App.The app does use third party services tha",384,<generic>,<error>
Collection of Information,t may collect information,76.0,390,main,"t may collect information used to identify you.Link to privacy policy of third party service providers used by the appGoogle Play ServicesLog DataI want to inform you that whenever you use my Service, in a case of anerror in the app I collect data and information (through third party products) on your phonecalled Log Data. This Log Data may include information such as your device Internet Protocol (â€œIPâ€) address,",420,<generic>,<what>
Collection of Information,t may collect information,76.0,390,main,"device name, operating system version, the configuration of the app when utilizing my Service,the time and date of your use of the Service, and other statistics.CookiesCookies are files with a small amount of data that are commonly used as anonymous unique identifiers. Theseare sent to your browser from the websites that you visit and are stored on your device's internal memory.This Service does not use these â€œcookiesâ€ explicitly. However, the app may use third party code and libraries",494,<generic>,<what>
Collection of Information,t may collect information,76.0,390,main,"that use â€œcookiesâ€ to collect information and improve their services. You have the option to eitheraccept or refuse these cookies and know when a cookie is being sent to your device. If you choose torefuse our cookies, you may not be able to use some portions of this Service.Service ProvidersI may employ third-party companies and individuals due to the following reasons:To facilitate our Service;To provide the Service on our behalf;To perform Service-related services; or",479,<generic>,<what>
Collection of Information,t may collect information,76.0,390,main,To assist us in analyzing how our Service is used.I want to inform users of this Service that these third parties have access to your,133,<generic>,<what>
Personal Information,Personal Information,100.0,1939,sub,"Personal Information. The reason is to perform the tasks assigned to them on our behalf. However, theyare obligated not to disclose or use the information for any other purpose.SecurityI value your trust in providing us your Personal Information, thus we are strivingto use commercially acceptable means of protecting it. But remember that no method of transmission overthe internet, or method of electronic storage is 100% secure and reliable, and I cannot guaranteeits absolute security.Links to Other Sites",509,<first>,<what>
Personal Information,Personal Information,100.0,1939,sub,"This Service may contain links to other sites. If you click on a third-party link, you will be directedto that site. Note that these external sites are not operated by me. Therefore, I stronglyadvise you to review the Privacy Policy of these websites. I have no control overand assume no responsibility for the content, privacy policies, or practices of a",355,<first>,<what>
Third Party Services,ny third-party sites,75.0,2814,main,ny third-party sitesor services.,32,<third>,<what>
Children’s Privacy,Childrenâ€™s Priva,83.33333333333334,2848,main,"Childrenâ€™s PrivacyThese Services do not address anyone under the age of 13. I do not knowingly collectpersonally identifiable information from children under 13. In the case I discover that a childunder 13 has provided me with personal information, I immediately delete this fromour servers. If you are a parent or guardian and you are aware that your child has provided us with personalinformation, please contact me so that I will be able to do necessary actions.",467,<audience>,<other>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,3321,main,"Changes to This Privacy PolicyI may update our Privacy Policy from time to time. Thus, you are advised to reviewthis page periodically for any changes. I will notify you of any changes by postingthe new Privacy Policy on this page. These changes are effective immediately after they are posted onthis page.",306,<change>,<other>
Contact Us,Contact Us,100.0,3632,main,"Contact UsIf you have any questions or suggestions about my Privacy Policy, do not hesitate to contactme.",105,<contact>,<other>
