decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Главная страницаSearch this siteSkip to main contentSkip to navigationAdrionatika Maps Corporation,98,<error>,<error>
APPLICATION COLLECTS SOME PERSONAL DATA FROM ITS USERS,APPLICATION COLLECTS SOME PERSONAL DATA FROM ITS USERS,100.0,103,main,APPLICATION COLLECTS SOME PERSONAL DATA FROM ITS USERS,54,<generic>,<error>
POLICY SUMMARY,POLICY SUMMARY,100.0,158,main,POLICY SUMMARY,14,<generic>,<error>
Personal Data collected for the following purposes and using the following services:,Personal Data collected for the following purposes and using the following services:,100.0,173,sub,Personal Data collected for the following purposes and using the following services:,84,<first>,<what>
"Advertising: ADMOB, TAPJOY","Advertising: ADMOB, TAPJOY",100.0,258,sub,"Advertising: ADMOB, TAPJOY",26,<third>,<error>
Personal Data: Cookies and Usage Data,Personal Data: Cookies and Usage Data,100.0,285,sub,Personal Data: Cookies and Usage Data,37,<first>,<error>
Advertising serving infrastructure,Advertising serving infrastructure,100.0,323,sub,Advertising serving infrastructure,34,<third>,<why>
OpenX Ad Server,OpenX Ad Server,100.0,358,sub,OpenX Ad Server,15,<third>,<how-gathered>
Personal Data: Cookies and Usage Data,Personal Data: Cookies and Usage Data,100.0,374,sub,Personal Data: Cookies and Usage Data,37,<first>,<error>
Analytics,Analytics,100.0,412,sub,Analytics,9,<first>,<why>
Google Analytics,Google Analytics,100.0,422,sub,Google Analytics,16,<third>,<how-gathered>
Personal Data: Cookies and Usage Data,Personal Data: Cookies and Usage Data,100.0,439,sub,Personal Data: Cookies and Usage Data,37,<first>,<error>
Unity Analytics,Unity Analytics,100.0,477,sub,Unity Analytics,15,<first>,<why>
Personal Data: Usage Data and various types of Data as specified in the privacy policy of the service,Personal Data: Usage Data and various types of Data as specified in the privacy policy of the service,100.0,493,sub,Personal Data: Usage Data and various types of Data as specified in the privacy policy of the service,101,<first>,<what>
Contacting the User,Contacting the User,100.0,595,sub,Contacting the User,19,<first>,<why>
Contact form,Contact form,100.0,615,sub,Contact form,12,<first>,<how-gathered>
Personal Data: email address,Personal Data: email address,100.0,628,sub,Personal Data: email address,28,<first>,<error>
Location-based interactions,Location-based interactions,100.0,657,sub,Location-based interactions,27,<first>,<why>
Non-continuous geolocation,Non-continuous geolocation,100.0,685,sub,Non-continuous geolocation,26,<first>,<error>
Personal Data: geographic position,Personal Data: geographic position,100.0,712,sub,Personal Data: geographic position,34,<first>,<error>
Registration and authentication,Registration and authentication,100.0,747,sub,Registration and authentication,31,<first>,<why>
Google OAuth,Google OAuth,100.0,779,sub,Google OAuth,12,<third>,<how-gathered>
Personal Data: various types of Data as specified in the privacy policy of the service,Personal Data: various types of Data as specified in the privacy policy of the service,100.0,792,sub,Personal Data: various types of Data as specified in the privacy policy of the service,86,<first>,<what>
FURTHER INFORMATION ABOUT PERSONAL DATA,FURTHER INFORMATION ABOUT PERSONAL DATA,100.0,879,main,FURTHER INFORMATION ABOUT PERSONAL DATASee details in “Full Policy”Push notifications:This Application may send push notifications to the User.Access to media/files/photos:The application has the ability to use the file on the device with the application installed. This includes reading and writing to the SD card and USB storage. The app can also mount and unmount external storage as well as format external storage. This permission deals with reading external storage on newer devices.,489,<first>,<other>
FURTHER INFORMATION ABOUT PERSONAL DATA,FURTHER INFORMATION ABOUT PERSONAL DATA,100.0,879,main,"Access to device information and call information:An app can access your device ID(s), phone number, whether you're on the phone, and the number connected by a call. Device ID & call information may include the ability to read phone status and identity.Access to network (wifi / cellular) state:Application may require an access to the internet.Access to credentials:Application uses this access for Google OAuth.Access to accounts:App may use this access for Google Play Games Services.",487,<first>,<other>
FURTHER INFORMATION ABOUT PERSONAL DATA,FURTHER INFORMATION ABOUT PERSONAL DATA,100.0,879,main,"Selling goods and services online:The Personal Data collected are used to provide the User with services or to sell goods, including payment and possible delivery.User identification via a universally unique identifier (UUID):This Application may track Users by storing a so-called universally unique identifier (or short UUID) for analytics purposes or for storing Users' preferences.",385,<first>,<other>
CONTACT INFORMATION,CONTACT INFORMATION,100.0,2258,main,CONTACT INFORMATION,19,<contact>,<other>
Data owner:,Data owner:,100.0,2278,sub,Data owner:,11,<first>,<error>
Adrionatika Maps Corporation,Adrionatika Maps Corporation,100.0,2290,sub,Adrionatika Maps Corporation,28,<region>,<error>
", Moscow, Russia",", Moscow, Russia",100.0,2319,sub,", Moscow, Russia",16,<region>,<error>
Data owner e-mail:,Data owner e-mail:,100.0,2336,sub,Data owner e-mail:,18,<contact>,<error>
nazmobilegames@gmail.com,nazmobilegames@gmail.com,100.0,2355,sub,"nazmobilegames@gmail.comFULL POLICYTypes of Data collectedAmong the types of Personal Data that this Application collects, by itself or through third parties, there are: Cookies, Usage Data, email address and geographic position.Other Personal Data collected may be described in other sections of this privacy policy or by dedicated explanation text contextually with the Data collection.The Personal Data may be freely provided by the User, or collected automatically when using this Application.",497,<choice>,<error>
nazmobilegames@gmail.com,nazmobilegames@gmail.com,100.0,2355,sub,"Any use of Cookies - or of other tracking tools - by this Application or by the owners of third party services used by this Application, unless stated otherwise, serves to identify Users and remember their preferences, for the sole purpose of providing the service required by the User.Failure to provide certain Personal Data may make it impossible for this Application to provide its services.",395,<choice>,<error>
nazmobilegames@gmail.com,nazmobilegames@gmail.com,100.0,2355,sub,"Users are responsible for any Personal Data of third parties obtained, published or shared through this Application and confirm that they have the third party's consent to provide the Data to the Owner.",202,<choice>,<error>
MODE AND PLACE OF PROCESSING THE DATA,Mode and place of processing the Data,100.0,3458,main,Mode and place of processing the Data,37,<first>,<other>
Methods of processing,Methods of processing,100.0,3496,sub,Methods of processing,21,<security>,<error>
"The Data Controller processes the Data of Users in a proper manner and shall take appropriate security measures to prevent unauthorized access, disclosure, modification, or unauthorized destruction of the Data.","The Data Controller processes the Data of Users in a proper manner and shall take appropriate security measures to prevent unauthorized access, disclosure, modification, or unauthorized destruction of the Data.",100.0,3518,sub,"The Data Controller processes the Data of Users in a proper manner and shall take appropriate security measures to prevent unauthorized access, disclosure, modification, or unauthorized destruction of the Data.",210,<first>,<error>
"The Data processing is carried out using computers and/or IT enabled tools, following organizational procedures and modes strictly related to the purposes indicated.","The Data processing is carried out using computers and/or IT enabled tools, following organizational procedures and modes strictly related to the purposes indicated.",100.0,3729,sub,"The Data processing is carried out using computers and/or IT enabled tools, following organizational procedures and modes strictly related to the purposes indicated. In addition to the Data Controller, in some cases, the Data may be accessible to certain types of persons in charge, involved with the operation of the site (administration, sales, marketing, legal, system administration) or external parties (such as third party technical service providers, mail carriers, hosting providers, IT companies, communications agencies) appointed, if necessary, as Data Processors by the Owner. The updated list of these parties may be requested from the Data Controller at any time.",677,<first>,<error>
Place,Place,100.0,4407,sub,Place,5,<first>,<error>
