decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Invision Pixel - Privacy PolicySearch this siteSkip to main contentSkip to navigationInvision PixelHomePrivacy PolicyTerms & ConditionInvision PixelHomePrivacy PolicyTerms & ConditionMoreHomePrivacy PolicyTerms & ConditionPrivacy PolicyEffective date:December18, 2020Invision Pixel(""us"", ""we"", or ""our"") operates the My Apps mobile application (the ""Service"").",360,<error>,<error>
,,-1.0,0,,"This page informs you of our policies regarding the collection, use, and disclosure of personal data when you use our Service and the choices you have associated with that data. Our Privacy Policy forInvision Pixelis created with the help of the Free Privacy Policy Generator.",276,<error>,<error>
,,-1.0,0,,"We use your data to provide and improve the Service. By using the Service, you agree to the collection and use of information in accordance with this policy. Unless otherwise defined in this Privacy Policy, terms used in this Privacy Policy have the same meanings as in our Terms and Conditions.",295,<error>,<error>
Information Collection and Use,"Information Collection
a
nd Us",93.33333333333333,958,main,"Information Collectionand UseWe collect several different types of information for various purposes to provide and improve our Service to you.Types of Data CollectedPersonal DataWhile using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data""). Personally identifiable information may include, but is not limited to Cookies and Usage DataUsage Data",447,<first>,<what>
Information Collection and Use,"Information Collection
a
nd Us",93.33333333333333,958,main,"We may also collect information that your browser sends whenever you visit our Service or when you access the Service by or through a mobile device (""Usage Data"").This Usage Data may include information such as your computer's Internet Protocol address (e.g. IP address), browser type, browser version, the pages of our Service that you visit, the time and date of your visit, the time spent on those pages, unique device identifiers and other diagnostic data.",460,<first>,<what>
Information Collection and Use,"Information Collection
a
nd Us",93.33333333333333,958,main,"When you access the Service by or through a mobile device, this Usage Data may include information such as the type of mobile device you use, your mobile device unique ID, the IP address of your mobile device, your mobile operating system, the type of mobile Internet browser you use, unique device identifiers and other diagnostic data.Tracking & Cookies DataWe use cookies and similar tracking technologies to track the activity on our Service and hold certain information.",475,<first>,<what>
Information Collection and Use,"Information Collection
a
nd Us",93.33333333333333,958,main,"Cookies are files with small amount of data which may include an anonymous unique identifier. Cookies are sent to your browser from a website and stored on your device. Tracking technologies also used are beacons, tags, and scripts to collect and track information and to improve and analyze our Service.You can instruct your browser to refuse all cookies or to indicate when a cookie is being sent. However, if you do not accept cookies, you may not be able to use some portions of our Service.",495,<first>,<what>
Information Collection and Use,"Information Collection
a
nd Us",93.33333333333333,958,main,Examples of Cookies we use:Session Cookies.We use Session Cookies to operate our Service.Preference Cookies.We use Preference Cookies to remember your preferences and various settings.Security Cookies.We use Security Cookies for security purposes.,247,<first>,<what>
Use of Data,Use of Data,100.0,3104,main,"Use of DataInvision Pixeluses the collected data for various purposes:To provide and maintain the ServiceTo notify you about changes to our ServiceTo allow you to participate in interactive features of our Service when you choose to do soTo provide customer care and supportTo provide analysis or valuable information so that we can improve the ServiceTo monitor the usage of the ServiceTo detect, prevent and address technical issues",434,<first>,<what>
Transfer of Data,"Transfer
o
f Dat",87.5,3548,main,"Transferof DataYour information, including Personal Data, may be transferred to — and maintained on — computers located outside of your state, province, country or other governmental jurisdiction where the data protection laws may differ than those from your jurisdiction.If you are located outside Pakistan and choose to provide information to us, please note that we transfer the data, including Personal Data, to Pakistan and process it there.",446,<third>,<what>
